galaxy_name,source_type,dataset,taxonomy_stage,quality_class,measurement_unreliable_flag,velocity_target_reliability_score,contamination_reasons,quarantine_flag,clean_scalar_sample,m40_direct_row,A_target,A_pred_m38_feedback,A_pred_m38_feedback_cv,A_activation_flip_m39,A_activation_flip_cv_m39,f_star,f_gas,RHI_Rd,Inc,Vflat,e_Vflat,recommended_next_label
D631-7,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,1.0,0.8862798013445741,0.9475566964680516,0.1137201986554259,0.0524433035319483,0.2026049204052098,0.7973950795947902,0.0,59.0,57.7,2.7,SFR/SFE/depletion time plus outer-curve quality flag
DDO064,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.68,local measurement-contamination flag; high Vflat uncertainty,False,True,True,0.7313883056240699,0.8840348362269889,0.7666573899533307,0.1159651637730111,0.2333426100466693,0.2185837997382563,0.7814162002617436,5.057971014492754,60.0,46.1,3.9,resolved H I asymmetry/warp and approaching-receding split
UGC08490,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,1.0,0.9313168939546372,0.8442607131180682,0.0686831060453627,0.1557392868819318,0.3468385512584407,0.6531614487415592,11.641791044776118,50.0,78.6,3.8,resolved H I asymmetry/warp and approaching-receding split
NGC5585,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.9035639477886522,0.9572478618814194,0.9766348644931352,0.0427521381185805,0.0233651355068648,0.3966424880522063,0.6033575119477936,7.137254901960784,51.0,90.3,2.4,resolved H I asymmetry/warp and approaching-receding split
UGC07603,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,1.0,0.9523174364504176,0.8660165987465044,0.0476825635495824,0.1339834012534956,0.3539556425801107,0.6460443574198893,8.245283018867925,78.0,61.6,2.8,resolved H I asymmetry/warp and approaching-receding split
UGC06667,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.84,inclination extreme,False,True,True,1.0,0.6441705025157599,0.790462740763381,0.3558294974842401,0.209537259236619,0.3936386639390917,0.6063613360609084,1.6679611650485435,89.0,83.8,3.1,SFR/SFE/depletion time plus outer-curve quality flag
UGC01281,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.84,inclination extreme,False,True,True,0.9382739299718946,0.8190456889603805,0.688117660627643,0.1809543110396194,0.311882339372357,0.3110022554271215,0.6889977445728784,3.226993865030675,90.0,55.2,3.5,SFR/SFE/depletion time plus outer-curve quality flag
UGC05005,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.8403410231539875,0.9247904056280256,0.8299720765069393,0.0752095943719743,0.1700279234930607,0.3325929759608286,0.6674070240391713,6.753125,41.0,98.9,7.2,resolved H I asymmetry/warp and approaching-receding split
UGC07524,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.7140784731274675,0.878610957481236,0.9454443057328652,0.121389042518764,0.0545556942671348,0.3398371125563953,0.6601628874436046,3.5,46.0,79.5,3.6,SFR/SFE/depletion time plus outer-curve quality flag
UGC04278,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.84,inclination extreme,False,True,True,1.0,0.8968187255146262,0.8924383993138887,0.1031812744853738,0.1075616006861113,0.3056909504252074,0.6943090495747926,4.027149321266968,90.0,91.4,4.8,SFR/SFE/depletion time plus outer-curve quality flag
UGC04499,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.7308090958470224,0.9366573089911638,0.96755843604097,0.0633426910088361,0.0324415639590299,0.3465832961143367,0.6534167038856633,5.011560693641618,50.0,72.8,2.4,resolved H I asymmetry/warp and approaching-receding split
UGC00128,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,0.9289624089297926,0.922610731696926,0.825377320103237,0.077389268303074,0.1746226798967629,0.378148431753646,0.621851568246354,5.25546218487395,57.0,129.3,2.8,resolved H I asymmetry/warp and approaching-receding split
F563-V2,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.52,local measurement-contamination flag; inclination extreme; high Vflat uncertainty,False,True,True,1.0,0.9351116892567132,0.8493573489826145,0.0648883107432868,0.1506426510173855,0.341041215047844,0.658958784952156,4.679012345679012,29.0,116.6,9.4,SFR/SFE/depletion time plus outer-curve quality flag
F568-V1,direct_sparc_m36_m39,SPARC,juvenile_forming,measurement_contaminated_or_unreliable_velocity_target,True,0.68,local measurement-contamination flag; high Vflat uncertainty,False,True,True,1.0,0.9358986842280618,0.9673252976508268,0.0641013157719382,0.0326747023491732,0.3659915836288376,0.6340084163711625,5.045614035087719,40.0,112.3,15.8,resolved H I asymmetry/warp and approaching-receding split
UGC07399,direct_sparc_m36_m39,SPARC,juvenile_forming,usable_direct_activation_target,False,1.0,none from available local flags,False,True,True,1.0,0.9327568134582642,0.9264659993791828,0.0672431865417357,0.0735340006208171,0.3684227300251776,0.6315772699748223,4.786585365853659,55.0,103.0,3.3,SFR/SFE/depletion time plus outer-curve quality flag
UGC06614,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.75,local measurement-contamination flag; high Vflat uncertainty,False,True,True,0.5475273979459897,0.9862254416591926,,0.0137745583408074,,0.6811008561659592,0.3188991438340408,11.88823529411765,36.0,199.8,16.0,resolved H I asymmetry/warp and approaching-receding split
NGC4157,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.5795487478493855,0.9962327086970604,,0.0037672913029396,,0.828384620186985,0.171615379813015,10.383620689655173,82.0,184.7,7.2,resolved H I asymmetry/warp and approaching-receding split
NGC2841,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.75,approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,1.0,0.9044474448266796,,0.0955525551733204,,0.8785671753318778,0.1214328246681222,12.395604395604394,76.0,284.8,8.6,resolved H I asymmetry/warp and approaching-receding split
NGC4100,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.67139129365072,0.998849231983688,,0.0011507680163119,,0.8780208298223735,0.1219791701776264,8.4,73.0,158.2,5.0,resolved H I asymmetry/warp and approaching-receding split
NGC2403,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.75,approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,1.0,0.962639313919458,,0.0373606860805419,,0.5412838794329377,0.4587161205670624,10.870503597122305,63.0,131.2,4.9,resolved H I asymmetry/warp and approaching-receding split
NGC2998,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.9057699266164848,0.9980586182764988,,0.0019413817235012,,0.7075245007001539,0.292475499299846,7.029032258064516,58.0,209.9,8.1,resolved H I asymmetry/warp and approaching-receding split
ESO563-G021,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9965067712961494,,0.0034932287038506,,0.8280175220606345,0.1719824779393654,10.222018348623854,83.0,314.6,11.7,resolved H I asymmetry/warp and approaching-receding split
NGC3893,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9984545604861048,,0.0015454395138951,,0.7914094783066582,0.2085905216933418,8.756302521008404,49.0,174.0,8.9,resolved H I asymmetry/warp and approaching-receding split
NGC6674,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.7936659624078981,0.998190295533815,,0.001809704466185,,0.7150059174672374,0.2849940825327626,8.281456953642385,54.0,241.3,4.9,resolved H I asymmetry/warp and approaching-receding split
NGC5907,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.84,inclination extreme,False,True,True,0.8752901500946543,0.9987846303772032,,0.0012153696227967,,0.7582617791542307,0.2417382208457693,0.0,88.0,215.0,2.9,measurement-quality audit before activation modeling
UGC03205,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.9358237580388178,0.998378534510539,,0.0016214654894609,,0.8153228640373326,0.1846771359626674,8.965517241379311,67.0,219.6,8.6,resolved H I asymmetry/warp and approaching-receding split
NGC6503,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9974979326339896,,0.0025020673660104,,0.7346700190573804,0.2653299809426197,6.50462962962963,74.0,116.3,2.4,resolved H I asymmetry/warp and approaching-receding split
NGC5033,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9983909418708004,,0.0016090581291996,,0.7859578061088343,0.2140421938911657,5.722868217054264,66.0,194.2,3.6,resolved H I asymmetry/warp and approaching-receding split
NGC4183,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.8004255086628022,0.9938938199637324,,0.0061061800362676,,0.5374936272438549,0.4625063727561451,5.759856630824372,82.0,110.6,5.4,resolved H I asymmetry/warp and approaching-receding split
UGC07151,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.84,inclination extreme,False,True,True,0.8056697407264045,0.9946672833714936,,0.0053327166285064,,0.5822728014357971,0.417727198564203,5.112,90.0,73.5,2.8,resolved H I asymmetry/warp and approaching-receding split
UGC08286,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.84,inclination extreme,False,True,True,1.0,0.989223015078662,,0.010776984921338,,0.4235972349732678,0.5764027650267323,7.685714285714286,90.0,82.4,2.3,resolved H I asymmetry/warp and approaching-receding split
UGC11455,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.84,inclination extreme,False,True,True,1.0,0.9991191407538051,,0.0008808592461948,,0.913441441546966,0.086558558453034,7.325463743676223,90.0,269.4,7.4,resolved H I asymmetry/warp and approaching-receding split
NGC3521,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.75,approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,1.0,0.9753172958330408,,0.0246827041669591,,0.8847623064308691,0.1152376935691309,7.854166666666668,75.0,213.7,15.9,resolved H I asymmetry/warp and approaching-receding split
NGC3992,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.9868370153275026,0.999075285773183,,0.0009247142268169,,0.8371238370913012,0.1628761629086988,6.602822580645161,56.0,241.0,5.2,resolved H I asymmetry/warp and approaching-receding split
NGC0891,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.84,inclination extreme,False,True,True,0.7463354013850007,0.999309362309858,,0.0006906376901419,,0.9209839202625252,0.0790160797374749,7.121568627450981,90.0,216.1,5.7,resolved H I asymmetry/warp and approaching-receding split
NGC4217,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.84,inclination extreme,False,True,True,0.6483048725098944,0.999222647796811,,0.0007773522031889,,0.9260163936134734,0.0739836063865266,5.680272108843537,86.0,181.3,7.2,resolved H I asymmetry/warp and approaching-receding split
NGC7331,direct_sparc_m36_m39,SPARC,disturbed_or_measurement_contaminated,measurement_contaminated_or_unreliable_velocity_target,True,0.36,approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,0.6529781202223786,0.9826478020249368,0.9917247690661102,0.0173521979750631,0.0082752309338898,0.894889484820931,0.1051105151790689,5.380478087649403,75.0,239.0,5.4,resolved H I asymmetry/warp and approaching-receding split
