f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,omega_c,k_omega,T_c,k_T,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score,UGC07125_A_pred_m18
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,2.0,1.0,3.0,80,1.0,0.14109832734545186,0.3756305729642515,0.2510600408944997,0.21374257121868276,0.002363633850027974,0.8825957002206202,0.2611403128846713,0.09088631916655192,0.07996538151905679
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,2.0,0.0,6.0,80,1.0,0.14281019355104138,0.3779023598114219,0.25900890660220993,0.23111794189604593,0.00025332224170686296,0.8024854169153162,0.22562295078748792,0.09100841223059938,0.05633122926064198
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,1.0,0.0,0.5,80,1.0,0.1280208392255489,0.3577999989177598,0.18425671485495998,0.16545669222947343,0.0122465490684539,0.5892502605136836,0.1532956827775762,0.09116949625455692,0.12175442186966368
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,1.0,0.0,0.5,80,1.0,0.12977112590795542,0.3602375964664924,0.1922968419370412,0.1730775354498369,0.030295576184003557,0.5990716789446358,0.15759998892807606,0.09131175752054718,0.111643383411593
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,1.0,1.0,0.5,80,1.0,0.12911292620295306,0.3593228718060584,0.18894754949762713,0.16805578772494703,0.030296216570837337,0.7223303767508371,0.19404674632620506,0.09132341630342763,0.11820732162848258
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,2.0,0.0,0.5,80,1.0,0.13016900606835702,0.3607894206713343,0.19412206942446034,0.17703281025096954,0.06081092027399665,0.8419877527521463,0.21179236267251278,0.09134459218346494,0.2570627818514392
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,2.0,0.0,6.0,80,1.0,0.14324186683639303,0.3784730728022709,0.25948346574893894,0.22775887149880295,9.691190516946932e-05,0.7906263589906262,0.22058240428106568,0.09134517368660525,0.05590682310362699
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,8.0,0.0,10.0,80,1.0,0.14421763512297267,0.37975997040627213,0.26425643562853995,0.24822245166572568,0.00013945783040668133,0.9828533077908703,0.2947551445885575,0.09136634799726467,0.1248254100982547
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,8.0,0.0,10.0,80,1.0,0.1442207436551822,0.3797640631433972,0.26425643562853995,0.24829757882175643,0.00014014501832448317,0.9831307976568673,0.29479305857437343,0.0913694565294742,0.12482728879035546
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,8.0,0.0,10.0,80,1.0,0.14422596952958808,0.37977094350356516,0.26425643562853995,0.24842270522483495,0.00014129033152081958,0.983593280766862,0.2948562991006924,0.09137468240388008,0.12483041994385671
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,2.0,0.0,6.0,80,1.0,0.14306572051891042,0.37824029467907094,0.25804153603387786,0.2290425840687275,0.00015556578137099187,0.7950735057123848,0.22246656397254055,0.09145741331213485,0.056065975412507615
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.1,2.0,1.0,1.5,80,1.0,0.1380985080814906,0.37161607618816844,0.2326161171341295,0.20533922032153706,0.022019747962273174,0.8996469058248597,0.2612238439271739,0.09157528465466469,0.142091295200719
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.02,2.0,1.0,3.0,80,1.0,0.14155858400131885,0.3762427195326427,0.2496181111794386,0.21059186012546405,0.0009537925426862955,0.8783947925008464,0.259348871143436,0.09163496176543112,0.07762380370807673
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.75,0.1,2.0,0.0,0.5,80,1.0,0.13366599835900045,0.36560360824122135,0.20915281778335673,0.17881164872689306,0.06055815274590975,0.8349510468685083,0.23667799415354493,0.0918354348023291,0.1346622901848883
