galaxy_id,survey,coherence_score,coherence_quartile,btfr_offset_dex,f_gas,f_star,D_total
UGC07524,SPARC,0.3992815103308869,Q1_low,-0.0387534953704185,0.6601628874436046,0.3398371125563953,1.127898509302196
UGC07603,SPARC,0.4221387801774223,Q2,0.057751956632184,0.6460443574198893,0.3539556425801107,0.3205210304786123
UGC08286,SPARC,0.4439703171319452,Q2,0.072735555085245,0.5764027650267323,0.4235972349732678,0.6784180692811644
UGC08490,SPARC,0.32534766959605,Q1_low,0.0533551443808987,0.6531614487415592,0.3468385512584407,0.2785281329642023
UGC08550,SPARC,0.2903483386641331,Q1_low,0.0240219144224796,0.7260871213557266,0.2739128786442734,0.1169759669107838
UGC09133,SPARC,0.4992901094227132,Q2,-0.0122162887862699,0.2391281430344212,0.7608718569655787,-0.0547048657785216
UGC10310,SPARC,0.3122322238992933,Q1_low,-0.0446141357638089,0.6463078685833624,0.3536921314166375,0.3002970846148483
UGC11455,SPARC,0.6727615320017707,Q4_high,0.0519874266868556,0.086558558453034,0.913441441546966,0.2705005382429512
UGC11914,SPARC,0.7359576721120498,Q4_high,0.1885350797132683,0.0155002215367299,0.98449977846327,1.3827043595109625
UGC12632,SPARC,0.2501799780584678,Q1_low,-0.0631971910160831,0.7809779058726878,0.2190220941273122,0.4608692272712236
UGCA442,SPARC,0.2282769494916102,Q1_low,0.0449945785487826,0.8332499583124896,0.1667500416875104,2.1183521940082737
11834,xGASS,0.7267188606913368,Q4_high,-0.0369821734126762,0.1286617511246989,,
11825,xGASS,0.6588659446194769,Q3,0.1618372232818896,0.0454560960825448,,
124012,xGASS,0.7295933524014999,Q4_high,0.054430250620526,0.1423851331805841,,
11910,xGASS,0.6244629209061502,Q3,0.0496600202920758,0.1612046624442637,,
11956,xGASS,0.677523741792095,Q3,0.0237070782608759,0.187251131681562,,
12062,xGASS,0.4712970499887294,Q1_low,0.0317984032740494,0.4069976417720676,,
3163,xGASS,0.7050475323426302,Q4_high,0.0213458239495527,0.0980209082540018,,
3151,xGASS,0.5955845686953146,Q2,0.1711682605586433,0.030142788002885,,
27181,xGASS,0.5465729123154851,Q2,0.0555976918606666,,,
27167,xGASS,0.5448638639535547,Q2,-0.0279135438931192,,,
3189,xGASS,0.6339361974553339,Q3,0.1633200670625827,0.3706876274802119,,
27219,xGASS,0.730032251458127,Q4_high,0.0375551800607842,0.1412639055514666,,
124002,xGASS,0.5165703269568926,Q1_low,0.0809964735447046,0.4010352942656762,,
3233,xGASS,0.5625998905230319,Q2,0.056679910943274,0.11851171871065,,
3261,xGASS,0.3586709215590171,Q1_low,-0.0820290499480846,0.5030186938960929,,
3305,xGASS,0.6802933974850839,Q3,-0.0361317783329671,0.299846530252719,,
3284,xGASS,0.7056327060632217,Q4_high,-0.1238536186212022,0.0439677117473599,,
3439,xGASS,0.5335898891441099,Q1_low,0.1368249419161751,0.1835121219896605,,
3465,xGASS,0.588838908512392,Q2,0.0357466438828253,0.2165501454855792,,
3645,xGASS,0.5287791526878489,Q1_low,0.2505320876378563,0.1826050546851906,,
101021,xGASS,0.4165725845940452,Q1_low,0.0848151170964404,0.4853407635505195,,
3509,xGASS,0.691923926356035,Q3,0.057690366775025,,,
3524,xGASS,0.7511158585364448,Q4_high,-0.0250785181604276,0.0743644837944661,,
3519,xGASS,0.563063378600803,Q2,-0.0157981114113838,,,
3666,xGASS,0.5840318020109363,Q2,0.0383778397411882,0.1988964200605459,,
3777,xGASS,0.4897253622992958,Q1_low,0.1299317580843477,0.2063687438003453,,
3792,xGASS,0.6289493385287395,Q3,0.1830916504493154,0.0513472964855393,,
27284,xGASS,0.5960212112699577,Q2,0.039192428667798,0.0920885376919534,,
3819,xGASS,0.4714069390098921,Q1_low,-0.0016988406156732,,,
3817,xGASS,0.5058740160827639,Q1_low,-0.0666927755823105,0.6421738609917466,,
4111,xGASS,0.5528168576972281,Q2,-0.1285422483804592,0.0989423631736238,,
101031,xGASS,0.4756933866650301,Q1_low,0.0127871872015892,0.4692028383482844,,
101030,xGASS,0.4230242324795571,Q1_low,-0.4980893716248378,0.2539242519358818,,
101000,xGASS,0.4792275459958874,Q1_low,-0.0108200971839762,0.0464559352572299,,
4203,xGASS,0.6561492655218875,Q3,0.0274244640814598,0.2344986925545132,,
101001,xGASS,0.5646917553820973,Q2,0.0264579572532954,0.579212609464726,,
4163,xGASS,0.5219722632626312,Q1_low,0.0025258983639813,0.2284298337307349,,
4145,xGASS,0.6895331761266663,Q3,0.0341531305700351,0.1059222320015718,,
4134,xGASS,0.7429524930870335,Q4_high,-0.0251814178374263,0.0719307606059656,,
4137,xGASS,0.610070515423232,Q2,-0.2376681938089087,0.0454253750062298,,
3918,xGASS,0.5701716818877518,Q2,-0.3337266156478,0.0273028642685111,,
4132,xGASS,0.7654316588632366,Q4_high,-0.0198371319737482,0.0931890333493987,,
3936,xGASS,0.6234379986824434,Q3,-0.0635023663793941,0.1577715292083467,,
3960,xGASS,0.6173385562745816,Q3,-0.0652653980377415,,,
3962,xGASS,0.7211753708825953,Q4_high,0.0478074553788694,0.1053066882637696,,
3971,xGASS,0.7394296054256809,Q4_high,0.0113387158660693,0.2008904525909081,,
3977,xGASS,0.671196914654293,Q3,-0.0466647559768143,0.2401978964345421,,
4008,xGASS,0.4749483593091947,Q1_low,0.0058706758697772,0.3079747588519977,,
4030,xGASS,0.4476331480582611,Q1_low,-0.4485072209860625,,,
4038,xGASS,0.7896909473856127,Q4_high,0.0006742340450651,0.1653665710592299,,
4039,xGASS,0.5831264148422438,Q2,0.0787708498571038,0.1688133199138881,,
4048,xGASS,0.6273704812827112,Q3,0.0457536361212893,0.1605221548967979,,
3981,xGASS,0.7247960684453398,Q4_high,0.0945050962257432,0.0668527076550824,,
4057,xGASS,0.6245282154501514,Q3,-0.0050190532868548,0.2635521610145778,,
21842,xGASS,0.6727408422928937,Q3,0.0802541504751541,0.045258323691052,,
107019,xGASS,0.4921867102007433,Q1_low,0.206378814363155,,,
51334,xGASS,0.7034863462182791,Q4_high,0.0145306966743561,0.2965550174302963,,
