galaxy_name,D_total,Vflat,v_newton_km_s,btfr_offset_dex,log10_M_bar,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,A_inferred,T,taxonomy_stage,organization_label_score,curve_shape
NGC3521,0.6527008484393424,213.7,166.22923152259304,0.1090971250223889,10.680723575680519,0.8847623064308691,0.1152376935691309,9.122121223899192,7.854166666666668,2.4,0.6527008484393424,4.0,mature_or_control,0.5715241143402278,unknown
NGC3741,0.24294403570426948,50.1,44.93781360356508,0.0472257873570314,8.408341741154654,0.0546746856205576,0.9453253143794424,9.008101881468578,21.0,0.2,0.2429440357042695,10.0,juvenile_forming,0.3888942494661135,slowly_rising
NGC3893,0.24764318993549328,174.0,155.77725548258672,0.0480452002059045,10.56791017942058,0.7914094783066582,0.2085905216933418,9.01657639694944,8.756302521008404,2.38,0.2476431899354932,5.0,mature_or_control,0.5836879317079248,unknown
NGC3917,0.259838599793253,135.9,121.0770975444322,0.0501574552139444,10.130141993187998,0.8139148839043014,0.1860851160956985,8.492050627850366,5.353612167300381,2.63,0.259838599793253,6.0,mature_or_control,0.8069742744447722,unknown
NGC3953,0.41614876357369157,220.8,185.5430239167322,0.0755544387551291,10.871672508321927,0.9493857994389996,0.0506142005610004,8.69487492171657,3.554192229038855,4.89,0.4161487635736917,4.0,mature_or_control,0.8301717168479605,unknown
NGC3972,0.5228992349385587,132.7,107.53140953223658,0.086333367574277,9.944044208274432,0.8163351199847119,0.1836648800152881,8.468951352707107,4.610091743119266,2.18,0.51099137888034,4.0,mature_or_control,0.8184681126377343,unknown
NGC3992,0.25009512199650413,241.0,215.54875181595327,0.0484715302586026,11.13207603637886,0.8371238370913012,0.1628761629086988,8.94293281504035,6.602822580645161,4.96,0.2500951219965033,4.0,mature_or_control,0.7116682643074945,unknown
NGC4088,-0.08076505403512653,171.7,179.08410137546545,-0.0182867368556962,10.81012211518025,0.8305981179736397,0.1694018820263602,9.188702834895674,8.624031007751938,2.58,0.0,4.0,true_falsifier_candidate,0.5662844556272452,unknown
NGC4100,0.07834088561134946,158.2,152.34508350757056,0.016378035962242,10.52920775991146,0.8780208298223735,0.1219791701776264,9.066150971722134,8.4,2.15,0.0783408856113494,4.0,mature_or_control,0.6030037652935188,unknown
NGC4157,0.07062828851397754,184.7,178.5038297850085,0.0148193571396292,10.804484140316246,0.828384620186985,0.171615379813015,9.275328302176332,10.383620689655173,2.32,0.0706282885139775,3.0,mature_or_control,0.5868819063328693,unknown
NGC4183,0.18055347274703137,110.6,101.79168311342814,-0.0076578341470746,10.003545831576814,0.5374936272438549,0.4625063727561451,8.314157556671503,5.759856630824372,2.79,0.1476401625413454,6.0,mature_or_control,0.7349289448337464,unknown
NGC4217,0.21365421160526624,181.3,164.56986786479803,0.0420474836566353,10.663295268869291,0.9260163936134734,0.0739836063865266,8.928420739686862,5.680272108843537,2.94,0.2136542116052663,3.0,mature_or_control,0.7797598914259906,unknown
NGC4559,-0.11800944071729307,121.2,129.0537568121273,-0.0272680317387209,10.240976593389751,0.5562627137766096,0.4437372862233905,8.798358135563797,10.076190476190476,2.1,0.0,6.0,true_falsifier_candidate,0.5270304267120406,unknown
NGC5005,1.4881418066224943,262.2,166.22453362305092,0.1282714110838463,10.959339092194675,0.9813051270337704,0.0186948729662297,8.210295606818034,1.1015873015873017,9.45,1.0,4.0,mature_or_control,0.7951818389787029,unknown
NGC5033,0.12709684447853528,194.2,182.92312352785737,0.0259806169474733,10.846968421611848,0.7859578061088343,0.2140421938911657,8.62348914999931,5.722868217054264,5.16,0.1270968444785353,5.0,mature_or_control,0.7917010105796597,unknown
NGC5055,-0.16316817778499815,179.0,195.67436701535524,-0.0386809066203296,10.96402973751469,0.830635017923709,0.1693649820762909,9.15554991251676,10.95625,3.2,0.0,4.0,true_falsifier_candidate,0.4531865217387902,unknown
NGC5371,-0.19155245536311546,209.5,233.00117123781155,-0.0461740768174391,11.267326403592811,0.919653485596212,0.080346514403788,8.726000664142939,4.036290322580645,7.44,0.0,4.0,true_falsifier_candidate,0.8024853474823893,unknown
NGC5585,0.17279724233126414,90.3,83.3827630566897,0.0128209888998675,9.56936103276835,0.3966424880522063,0.6033575119477936,8.401798302775038,7.137254901960784,1.53,0.1562988738825308,7.0,juvenile_forming,0.510926035600268,slowly_falling
