galaxy_name,D_total,Vflat,v_newton_km_s,btfr_offset_dex,log10_M_bar,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,A_inferred,T,taxonomy_stage,organization_label_score,curve_shape
UGC02885,0.3149857194040985,289.5,252.4573678120706,0.059460518231263,11.406646186442565,0.7910323852314484,0.2089676147685516,8.494656615411506,6.512280701754385,11.4,0.3149857194040985,5.0,mature_or_control,0.7132214526470548,unknown
UGC03205,0.44751155578106233,219.6,182.5245624593397,0.0803110197375321,10.843179251275886,0.8153228640373326,0.1846771359626674,9.037418016803407,8.965517241379311,3.19,0.4475115557810621,2.0,mature_or_control,0.5877342301284297,unknown
UGC03546,0.31927593978555585,196.9,171.42647505970544,0.0601678210455683,10.734205567483997,0.9343900268783742,0.0656099731216258,8.778747279189737,4.846965699208443,3.79,0.3192759397855559,1.0,mature_or_control,0.8258526755547789,unknown
UGC04278,2.0118871311409428,91.4,52.66557732133028,0.0779289400843308,9.3299630097118,0.3056909504252074,0.6943090495747926,7.842998593983464,4.027149321266968,2.21,0.956363075588083,7.0,juvenile_forming,0.5624436356871746,steeply_rising
UGC04325,1.799290292359988,90.9,54.33002616537036,0.0875099274910114,9.282109810037621,0.5290535529628043,0.4709464470371957,7.944904053243674,3.553763440860215,1.86,0.961774268625718,9.0,mature_or_control,0.7655216810842725,unknown
UGC04499,0.4281433619847744,72.8,60.917977548247,-0.0259086473032709,9.35005409357903,0.3465832961143367,0.6534167038856633,8.075782018963324,5.011560693641618,1.73,0.2660725763157177,8.0,juvenile_forming,0.5920079973765785,slowly_rising
UGC05005,0.7710010187043093,98.9,74.31678031298453,-0.0027904086121612,9.78984078795116,0.3325929759608286,0.6674070240391713,7.981360962953233,6.753125,3.2,0.42978902737553,10.0,juvenile_forming,0.4541480183432526,flat
UGC05721,0.581493780296395,79.7,63.37596383972424,0.0995337441302128,9.005592296177396,0.2621031432633075,0.7378968567366925,9.04784523458566,17.736842105263158,0.38,0.581493780296395,7.0,juvenile_forming,0.3396172864748568,slowly_rising
UGC06399,1.5266124338292977,85.0,53.47485445385581,0.0512498922708035,9.310570120887753,0.5615284530575909,0.4384715469424091,7.88888253041813,4.292682926829269,2.05,0.7650502312724831,9.0,mature_or_control,0.7528704145925351,unknown
UGC06446,0.5081721140564834,82.2,66.93393602930357,0.0225963057023995,9.366996034464401,0.2121929323430996,0.7878070676569003,8.222443629281738,6.932885906040268,1.49,0.3738974768125985,7.0,juvenile_forming,0.4290630349142279,steeply_falling
