model,variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
m4a_halo_only,Rdisk,87,-0.06810219898747477,-0.05246275117545945,-0.0017775476401528166,-0.005788633916199343,0.06810219898747477,0.05246275117545945
m4b_halo_star_gas,v_flat_obs_km_s,87,-0.3361339688412489,-0.3054057009550193,-0.0002702548904797986,0.03321953713934679,0.3361339688412489,0.3054057009550193
m4b_halo_star_gas,star_frac,87,-0.3008954648012146,-0.2836261573230298,-0.06493341597912097,0.03128249573182747,0.3008954648012146,0.2836261573230298
m4b_halo_star_gas,gas_frac,87,0.30089546480121454,0.2836261573230298,0.06493341597912097,-0.033650920247293485,0.30089546480121454,0.2836261573230298
m4b_halo_star_gas,stellar_to_gas_ratio,87,-0.28390742154031023,-0.2836261573230298,-0.0017881156562029588,0.001713351435012172,0.28390742154031023,0.2836261573230298
m4b_halo_star_gas,S_star_gas,87,-0.2506824918522772,-0.2649774973683998,-0.23943109627578693,0.23855591358182113,0.2506824918522772,0.2649774973683998
m4b_halo_star_gas,T,87,0.2907968676810559,0.2514893219186524,0.006655114451312285,-0.04562294611886833,0.2907968676810559,0.2514893219186524
m4b_halo_star_gas,S_internal,87,-0.2631285650518211,-0.23577319906630687,-0.13056269527674824,0.1327273261518548,0.2631285650518211,0.23577319906630687
m4b_halo_star_gas,S_struct,87,-0.30132955228814085,-0.2296634923944573,-0.10492673484316388,0.1084709176603689,0.30132955228814085,0.2296634923944573
m4b_halo_star_gas,log10_SBeff,87,-0.2484277033903558,-0.2285365387747712,-0.02058005791906534,0.038594501165530856,0.2484277033903558,0.2285365387747712
m4b_halo_star_gas,SBeff,87,-0.22234104007791264,-0.2285365387747712,-1.9724282740472175e-05,0.0026882782746686994,0.22234104007791264,0.2285365387747712
m4b_halo_star_gas,H_halo,87,0.1864135853840004,0.20357966320539103,0.23891333774285334,-0.3049724654243206,0.1864135853840004,0.20357966320539103
m4b_halo_star_gas,r_over_Rdisk_eval,87,0.14869992362405976,0.20357966320539103,0.004799380012753081,-0.02658794208808543,0.14869992362405976,0.20357966320539103
m4b_halo_star_gas,M_gas_Msun,87,0.05590264770402838,0.18131863125553527,3.0134020041905904e-13,-0.009389641437036467,0.05590264770402838,0.18131863125553527
m4b_halo_star_gas,RHI,87,0.07260804637535778,0.1638234275884031,0.00028854315423369406,-0.012744214517338646,0.07260804637535778,0.1638234275884031
m4b_halo_star_gas,log10_SBdisk,87,-0.18219469929556573,-0.15890316088090925,-0.016569801258541836,0.039647229579036485,0.18219469929556573,0.15890316088090925
m4b_halo_star_gas,SBdisk,87,-0.04889649723470574,-0.15890316088090925,-9.09502631786627e-07,-0.00522870597923596,0.04889649723470574,0.15890316088090925
m4b_halo_star_gas,Q_eff,87,-0.25682362397004094,-0.12732607944958382,-0.08100556839067066,0.09309631985835959,0.25682362397004094,0.12732607944958382
m4b_halo_star_gas,M_star_Msun,87,-0.11312471635221405,-0.09932929940949185,-1.1792853379565363e-13,-0.0021689957728166617,0.11312471635221405,0.09932929940949185
m4b_halo_star_gas,Reff,87,0.019362573794454375,0.09905817278060927,0.000423680027449863,-0.008702131899128078,0.019362573794454375,0.09905817278060927
m4b_halo_star_gas,M_baryon_Msun,87,-0.08829511891589431,-0.024258219727345626,-7.943305516394022e-14,-0.0030214895665774725,0.08829511891589431,0.024258219727345626
m4b_halo_star_gas,log10_M_baryon_Msun,87,-0.04796671180508422,-0.024258219727345626,-0.0034406367203879988,0.027959603469562073,0.04796671180508422,0.024258219727345626
m4b_halo_star_gas,Rdisk,87,-0.021182737642848844,-0.01793411400265836,-0.0005171415149405681,-0.005081530669391904,0.021182737642848844,0.01793411400265836
