object_name,taxonomy_stage,quality_quarantined,measurement_limited,a_r_mismatch_status,a_r_mismatch_source,h_i_asymmetry_status,h_i_asymmetry_source,warp___pa_twist_status,warp___pa_twist_source,lopsidedness_status,lopsidedness_source,vrot_sigma_status,vrot_sigma_source,centroid_offset_status,centroid_offset_source,sfe_depletion_status,sfe_depletion_source,burstiness_status,burstiness_source,external_morphology_status,external_morphology_source,existing_tier_a_label_count,missing_target_label_count,context_lead_count,acquisition_priority_score,target_role,acquisition_priority_rank,priority_bin
UGC06667,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,22,minimum_25_pool
UGC07399,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,23,minimum_25_pool
UGC07524,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,24,minimum_25_pool
UGC07603,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,25,minimum_25_pool
UGC08490,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,26,preferred_50_pool
UGC08550,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,27,preferred_50_pool
UGC10310,disturbed_or_measurement_contaminated,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,28,preferred_50_pool
UGC12632,failed_stalled,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,29,preferred_50_pool
UGCA442,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,30,preferred_50_pool
ESO079-G014,mature_or_control,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_low_priority,needs acquisition,missing_low_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_priority,needs acquisition,0,9,4,98,mature_control_acquisition,31,preferred_50_pool
ESO116-G012,mature_or_control,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_low_priority,needs acquisition,missing_low_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_priority,needs acquisition,0,9,4,98,mature_control_acquisition,32,preferred_50_pool
ESO563-G021,mature_or_control,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_low_priority,needs acquisition,missing_low_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_priority,needs acquisition,0,9,4,98,mature_control_acquisition,33,preferred_50_pool
F571-8,mature_or_control,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_low_priority,needs acquisition,missing_low_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_priority,needs acquisition,0,9,4,98,mature_control_acquisition,34,preferred_50_pool
F574-1,mature_or_control,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_low_priority,needs acquisition,missing_low_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_priority,needs acquisition,0,9,4,98,mature_control_acquisition,35,preferred_50_pool
F579-V1,mature_or_control,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_low_priority,needs acquisition,missing_low_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_priority,needs acquisition,0,9,4,98,mature_control_acquisition,36,preferred_50_pool
IC4202,mature_or_control,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_low_priority,needs acquisition,missing_low_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_priority,needs acquisition,missing_priority,needs acquisition,0,9,4,98,mature_control_acquisition,37,preferred_50_pool
