f_star,f_gas,log10_Sigma_b,RHI_Rd,rotation_coherence,stable_activation_score,phase_region
0.22540654512881464,0.24959345487118545,7.663242860299144,8.127789263258611,0.85,0.3741388349403401,transition
0.22540654512881464,0.24959345487118545,7.663242860299144,9.627789263258611,0.85,0.37060866297401507,transition
0.22540654512881464,0.24959345487118545,7.963242860299144,3.6277892632586113,0.85,0.5765472351776868,transition
0.22540654512881464,0.24959345487118545,7.963242860299144,5.127789263258611,0.85,0.5730170632113618,transition
0.22540654512881464,0.24959345487118545,7.963242860299144,6.627789263258611,0.85,0.4766143052037801,transition
0.22540654512881464,0.24959345487118545,7.963242860299144,8.127789263258611,0.85,0.38021154719619843,transition
0.22540654512881464,0.24959345487118545,7.963242860299144,9.627789263258611,0.85,0.3766813752298734,transition
0.22540654512881464,0.24959345487118545,8.263242860299144,3.6277892632586113,0.85,0.6702643609713729,activated_mature
0.22540654512881464,0.24959345487118545,8.263242860299144,5.127789263258611,0.85,0.6667341890050478,activated_mature
0.22540654512881464,0.24959345487118545,8.263242860299144,6.627789263258611,0.85,0.5703314309974661,transition
0.22540654512881464,0.24959345487118545,8.263242860299144,8.127789263258611,0.85,0.47392867298988434,transition
0.22540654512881464,0.24959345487118545,8.263242860299144,9.627789263258611,0.85,0.4703985010235593,transition
0.22540654512881464,0.24959345487118545,8.563242860299145,3.6277892632586113,0.85,0.763981486765059,activated_mature
0.22540654512881464,0.24959345487118545,8.563242860299145,5.127789263258611,0.85,0.7604513147987338,activated_mature
0.22540654512881464,0.24959345487118545,8.563242860299145,6.627789263258611,0.85,0.6640485567911522,activated_mature
0.22540654512881464,0.24959345487118545,8.563242860299145,8.127789263258611,0.85,0.5676457987835705,transition
0.22540654512881464,0.24959345487118545,8.563242860299145,9.627789263258611,0.85,0.5641156268172454,transition
0.22540654512881464,0.24959345487118545,8.863242860299144,3.6277892632586113,0.85,0.7700541990209171,activated_mature
0.22540654512881464,0.24959345487118545,8.863242860299144,5.127789263258611,0.85,0.7665240270545921,activated_mature
0.22540654512881464,0.24959345487118545,8.863242860299144,6.627789263258611,0.85,0.6701212690470104,activated_mature
0.22540654512881464,0.24959345487118545,8.863242860299144,8.127789263258611,0.85,0.5737185110394287,transition
0.22540654512881464,0.24959345487118545,8.863242860299144,9.627789263258611,0.85,0.5701883390731037,transition
0.22540654512881464,0.42459345487118544,7.663242860299144,3.6277892632586113,0.85,0.5665467689511473,transition
0.22540654512881464,0.42459345487118544,7.663242860299144,5.127789263258611,0.85,0.5630165969848223,transition
0.22540654512881464,0.42459345487118544,7.663242860299144,6.627789263258611,0.85,0.46661383897724057,transition
0.22540654512881464,0.42459345487118544,7.663242860299144,8.127789263258611,0.85,0.3702110809696589,transition
0.22540654512881464,0.42459345487118544,7.663242860299144,9.627789263258611,0.85,0.36668090900333383,transition
0.22540654512881464,0.42459345487118544,7.963242860299144,3.6277892632586113,0.85,0.5726194812070056,transition
0.22540654512881464,0.42459345487118544,7.963242860299144,5.127789263258611,0.85,0.5690893092406806,transition
0.22540654512881464,0.42459345487118544,7.963242860299144,6.627789263258611,0.85,0.47268655123309883,transition
0.22540654512881464,0.42459345487118544,7.963242860299144,8.127789263258611,0.85,0.3762837932255172,transition
0.22540654512881464,0.42459345487118544,7.963242860299144,9.627789263258611,0.85,0.37275362125919215,transition
0.22540654512881464,0.42459345487118544,8.263242860299144,3.6277892632586113,0.85,0.6663366070006915,activated_mature
0.22540654512881464,0.42459345487118544,8.263242860299144,5.127789263258611,0.85,0.6628064350343665,activated_mature
0.22540654512881464,0.42459345487118544,8.263242860299144,6.627789263258611,0.85,0.5664036770267848,transition
0.22540654512881464,0.42459345487118544,8.263242860299144,8.127789263258611,0.85,0.47000091901920327,transition
0.22540654512881464,0.42459345487118544,8.263242860299144,9.627789263258611,0.85,0.4664707470528782,transition
0.22540654512881464,0.42459345487118544,8.563242860299145,3.6277892632586113,0.85,0.7600537327943776,activated_mature
0.22540654512881464,0.42459345487118544,8.563242860299145,5.127789263258611,0.85,0.7565235608280526,activated_mature
