galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun,RHI_over_Rdisk,Reff_over_Rdisk,log10_M_star_Msun,log10_M_gas_Msun,ugc07125_hard_analog,ugc07125_regime_score,ugc07125_analog_distance,sample_btfr_log10_v_residual,M_part_required_Msun,participation_fraction_required,missing_or_excess_mass_fraction,gas_participation_required,gas_participation_required_clipped_0_1,gas_participation_required_status,log10_participation_fraction_required,bdvr_overpredicts_with_total_mass,bdvr_underpredicts_with_total_mass
NGC4217,1.0,3.0,181.3,7.2,85.299,2.562,2.94,16.7,5.28,483.98,4373.51,18.0,86.0,"VS01,SV98",181.3,85.299,2.562,2.94,3.0,42649500000.0,3407460000.0,46056960000.0,0.9260163936134734,0.0739836063865266,3.738095238095238,1.249324607194157,1.119553952015394,1.2,1.3434647424184727,1.5109999903814382,202.29379008895256,181.3,1.1157958637007863,0.0475847471305848,0.0475847471305848,2.684827415220645,3.64083012387382,12.516507897378103,10.663295268869291,5.680272108843537,1.795918367346939,10.629913944096419,9.532430766375754,False,1.5,9.351421288809863,-0.0002645729423753,29713668944.611412,0.6451504603128694,-0.3548495396871306,-3.796326605562087,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.1903389885223391,True,False
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",220.1,312.57,23.201,8.72,5.0,156285000000.0,30857330000.0,187142330000.0,0.8351130393642101,0.1648869606357899,3.0246559633027523,1.222296074823408,1.0016766843117375,1.0,1.0016766843117375,1.1022164190471202,245.3030507327344,220.1,1.1145072727520873,0.0470829068277363,0.0470829068277363,2.912827626440297,3.1928294005189524,5.064760949829425,11.27217203232174,5.159403669724771,0.8899082568807338,11.193917297086106,10.489358345044295,False,1.5,5.319110625149477,-0.074208161174369,121294303498.39561,0.6481393252846409,-0.3518606747153591,-1.1339508797943434,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.18833162731094535,True,False
NGC4100,1.0,4.0,158.2,5.0,59.394,3.102,2.15,18.06,4.93,388.0,8970.78,18.0,73.0,"VS01,SV98",158.2,59.394,3.102,2.15,4.0,29697000000.0,4125660000.0,33822660000.0,0.8780208298223735,0.1219791701776264,5.346511627906977,1.291104622220518,1.0474747420573975,1.1,1.1522222162631377,1.3392466685418367,176.30260548306896,158.2,1.1144286060876674,0.0470522513938085,0.0470522513938085,2.5888317255942077,3.952830206139799,7.198121027908262,10.52920775991146,8.4,2.2930232558139534,10.472712578972017,9.615493434444671,False,1.5,6.769097059624158,-0.0246244459698639,21927986458.536488,0.6483223513034305,-0.3516776486965695,-1.8830959268246807,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.1882090055752342,True,False
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",88.1,3.232,1.99,1.66,6.0,1616000000.0,2646700000.0,4262700000.0,0.3791024468060149,0.620897553193985,5.774096385542169,1.2989281043157102,1.0,1.0,1.0,1.1693593905789126,98.15709556307011,88.1,1.1141554547454044,0.0469457908627941,0.0469457908627941,1.8128465369670712,3.076829700943831,0.6105716552688253,9.629684768976201,9.855421686746988,1.6927710843373496,9.208441356438568,9.422704717376792,False,1.5,4.527831010739026,-0.0451890172468274,2766314833.551697,0.6489583675960534,-0.3510416324039466,0.4346222970309052,0.4346222970309052,partial_gas_participation_can_match_observed_vflat,-0.18778316345117652,True,False
NGC6195,1.0,3.0,251.7,9.3,391.076,20.907,13.94,40.89,9.52,686.8,174.11,127.8,62.0,SG06,251.7,391.076,20.907,13.94,3.0,195538000000.0,27806310000.0,223344310000.0,0.8755002533979934,0.1244997466020065,1.808106169296987,1.1584342487888706,1.0444353412845864,1.2,1.2533224095415036,1.3070647063409546,279.2021577731948,251.7,1.109265624843841,0.0450355547973543,0.0450355547973543,2.836830286488879,2.240823715517666,7.032144862083462,11.348974892706314,2.9332855093256818,0.6829268292682926,11.29123116882462,10.444143360206645,False,0.5,6.90404075610023,-0.0358958035725893,147513807746.38083,0.6604771249662945,-0.33952287503370543,-1.7270969162617826,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.18014221918941753,True,False
NGC3198,1.0,5.0,150.1,3.9,38.279,10.869,3.14,35.66,5.84,178.99,1602.62,13.8,73.0,"Da06,Be91,Be87",150.1,38.279,10.869,3.14,5.0,19139500000.0,14455770000.000002,33595270000.0,0.569708176180754,0.430291823819246,6.608280254777069,1.3113257861349203,1.0,1.0,1.0,1.1805203975727063,165.24669602700308,150.1,1.100910699713545,0.041752092637036,0.041752092637036,2.252828768040592,3.2048305582449266,1.324004186563566,10.526278135797503,11.35668789808917,1.859872611464968,10.281930588086734,10.160041229721285,False,1.5,4.968720454824084,-0.0466892144889823,22870189611.06182,0.6807562377400694,-0.3192437622599306,0.2580761599736175,0.2580761599736175,partial_gas_participation_can_match_observed_vflat,-0.16700837054814419,True,False
NGC7331,1.0,3.0,239.0,5.4,250.631,11.067,5.02,27.01,3.99,2470.76,1806.47,14.7,75.0,"Be91,Be87",239.0,250.631,11.067,5.02,3.0,125315500000.0,14719110000.0,140034610000.0,0.894889484820931,0.1051105151790689,3.0876494023904386,1.2249496211358972,1.0693459708003397,1.2,1.2832151649604076,1.4150787367867366,258.50899090409604,239.0,1.081627577004586,0.0340777514417192,0.0340777514417192,3.392830561776918,3.256830753646836,8.513796010764239,11.146235386209625,5.380478087649403,0.7948207171314742,11.098004791250704,10.167881550913553,False,1.5,7.671576756069675,-0.0057161725343659,102311483154.00012,0.7306156896070202,-0.26938431039297983,-1.5628673775792068,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.1363110057668767,True,False
NGC6946,1.0,6.0,158.9,10.9,66.173,5.67,2.44,21.25,4.2,571.26,2232.7,5.52,38.0,Bo08,158.9,66.173,5.67,2.44,6.0,33086500000.0,7541100000.0,40627600000.0,0.8143848024495663,0.1856151975504337,5.215163934426229,1.2884687499691123,1.0,1.0,1.0,1.159943361944264,171.77113572436693,158.9,1.081001483476192,0.0338262899432106,0.0338262899432106,2.7568338155405883,3.348830372378482,4.387489888743022,10.608821167944376,8.709016393442623,1.7213114754098362,10.519650828475031,9.877434699859993,False,1.5,5.417182202428331,-0.0433879296319381,29751989232.1907,0.7323097901965832,-0.2676902098034169,-0.4421782986314065,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.13530515977284238,True,False
NGC4183,1.0,6.0,110.6,5.4,10.838,3.506,2.79,16.07,4.47,86.46,1098.58,18.0,82.0,"VS01,SV98",110.6,10.838,3.506,2.79,6.0,5419000000.0,4662980000.0,10081980000.0,0.5374936272438549,0.4625063727561451,3.681003584229391,1.247390352375863,1.0,1.0,1.0,1.122962554603194,119.28768175360766,110.6,1.0785504679349698,0.032840471583085,0.032840471583085,1.9368152311976328,3.040831688287468,1.1621323702868125,10.003545831576814,5.759856630824372,1.6021505376344085,9.73391915101239,9.668663552724862,False,1.5,4.516262515710217,-0.0435264035316667,7450474716.288975,0.7389892378569463,-0.26101076214305374,0.43566018217727176,0.43566018217727176,partial_gas_participation_can_match_observed_vflat,-0.13136188633234014,True,False
NGC6674,1.0,3.0,241.3,4.9,214.654,32.165,6.04,50.02,7.75,560.83,1370.35,51.2,54.0,"Sa96,Br92",241.3,214.654,32.165,6.04,3.0,107327000000.0,42779450000.00001,150106450000.0,0.7150059174672374,0.2849940825327626,4.782284768211921,1.2789177091641697,1.0,1.2,1.2,1.3816140505574597,259.9080388998896,241.3,1.077115784914586,0.0322623904351289,0.0322623904351289,2.7488312369236176,3.13683150413124,2.5088447841194776,11.176399354063552,8.281456953642385,1.283112582781457,11.030708990148176,10.631235196703473,False,1.5,5.879953838168571,-0.0093923419562607,111519237756.18591,0.7429343492980209,-0.25706565070197906,0.09799653235808109,0.09799653235808109,partial_gas_participation_can_match_observed_vflat,-0.12904956174051546,True,False
