object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,R_HI_over_Rd,log10_Sigma_b,baryonic_maturity_score,maturity_gap,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,composition_gap,radial_distribution_gap,dynamical_settling_gap,star_formation_gap,shape_symmetry_gap,HI_extent_gap,total_maturity_gap,dominant_gap_family,required_mature_adjustment,m36_v_observed_km_s,m36_v_mature_endpoint_km_s,mature_endpoint_residual_log10,absolute_mature_endpoint_residual,endpoint_residual_direction,below_mature_bdvr_endpoint,above_mature_bdvr_endpoint,A_inferred,quarantine_flag,testability_class,measurement_limited_or_quarantined,clean_bridge_support_row,velocity_residual_is_outcome_only,m36_branch_used
NGC3972,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8163351199847119,0.1836648800152881,4.610091743119266,8.468951352707107,0.8821617351652812,0.11783826483471882,0.9999847578189606,0.9219886014879995,1.0,0.5,0.988835316519446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,132.7,119.9515871542582,-0.0438649241014279,0.0438649241014279,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC08286,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.4235972349732678,0.5764027650267323,7.685714285714286,8.33010214706329,0.4649881159752052,0.5350118840247948,0.6498587519951898,0.2480910996055374,0.84,0.5,0.0869907282752989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,82.4,74.87094457286696,-0.0416138994693549,0.0416138994693549,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC2403,direct_sparc_m36_m41,mature_controls,mature_or_control,transition,0.5412838794329377,0.4587161205670624,10.870503597122305,8.883112409462322,0.5126130759237127,0.48738692407628725,0.977173206364622,0.3358117602369097,0.75,0.5,8.04130170318572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,131.2,119.5330568306604,-0.0404458091376348,0.0404458091376348,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC3109,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.1326205548187747,0.8673794451812253,3.846153846153846,7.679731828746212,0.5887957021552651,0.4112042978447349,0.0007913648699381,0.4452503865380903,1.0,0.5,0.9979367593682972,0.999192676357296,0.2036703695937184,0.0,0.0,0.0,0.0,0.2004771743251691,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,66.2,60.60114657567701,-0.0383771483298666,0.0383771483298666,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
D631-7,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.2026049204052098,0.7973950795947902,0.0,8.196200139001826,0.597756478074959,0.402243521925041,0.0050933659811907,0.4836894257480137,1.0,0.5,0.9999995986455908,0.9948906752460436,0.165231330383795,0.0,0.0,0.0,0.0,0.1933536676049731,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,57.7,53.31735230904176,-0.0343072385452566,0.0343072385452566,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC02885,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7910323852314484,0.2089676147685516,6.512280701754385,8.494656615411506,0.7558657431764659,0.24413425682353407,0.9999700720878938,0.7155372560785911,1.0,0.5,0.5638213877158447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,289.5,267.9255399206608,-0.0336344534924578,0.0336344534924578,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC4183,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5374936272438549,0.4625063727561451,5.759856630824372,8.314157556671503,0.7819147338004957,0.2180852661995043,0.9748065628223472,0.5616573053340995,1.0,0.5,0.8731098008460318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,110.6,119.28768175360766,0.032840471583085,0.032840471583085,above_mature_endpoint,False,True,0.8004255086628022,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC6674,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7150059174672374,0.2849940825327626,8.281456953642385,8.816145608463174,0.5883484580840971,0.4116515419159029,0.9997727690944496,0.4172424109237649,1.0,0.5,0.0247271104022709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,241.3,259.9080388998896,0.0322623904351289,0.0322623904351289,above_mature_endpoint,False,True,0.7936659624078981,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC07151,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5822728014357971,0.417727198564203,5.112,8.300539705297789,0.7884410873858811,0.21155891261411885,0.9922306326571512,0.64327191451578,0.84,0.5,0.9667028897564748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,73.5,78.92969793087273,0.0309531016509037,0.0309531016509037,above_mature_endpoint,False,True,0.8056697407264045,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC06399,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5615284530575909,0.4384715469424091,4.292682926829269,7.88888253041813,0.8034444975110422,0.1965555024889578,0.9865678923643948,0.5362005494341647,1.0,0.5,0.9944540457566512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,85.0,79.18776867377045,-0.0307608199797454,0.0307608199797454,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
