galaxy_name,v_flat_obs_km_s,v_bdvr_m4c_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,M_baryon_Msun,gas_frac,T_morph,r_over_Rdisk_eval,Q_eff
UGC06667,83.8,73.78901586001074,0.8805371821003668,-0.0552523005256959,0.0552523005256959,1774470000.0,0.6063613360609084,6.0,1.5,1.0242267142793506
UGC06786,219.4,210.5040355276997,0.9594532157142192,-0.0179761972208674,0.0179761972208674,43393400000.0,0.1541686062857485,0.0,3.2958333333333334,1.6856057564240632
UGC06917,108.7,104.33054618752848,0.959802632819949,-0.0178180630954004,0.0178180630954004,6106590000.0,0.4406043307312265,9.0,3.114130434782609,1.1037496387482806
UGC06930,107.2,113.31954022629942,1.0570852633050318,0.0241100184232918,0.0241100184232918,8771210000.0,0.4908342178559173,7.0,2.682741116751269,1.0864927848578605
UGC06983,109.0,106.36490946102916,0.9758248574406346,-0.0106281231864467,0.0106281231864467,6595110000.0,0.5983387691789827,6.0,3.118380062305296,1.1039075948595265
UGC07125,65.2,111.27246923349932,1.7066329637039772,0.2321401297980161,0.2321401297980161,7512569999.999999,0.8195025137868931,9.0,3.9881656804733727,1.13195243693273
UGC07151,73.5,78.92969793087273,1.0738734412363635,0.0309531016509037,0.0309531016509037,1961280000.0,0.417727198564203,6.0,3.424,1.1147001900963296
UGC07399,103.0,73.83447925988595,0.7168396044649121,-0.144578008472295,0.144578008472295,1568850000.0,0.6315772699748223,8.0,2.780487804878049,1.0906231576349938
UGC07524,79.5,89.80885136279126,1.1296710863244184,0.0529520132288566,0.0529520132288566,3584070000.0,0.6601628874436046,9.0,2.2716763005780347,1.0675716583491848
UGC07603,61.6,57.941492612499005,0.940608646306802,-0.0265910334295371,0.0265910334295371,531140000.0,0.6460443574198893,7.0,4.9245283018867925,1.1543083743175426
UGC08286,82.4,74.87094457286696,0.9086279681173174,-0.0416138994693549,0.0416138994693549,1481360000.0,0.5764027650267323,6.0,4.914285714285715,1.154099655081875
UGC08490,78.6,75.55060558750922,0.9612036334288706,-0.0171845961961374,0.0171845961961374,1466100000.0,0.6531614487415592,9.0,6.671641791044776,1.181248027651385
UGC08550,56.9,58.68102915994972,1.0313010397179214,0.0133854555888479,0.0133854555888479,527540000.0,0.7260871213557266,7.0,7.333333333333332,1.1879953480053698
UGC09133,226.8,285.3114381478149,1.2579869406870148,0.099676132669659,0.099676132669659,185922240000.0,0.2391281430344212,2.0,4.753945480631277,1.495958989174262
UGC10310,71.4,83.66752723115584,1.1718141068789334,0.0688587219551644,0.0688587219551644,2461180000.0,0.6463078685833624,9.0,3.5277777777777777,1.118121947768011
UGC11455,269.4,267.93790871787155,0.9945727866290704,-0.0023634280502215,0.0023634280502215,204896550000.0,0.086558558453034,6.0,4.5109612141652615,1.2567474053673933
UGC11914,288.1,255.1665290039442,0.8856873620407643,-0.0527195522682522,0.0527195522682522,76195040000.0,0.0155002215367299,2.0,2.5368852459016398,1.869093619266172
UGC12632,71.7,87.54914529433222,1.2210480515248563,0.086732754937078,0.086732754937078,2970020000.0000005,0.7809779058726878,9.0,3.4173553719008263,1.1144770453653656
UGCA442,56.4,52.88903485530941,0.9377488449522946,-0.0279134621078221,0.0279134621078221,419790000.00000006,0.8332499583124896,9.0,2.576271186440678,1.0818380018372364
