object_name,canonical_name,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,RHI_over_Rdisk,direct_hi_extent_overlap,m51_primary_score,m54_organization_score,organization_label_settled,organization_label_score,quality_quarantine_flag,quality_measurement_limited_flag,taxonomy_stage,branch_role
NGC6674,NGC6674,241.3,4.9,214.654,32.165,6.04,50.02,8.281456953642385,True,1.0,0.75,0,0.5736237150700809,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC6946,NGC6946,158.9,10.9,66.173,5.67,2.44,21.25,8.709016393442623,True,1.0,0.75,0,0.4556508466350362,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC7331,NGC7331,239.0,5.4,250.631,11.067,5.02,27.01,5.380478087649403,True,1.0,0.75,1,0.7090330170586335,False,False,disturbed_or_measurement_contaminated,physical_ordering_candidate_or_control
NGC7814,NGC7814,218.9,7.0,74.529,1.07,2.54,12.15,4.783464566929134,True,1.0,0.75,1,0.8005780980760613,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC00128,UGC00128,129.3,2.8,12.02,7.431,5.95,31.27,5.25546218487395,True,0.0,0.25,1,0.6096578993374148,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC00731,UGC00731,73.3,2.3,0.323,1.807,2.3,11.57,5.030434782608697,True,0.0,0.25,0,0.5512021611211092,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC01230,UGC01230,103.7,6.1,7.62,6.43,4.34,26.29,6.057603686635945,True,0.0,0.25,0,0.4457367642333315,False,True,disturbed_or_measurement_contaminated,physical_ordering_candidate_or_control
UGC01281,UGC01281,55.2,3.5,0.353,0.294,1.63,5.26,3.226993865030675,True,0.0,0.25,1,0.5932638156018216,False,True,juvenile_forming,physical_ordering_candidate_or_control
UGC02487,UGC02487,332.0,3.5,489.955,17.963,7.89,40.2,5.095057034220533,True,1.0,0.75,1,0.8222359483103044,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC02885,UGC02885,289.5,12.0,403.525,40.075,11.4,74.24,6.512280701754385,True,1.0,0.75,1,0.7132214526470548,False,False,mature_or_control,physical_ordering_candidate_or_control
