r_kpc,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s
7.383946488294314,1.443631454128757e-10,1.184899960778544e-10,2.628531414907301e-10,181.36259071677557,244.72375562693568
7.503678929765886,1.4162127702069534e-10,1.173593701887975e-10,2.5898064720949283e-10,181.08256901793987,244.87590274486507
7.6234113712374585,1.3892530143512433e-10,1.1623694604643022e-10,2.5516224748155455e-10,180.7759382709953,244.99552953485076
7.74314381270903,1.3627531204793354e-10,1.1512300299467798e-10,2.513983150426115e-10,180.44403412997966,245.08408849293298
7.862876254180602,1.3367132135693251e-10,1.1401779494231445e-10,2.47689116299247e-10,180.0881404099908,245.142976444478
7.982608695652174,1.311132681542659e-10,1.1292155201060191e-10,2.440348201648678e-10,179.70949113861522,245.1735368094017
8.102341137123744,1.2860102417432087e-10,1.1183448206661273e-10,2.404355062409336e-10,179.30927251003754,245.17706175524154
8.222073578595317,1.261344002424539e-10,1.1075677215145279e-10,2.368911723939067e-10,178.88862474780794,245.15479424523025
8.341806020066889,1.2371315196229922e-10,1.0968858981173388e-10,2.334017417740331e-10,178.4486438817634,245.1079299879409
8.46153846153846,1.213369849763437e-10,1.0863008434188384e-10,2.2996706931822754e-10,177.99038344420234,245.03761929457318
8.581270903010033,1.190055598316076e-10,1.0758138794417934e-10,2.2658694777578692e-10,177.5148560900086,244.94496884946057
8.701003344481604,1.1671849647972988e-10,1.065426168127782e-10,2.2326111329250808e-10,177.023035145089,244.83104339896946
8.820735785953175,1.1447537843840796e-10,1.0551387214746329e-10,2.1998925058587125e-10,176.51585608715985,244.6968673635586
8.940468227424748,1.1227575663903138e-10,1.0449524110231866e-10,2.1677099774135004e-10,175.99421796263775,244.54342637742644
9.06020066889632,1.1011915298340345e-10,1.0348679767410346e-10,2.136059506575069e-10,175.4589847431206,244.37166875984587
9.179933110367893,1.0800506363068329e-10,1.0248860353469022e-10,2.104936671653735e-10,174.9109866247105,244.18250692200073
9.299665551839464,1.0593296203404449e-10,1.0150070881155768e-10,2.0743367084560217e-10,174.35102127319297,243.9768187128543
9.419397993311035,1.0390230174510353e-10,1.0052315282001706e-10,2.044254545651206e-10,173.77985501791633,243.7554487073688
9.539130434782608,1.019125190027621e-10,9.955596475052637e-11,2.0146848375328848e-10,173.19822399698663,243.51920944012576
9.65886287625418,9.996303512190507e-11,9.859916431419634e-11,1.9856219943610143e-10,172.6068352562567,243.26888258722917
9.77859531772575,9.805325869623698e-11,9.765276234933772e-11,1.957060210455747e-10,172.0063678044183,243.00522009917006
9.898327759197324,9.6182587628476e-11,9.671676139166952e-11,1.928993490201455e-10,171.39747362634907,242.7289452871463
10.018060200668895,9.435041100019494e-11,9.579115621062246e-11,1.901415672108174e-10,170.78077865676482,242.44075386520535
10.137792642140466,9.255611079263872e-11,9.48759343139508e-11,1.8743204510658952e-10,170.15688371604153,242.141314950365
10.25752508361204,9.079906346913801e-11,9.397107642275264e-11,1.8477013989189065e-10,169.526365410055,241.83127202283484
10.37725752508361,8.90786414288499e-11,9.307655691877652e-11,1.8215519834762643e-10,168.88977699566237,241.51124384821117
10.496989966555184,8.739421434096834e-11,9.219234426580694e-11,1.7958655860677528e-10,168.24764921344888,241.18182536350432
10.616722408026755,8.574515036783508e-11,9.131840140675755e-11,1.7706355177459263e-10,167.60049108921174,240.8435885286872
10.736454849498326,8.413081728482849e-11,9.045468613800424e-11,1.7458550342283272e-10,166.94879070560776,240.49708314539498
10.856187290969899,8.255058350431334e-11,8.960115146235945e-11,1.7215173496667278e-10,166.29301594527143,240.14283764427034
10.97591973244147,8.100381901046285e-11,8.87577459220084e-11,1.6976156493247123e-10,165.63361520667348,239.7813598424006
11.095652173913042,7.948989621127062e-11,8.792441391262635e-11,1.6741431012389699e-10,164.9710180939013,239.41313767219353
11.215384615384615,7.800819071362406e-11,8.710109597980578e-11,1.6510928669342982e-10,164.3056360814701,239.03863988295203
11.335117056856186,7.655808202695488e-11,8.628772909887293e-11,1.6284581112582782e-10,163.63786315526517,238.65831671639611
11.454849498327759,7.513895420049897e-11,8.548424693904213e-11,1.606232011395411e-10,162.96807643055027,238.27260055719557
11.57458193979933,7.375019639899769e-11,8.469058011287334e-11,1.5844077651187103e-10,162.29663674807992,237.88190655968444
11.694314381270901,7.239120342120218e-11,8.390665641185623e-11,1.562978598330584e-10,161.62388924915248,237.48663325170727
11.814046822742474,7.106137616533097e-11,8.313240102893777e-11,1.5419377719426876e-10,160.95016393049033,237.08716311659674
11.933779264214046,6.97601220453167e-11,8.236773676873922e-11,1.521278588140559e-10,160.27577617975322,236.68386315419278
12.053511705685617,6.848685536143183e-11,8.161258424616906e-11,1.500994396076009e-10,159.6010272924694,236.2770854217873
12.17324414715719,6.724099762862023e-11,8.086686207408113e-11,1.4810785970270136e-10,158.92620497110656,235.86716755580636
12.292976588628761,6.602197786565186e-11,8.013048704059576e-11,1.4615246490624764e-10,158.25158380698815,235.45443327502548
12.412709030100332,6.482923284800357e-11,7.940337427666053e-11,1.4423260712466412e-10,157.57742574572302,235.0391928660649
12.532441471571905,6.366220732716373e-11,7.868543741438613e-11,1.4234764474154986e-10,156.90398053677288,234.62174365186914
12.652173913043477,6.252035421889618e-11,7.797658873667156e-11,1.4049694295556774e-10,156.23148616777775,234.2023704438623
12.77190635451505,6.140313476280067e-11,7.727673931858525e-11,1.3867987408138594e-10,155.56016928419697,233.78134597840608
12.891638795986621,6.031001865537778e-11,7.658579916095742e-11,1.368958178163352e-10,154.89024559483292,233.3589313381923
13.011371237458192,5.924048415862902e-11,7.590367731659458e-11,1.3514416147522361e-10,154.22192026374358,232.93537635913725
13.131103678929765,5.8194018186110986e-11,7.523028200951798e-11,1.3342430019562896e-10,153.55538828905935,232.51092002335128
13.250836120401337,5.7170116368215996e-11,7.456552074759404e-11,1.3173563711581003e-10,152.89083486917468,232.08579083870868
13.370568561872908,5.616828309833422e-11,7.390930042890376e-11,1.3007758352723798e-10,152.2284357567679,231.66020720552248
13.49030100334448,5.518803156145291e-11,7.326152744218742e-11,1.2844955900364034e-10,151.56835760109888,231.23437777082367
13.610033444816052,5.422888374661846e-11,7.262210776166448e-11,1.2685099150828293e-10,150.91075827898328,230.80850177068768
13.729765886287623,5.329037044461724e-11,7.199094703652981e-11,1.2528131748114704e-10,150.25578721486016,230.38276936107073
13.849498327759196,5.237203123211737e-11,7.136795067539602e-11,1.2373998190751338e-10,149.60358569032437,229.95736193756608
13.969230769230768,5.147341444344141e-11,7.075302392594481e-11,1.2222643836938621e-10,148.9542871434953,229.53245244449278
14.08896321070234,5.059407713105221e-11,7.01460719500303e-11,1.207401490810825e-10,148.3080174585691,229.10820567369922
14.208695652173912,4.973358501576652e-11,6.954699989446874e-11,1.1928058491023526e-10,147.6648952458955,228.68477855345733
14.328428093645483,4.8891512427634217e-11,6.89557129577311e-11,1.178472253853653e-10,147.0250321128969,228.26232042779876
14.448160535117056,4.8067442238360435e-11,6.83721164527463e-11,1.1643955869110674e-10,146.3885329261414,227.84097332663373
