galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
NGC2841,23.012719665271966,6.3221757322175725,1.1770365322228733,2.817864410832794e-11,6.844482406399324e-11,9.662346817232118e-11,141.45532216269345,261.93923635613834,260047587532.98334,1814442.0479500825
NGC2841,23.18786610878661,6.370292887029288,1.1776459326641702,2.7754564559629547e-11,6.796300429182363e-11,9.571756885145317e-11,140.92007759953145,261.69865723049986,262162433772.1233,1787035.4316570472
NGC2841,23.363012552301253,6.418410041841003,1.178245636867436,2.733998685818102e-11,6.748785329171103e-11,9.482784014989205e-11,140.3908632581207,261.4614246553438,264277154583.38416,1760231.7299298877
NGC2841,23.5381589958159,6.466527196652719,1.1788357991105898,2.693462924745454e-11,6.70192309685205e-11,9.395386021597504e-11,139.86756675191629,261.2274631175628,266391735917.6794,1734013.6275763004
NGC2841,23.713305439330544,6.514644351464435,1.1794165712168174,2.6538220337617873e-11,6.655700122756132e-11,9.30952215651792e-11,139.35007860508233,260.9966993772982,268506164204.74954,1708364.4245151223
NGC2841,23.88845188284519,6.562761506276151,1.1799881025936292,2.6150498651172403e-11,6.610103183012154e-11,9.225153048129394e-11,138.83829215628035,260.7690623852666,270620426341.48096,1683268.0096599471
NGC2841,24.06359832635983,6.610878661087865,1.1805505402712964,2.5771212191655907e-11,6.565119425527722e-11,9.142240644693313e-11,138.33210346631643,260.54448320358387,272734509680.47675,1658708.8360940486
NGC2841,24.238744769874476,6.658995815899581,1.1811040289406747,2.540011803408158e-11,6.520736356765897e-11,9.060748160174055e-11,137.8314112294653,260.32289492991606,274848402018.87094,1634671.8974633035
NGC2841,24.41389121338912,6.707112970711297,1.1816487109904281,2.503698193587032e-11,6.476941829087767e-11,8.980640022674799e-11,137.3361166882998,260.104232624798,276962091587.38525,1611142.7055203042
NGC2841,24.589037656903763,6.755230125523012,1.182184726543658,2.468157796711258e-11,6.433724028632714e-11,8.901881825343972e-11,136.84612355186292,259.8884332419676,279075567039.62024,1588107.2687535842
NGC2841,24.764184100418408,6.8033472803347275,1.1827122134939527,2.4333688159070168e-11,6.391071463709862e-11,8.824440279616879e-11,136.36133791702835,259.67543556157426,281188817441.5782,1565552.072043491
NGC2841,24.939330543933053,6.851464435146443,1.1832313075408594,2.3993102169896784e-11,6.348972953675591e-11,8.74828317066527e-11,135.8816681929044,259.46518012612404,283301832261.4115,1543464.0572890115
NGC2841,25.1144769874477,6.899581589958158,1.183742142224795,2.3659616966619896e-11,6.307417618273449e-11,8.673379314935438e-11,135.4070250281423,259.25760917903506,285414601359.3944,1521830.6049507558
