galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
NGC3198,17.434225941422593,5.552301255230125,1.1278911219189285,1.5406233371670465e-11,4.849601320694897e-11,6.390224657861943e-11,91.03844765171355,185.4106476626175,105751783599.9366,1698643.6714883288
NGC3198,17.58531380753138,5.600418410041841,1.1285662819437174,1.5142638929885742e-11,4.810813015050386e-11,6.32507690803896e-11,90.6465161554169,185.26067378034054,106732097957.61224,1669712.6131205333
NGC3198,17.736401673640167,5.648535564853556,1.1292306994224468,1.4885752057581506e-11,4.772640144342893e-11,6.261215350101044e-11,90.25960339900408,185.11318408550395,107712484825.63309,1641500.0666530044
NGC3198,17.887489539748955,5.6966527196652725,1.1298845452809587,1.463534709087401e-11,4.7350678299445444e-11,6.198602539031945e-11,89.877603179295,184.96811210867327,108692934460.36145,1613982.6424646361
NGC3198,18.03857740585774,5.7447698744769875,1.1305279877254748,1.4391207776731615e-11,4.698081680408475e-11,6.137202458081637e-11,89.50041241306972,184.82539369115239,109673437409.86687,1587137.895597114
NGC3198,18.189665271966525,5.7928870292887025,1.13116119228587,1.4153126805920472e-11,4.661667771413922e-11,6.076980452005969e-11,89.12793102020562,184.68496688925623,110653984507.1102,1560944.2801191907
NGC3198,18.340753138075314,5.841004184100418,1.131784321858254,1.3920905372771104e-11,4.625812626699755e-11,6.017903163976866e-11,88.76006181212037,184.54677188318053,111634566863.27031,1535381.106056597
NGC3198,18.4918410041841,5.889121338912133,1.1323975367468788,1.3694352760019962e-11,4.590503199929984e-11,5.95993847593198e-11,88.39671038523859,184.41075089021714,112615175861.21169,1510428.4987223228
NGC3198,18.642928870292888,5.937238493723849,1.133000994705378,1.3473285947106787e-11,4.5557268574383485e-11,5.903055452149028e-11,88.03778501921664,184.27684808207678,113595803149.08888,1486067.3602954699
NGC3198,18.794016736401673,5.985355648535564,1.133594850977349,1.3257529240425535e-11,4.521471361802643e-11,5.847224285845196e-11,87.68319657967668,184.14500950609795,114576440634.08592,1462279.3335070559
NGC3198,18.94510460251046,6.033472803347281,1.1341792583362915,1.3046913924133673e-11,4.487724856202429e-11,5.792416248615797e-11,87.33285842521559,184.01518301013255,115557080476.28802,1439046.7673010572
NGC3198,19.096192468619247,6.081589958158996,1.1347543671249092,1.2841277930223962e-11,4.45447584951684e-11,5.738603642539236e-11,86.98668631846863,183.88731817091272,116537715082.68228,1416352.684348
NGC3198,19.247280334728032,6.129707112970711,1.135320325293786,1.2640465526653683e-11,4.4217132021218064e-11,5.6857597547871744e-11,86.64459834102037,183.76136622571408,117518337101.28555,1394180.7502981566
NGC3198,19.39836820083682,6.177824267782427,1.1358772784394475,1.2444327022410723e-11,4.3894261123486505e-11,5.6338588145897226e-11,86.30651481196796,183.63728000714264,118498939415.39671,1372515.244667276
NGC3198,19.549456066945606,6.225941422594142,1.1364253698418176,1.2252718488473334e-11,4.3576041035682764e-11,5.58287595241561e-11,85.97235820995257,183.51501388088204,119479515137.9706,1351341.0332564383
NGC3198,19.700543933054394,6.2740585774058575,1.1369647405010768,1.2065501493692204e-11,4.326237011867413e-11,5.5327871612366334e-11,85.64205309848622,183.39452368624814,120460057606.11168,1330643.5420141416
NGC3198,19.85163179916318,6.3221757322175725,1.1374955291739361,1.1882542854689826e-11,4.295314974285419e-11,5.483569259754401e-11,85.31552605441007,183.27576667940616,121440560375.68439,1310408.7322545203
NGC3198,20.002719665271965,6.370292887029287,1.1380178724093337,1.1703714398933263e-11,4.264828417582031e-11,5.435199857475357e-11,84.99270559933093,183.15870147911485,122421017216.03885,1290623.0771514599
NGC3198,20.153807531380753,6.418410041841004,1.1385319045835618,1.1528892740193294e-11,4.234768047508224e-11,5.3876573215275536e-11,84.67352213388965,183.04328801486878,123401422104.84851,1271273.5394336437
NGC3198,20.30489539748954,6.466527196652719,1.139037757934836,1.1357959065655404e-11,4.20512483855403e-11,5.34092074511957e-11,84.35790787472509,182.92948747731873,124381769223.05804,1252347.5502112273
NGC3198,20.455983263598327,6.514644351464435,1.1395355625973171,1.1190798933996587e-11,4.1758900241486725e-11,5.294969917548331e-11,84.04579679400321,182.8172622708561,125362052949.93997,1233832.9888678545
NGC3198,20.607071129707112,6.56276150627615,1.1400254466345845,1.1027302083787271e-11,4.147055087289832e-11,5.2497852956685587e-11,83.73712456138942,182.70657596825262,126342267858.25589,1215718.1639572391
NGC3198,20.7581589958159,6.610878661087866,1.1405075360725847,1.0867362251619248e-11,4.118611751580224e-11,5.205347976742149e-11,83.43182848834812,182.5973932672558,127322408709.52277,1197991.7950480192
NGC3198,20.909246861924686,6.658995815899581,1.140981954932052,1.0710876999399512e-11,4.090551972650914e-11,5.1616396725908656e-11,83.1298474746597,182.4896799490427,128302470449.38007,1180642.995461246
NGC3198,21.06033472803347,6.707112970711297,1.1414488252604118,1.0557747550285782e-11,4.0628679299519566e-11,5.1186426849805345e-11,82.83112195705203,182.38340283844207,129282448203.05673,1163661.2558525389
NGC3198,21.21142259414226,6.7552301255230125,1.1419082671631806,1.040787863277308e-11,4.035552018892106e-11,5.076339882169414e-11,82.53559385984771,182.2785297658391,130262337270.9359,1147036.4285905776
NGC3198,21.362510460251045,6.8033472803347275,1.1423603988348616,1.0261178332471833e-11,4.008596843310322e-11,5.034714676557505e-11,82.24320654753461,182.1750295306821,131242133124.21506,1130758.7128883516
NGC3198,21.513598326359833,6.851464435146443,1.142805336589353,1.0117557951146827e-11,3.981995208262794e-11,4.993751003377477e-11,81.95390477917175,182.07287186651445,132221831400.6605,1114818.640645603
NGC3198,21.66468619246862,6.899581589958158,1.1432431948898694,9.976931872613425e-12,3.9557401131101105e-11,4.953433300371453e-11,81.66763466454688,181.97202740745885,133201427900.45284,1099207.0629636147
NGC3198,21.815774058577407,6.947698744769875,1.1436740863783879,9.83921743511237e-12,3.929824744890039e-11,4.913746488401276e-11,81.38434362200734,181.87246765608666,134180918582.12318,1083915.137296632
NGC3198,21.966861924686192,6.99581589958159,1.1440981219046278,9.704334809808004e-12,3.904242471962211e-11,4.874675952943011e-11,81.1039803378884,181.77416495260562,135160299558.5773,1068934.315204542
NGC3198,22.117949790794977,7.043933054393305,1.144515410554565,9.572206885076342e-12,3.878986837911709e-11,4.836207526419343e-11,80.82649472746901,181.67709244530602,136139567093.20622,1054256.3306757216
NGC3198,22.269037656903766,7.092050209205021,1.1449260596784974,9.44275915626989e-12,3.8540515556993145e-11,4.798327471326303e-11,80.5518378973867,181.58122406220642,137118717596.08162,1039873.1889891684
NGC3198,22.42012552301255,7.140167364016736,1.1453301749186595,9.315919620664922e-12,3.829430502046773e-11,4.761022464113265e-11,80.2799621094481,181.48653448384337,138097747620.23386,1025777.1560876206
NGC3198,22.57121338912134,7.188284518828452,1.145727860236401,9.191618677314598e-12,3.805117712046122e-11,4.7242795797775816e-11,80.01082074577387,181.39299911715332,139076653858.01166,1011960.7484356428
NGC3198,22.722301255230125,7.236401673640167,1.1461192179389308,9.069789031547867e-12,3.7811073739826426e-11,4.6880862771374295e-11,79.74436827522062,181.3005940703969,140055433137.52155,998416.7233360264
NGC3198,22.87338912133891,7.284518828451882,1.1465043487056366,8.950365603869476e-12,3.757393824361601e-11,4.6524303847485487e-11,79.48056022102465,181.20929612907824,141034082419.1447,985138.0696822566
NGC3198,23.0244769874477,7.332635983263598,1.1468833516139851,8.833285443030777e-12,3.733971543129442e-11,4.61730008743252e-11,79.21935312961546,181.11908273281463,142012598792.1312,972117.9991240426
NGC3198,23.175564853556484,7.380753138075313,1.1472563241650109,8.718487643054558e-12,3.710835149080567e-11,4.582683913386023e-11,78.96070454054934,181.0299319531145,142990979471.2681,959349.9376246354
NGC3198,23.326652719665272,7.428870292887029,1.1476233623083976,8.605913264009636e-12,3.6879793954413104e-11,4.548570721842274e-11,78.70457295751572,180.94182247202232,143969221793.62192,946827.5173907973
NGC3198,23.477740585774058,7.476987447698744,1.1479845604671641,8.495505256342846e-12,3.665399165623167e-11,4.514949691257451e-11,78.4509178203714,180.85473356159355,144947323215.3522,934544.5691560757
NGC3198,23.628828451882846,7.52510460251046,1.1483400115619538,8.387208388586971e-12,3.6430894691376855e-11,4.4818103079963825e-11,78.19969947815991,180.76864506416183,145925281308.59625,922495.1147999325
NGC3198,23.77991631799163,7.573221757322175,1.1486898070349385,8.280969178273647e-12,3.621045437665885e-11,4.44914235549325e-11,77.95087916307534,180.68353737336446,146903093758.42194,910673.3602861317
NGC3198,23.931004184100416,7.62133891213389,1.1490340368733447,8.176735825889788e-12,3.599262321275374e-11,4.4169359038643525e-11,77.70441896533131,180.59939141589345,147880758359.84915,899073.6889048318
NGC3198,24.082092050209205,7.669456066945607,1.1493727896326018,8.074458151725338e-12,3.577735484778698e-11,4.385181299951232e-11,77.46028180889894,180.51618863394017,148858273014.93683,887690.6548026248
NGC3198,24.23317991631799,7.717573221757322,1.1497061524591232,7.974087535468556e-12,3.55646040422678e-11,4.3538691577736356e-11,77.21843142807785,180.433910968304,149835635729.9345,876518.9767877792
NGC3198,24.38426778242678,7.7656903765690375,1.1500342111127273,7.875576858413038e-12,3.535432663531612e-11,4.322990349372916e-11,76.9788323448668,180.35254084213724,150812844612.49872,865553.5323964298
NGC3198,24.535355648535564,7.8138075313807525,1.1503570499886975,7.77888044814827e-12,3.514647951212632e-11,4.292535996027459e-11,76.74144984710223,180.27206114529795,151789897868.96982,854789.3522072592
