GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,RA,DEC,zSDSS,Dlum,lgMstar,expAB_r,model_r,merr_r,ext_r,petrR50_r,petrR90_r,petrR50_z,lgmust,CINDX,INCL,NUVr,lgSFR_tot_median,SFR_best,SFRerr_best,SFRcase_best,HIsrc,HI_FLAG,xGASSDR,zHI,W50cor,lgMHI,lgGF,HIconf_flag,weight,group_id_B,NYU_id,env_code_B,Ngal_B,yang_shred_code,logMh_Mst_B,lvir_ratB,galaxy_id,Vflat,M_star,M_HI,M_bar,logM_bar,logVflat,f_atm_total,B_T,j_bar_total,SFR,lg_M_bar_total,V_rot_HI_am,lg_M_star_total,lg_M_HI,incl,b_a,btfr_offset_dex,Mbar_msun,logMbar,f_atm,logVw50,btfr_residual_dex,btfr_abs_residual
57017,712888,J092229.28+142743.3,2440,53818,180,140.622,14.46205,0.03232,141.8,10.536,0.255668,16.3059,0.0057,0.0851,3.95,12.16,3.04,9.15,3.08,80.6,4.22,-0.0076743746,0.33558795,0.18720451,1,3,1,1,0.032266,361.0,9.813,-0.723,0.0,0.634,446240,2349485,1,1,0,0.0,-99.0,57017,182.9567131774671,34355794789.98743,6501296903.430916,43002519671.55055,10.633493903193331,2.2623483495561088,0.2607868867495387,0.4710424217633851,1349.616850610662,0.3355879485607147,10.527047728739191,180.5,10.382892883234144,9.812999725341797,90.0,0.100021533090823,-0.0136768301285385,43002519671.55055,10.633493903193333,0.2607868867495387,2.5575072019056577,-0.0136768301285385,0.0136768301285385
109020,5003,J092414.56+110638.1,1740,53050,518,141.0607,11.1106,0.01143651,49.4,9.539716,0.444807,14.5547,0.0028,0.094,9.83,21.4,7.97,8.2,2.18,66.1,3.45,-1.5644736,0.11514309,0.0,9,3,1,4,0.011491,219.0,8.606,-0.934,0.0,2.343,234176,1128775,1,1,0,0.0,-99.0,109020,119.76978537866133,3465101815.0063105,403645392.9676049,4001950187.653225,9.60227167866252,2.0783472713225226,0.1213700271551419,0.1133667872493768,448.71708765024096,0.1151430904865264,9.652222267975366,118.23260986074902,9.579781760558996,8.605999946594238,67.840955022612,0.420206318152058,0.0898989421723994,4001950187.653225,9.60227167866252,0.1213700271551419,2.3404441148401185,0.0898989421723994,0.0898989421723994
32937,190292,J092708.07+292408.2,1939,53389,474,141.78365,29.4023,0.02583,112.8,10.449,0.44122,14.6608,0.0025,0.0623,6.63,18.38,5.57,8.73,2.77,66.3,3.91,0.22360066,1.2039255,0.18956333,1,3,1,3,0.025831,272.0,9.368,-1.081,0.0,0.712,334,1875744,0,31,0,13.6649,-0.01818666,32937,148.52632507787314,28119008303.989395,2333458062.2810044,31222507526.82313,10.494467778974045,2.1718034356250002,0.1081657235618046,0.496965184747961,741.5744174105143,1.2039254903793335,10.46424413516608,138.6821763906697,10.390615309775272,9.368000030517578,78.71313259158512,0.277082266688476,-0.065451541096658,31222507526.82313,10.494467778974045,0.1081657235618046,2.4345689040341987,-0.065451541096658,0.065451541096658
32907,195072,J093009.18+285351.3,1939,53389,143,142.53828,28.8976,0.0349,153.5,10.467,0.260683,15.8507,0.0038,0.0574,4.64,10.94,4.36,8.71,2.36,80.2,4.74,0.0057894955,0.859467,0.2309995,1,3,1,3,0.034934,336.0,9.337,-1.13,0.0,0.712,357830,1888654,1,1,0,0.0,-99.0,32907,170.48777491894108,29308932452.50324,2172701178.863744,32198625020.39202,10.507837326391288,2.2316932427091896,0.0888621343251997,0.0,842.4778804070432,0.8594670295715332,10.518616919515289,170.15189233249305,10.463464076171224,9.336999893188477,80.8780375796183,0.253236023249931,-0.0092900985180652,32198625020.39202,10.507837326391288,0.0888621343251997,2.526339277389844,-0.0092900985180652,0.0092900985180652
109126,721497,J093459.07+254932.4,2294,54524,501,143.74614,25.82568,0.013170429,57.0,9.144584,0.736694,15.2173,0.0043,0.06,4.46,10.37,4.53,8.17,2.33,43.6,2.46,-0.6500001,0.1628876,0.088671,1,3,1,4,0.013152,49.0,8.252,-0.893,0.0,2.294,379146,1961760,1,1,0,0.0,-99.0,109126,35.52683537256423,1395031454.5525248,178648757.48520535,1632634302.007848,9.212888916882395,1.5505565235196201,0.1261992976232644,0.0,64.85253007390898,0.1628876030445099,9.281276717960887,33.87588172993239,9.187922962823372,8.251999855041504,46.32167106296676,0.7055941068388679,-0.3293046692970993,1632634302.007848,9.212888916882395,0.1261992976232644,1.6901960800285136,-0.3293046692970993,0.3293046692970993
20144,192359,J093502.01+095512.4,1303,53050,571,143.7584,9.92012,0.04961,220.5,10.065,0.852598,16.3466,0.005,0.0809,4.08,7.39,3.76,8.14,1.81,32.2,2.74,-0.17131145,0.76449025,0.0,9,3,1,1,0.049618,79.0,9.346,-0.719,0.0,0.655,32345,1075391,0,2,0,12.1033,-0.4841111,20144,74.12602469612865,11614486138.403414,2218196419.8002195,14564687376.737703,10.163301167163834,1.8699707099716225,0.1936888338746391,0.1649923539952075,348.6501259531185,0.7644902467727661,10.18922891738394,77.64664036113108,10.063968473070434,9.345999717712402,30.57826525733584,0.8669260757463699,-0.274931863009028,14564687376.737705,10.163301167163834,0.1936888338746391,1.8976270912904414,-0.274931863009028,0.274931863009028
109103,0,J093640.73+024212.7,477,52026,322,144.16974,2.70355,0.018936401,82.3,9.45266,0.224252,16.254,0.0043,0.1042,4.26,9.72,4.01,8.28,2.28,84.1,3.74,-0.84898245,0.13619518,0.108887516,1,3,1,4,0.018926,216.0,8.827,-0.626,0.0,2.356,113116,389284,1,1,0,0.0,-99.0,109103,108.57514238574616,2835698150.877109,671428852.9259523,3728698525.2686257,9.571557270970562,2.0357304075696416,0.2793783188396237,0.0,335.9328741813312,0.1361951828002929,9.511140750964772,108.27617330043218,9.346665560261371,8.82699966430664,85.90688091793761,0.2118749136931,0.0558474025756234,3728698525.2686257,9.571557270970562,0.2793783188396237,2.3344537511509307,0.0558474025756234,0.0558474025756234
8349,193089,J093953.62+034850.2,569,52264,635,144.97343,3.81395,0.02852,124.8,10.365,0.328113,15.7489,0.0033,0.1365,4.18,12.26,3.46,8.97,2.93,74.6,4.72,0.21383949,0.8831002,0.19593805,1,3,1,3,0.028783,324.0,8.808,-1.557,0.0,0.887,121516,457542,1,1,0,0.0,-99.0,8349,168.03316278506162,23173946499.684795,642687717.3170193,24028721163.71643,10.380730657765188,2.2253950019237396,0.0317558373489054,0.4539979015892248,433.8665557459583,0.8831002116203308,10.436509846061638,162.707233727202,10.402675953727131,8.807999610900879,84.65591794534228,0.2198350694052889,0.0198578861325784,24028721163.71643,10.380730657765188,0.0317558373489054,2.510545010206612,0.0198578861325784,0.0198578861325784
109072,5154,J094031.83+285809.5,1944,53385,531,145.13263,28.96933,0.018868074,82.0,9.676524,0.364078,14.9273,0.0029,0.0587,5.79,18.05,3.46,8.63,3.12,71.9,2.16,-0.38386416,0.57794595,0.14783801,1,3,1,4,0.01888,243.0,9.621,-0.056,0.0,1.769,362770,1906293,1,1,0,0.0,-99.0,109072,127.82534360786222,4748145294.37173,4178303666.466222,10305289170.771805,10.01306018277302,2.1066169688290297,0.5981864587220914,0.339904747662255,1081.7691624608312,0.5779459476470947,9.974497481807582,124.3438288714564,9.54331973468848,9.621000289916992,77.72254214474775,0.288807158274436,0.0036120858753512,10305289170.771805,10.013060182773021,0.5981864587220914,2.385606273598312,0.0036120858753512,0.0036120858753512
109108,191848,J094419.42+095905.2,1305,52757,433,146.08095,9.98479,0.010213973,44.1,9.615812,0.593433,15.3358,0.0028,0.0794,3.36,7.86,2.8,9.28,2.34,55.2,4.57,-0.121403895,0.077398315,0.0,9,3,1,4,0.010247,227.0,8.512,-1.104,0.0,1.769,225975,1074393,1,1,0,0.0,-99.0,109108,138.22092104276666,4128687382.052158,325087297.3854347,4561053487.574786,9.659065165251764,2.140573782587938,0.0860753674771629,0.0,134.78061296244198,0.0773983150720596,9.707454966651907,146.95659679347713,9.63690755982852,8.51200008392334,50.56420525763674,0.653724642812573,0.1362874588565397,4561053487.574786,9.659065165251764,0.0860753674771629,2.3560258571931225,0.1362874588565397,0.1362874588565397
18702,191883,J095051.58+081340.7,1235,52734,374,147.71494,8.22798,0.02987,130.9,10.204,0.254662,15.8155,0.0036,0.1025,3.86,8.49,3.5,8.76,2.2,80.7,3.76,-0.091709055,0.65747505,0.21505533,1,3,1,2,0.029881,330.0,9.257,-0.947,0.0,0.681,220697,1055898,1,1,0,0.0,-99.0,18702,167.1976939048127,15995580286.146711,1807174126.0109255,18399121873.74124,10.26479709613513,2.223230283083133,0.1513847222625611,0.0,662.9274910871299,0.6574750542640686,10.207251683402548,166.24048772456803,10.09998413205898,9.256999969482422,82.99616521575058,0.232966949649548,0.050023549368436,18399121873.74124,10.26479709613513,0.1513847222625611,2.5185139398778875,0.050023549368436,0.050023549368436
109077,192407,J095118.36+090821.2,1306,52996,209,147.82651,9.13923,0.017799927,77.3,9.504068,0.398633,15.633,0.0039,0.0891,5.73,11.81,5.45,8.12,2.06,69.4,3.0,-0.87482756,0.10583921,0.06088422,1,3,1,4,0.017869,246.0,8.867,-0.637,0.0,2.343,230023,1113724,1,1,0,0.0,-99.0,109077,131.4018983876891,3192037611.773883,736207097.4947376,4171193051.441884,9.620260290357876,2.118601639602318,0.2465764562801413,0.0442055742189978,460.73553704570656,0.1058392077684402,9.605381785248891,127.87271100325444,9.459862950024071,8.866999626159668,74.13197564379938,0.3343193701451839,0.1251368278999574,4171193051.441884,9.620260290357875,0.2465764562801413,2.3909351071033793,0.1251368278999574,0.1251368278999574
109120,191362,J095127.77+071549.3,1235,52734,230,147.86574,7.26371,0.013069032,56.5,9.120564,0.382393,15.4622,0.0033,0.1312,4.58,9.35,4.16,8.23,2.04,70.6,2.54,-1.2969135,0.10361788,0.0807946,1,3,1,4,0.013046,157.0,8.701,-0.42,0.0,2.294,198405,937258,1,1,0,0.0,-99.0,109120,83.22531200725346,1319969815.3156846,502342589.5223877,1988085459.3804605,9.298435048944418,1.9202554319785938,0.3690697105676397,0.0,224.7975878500404,0.1036178767681121,9.264225610251003,82.36045242329028,9.016597058095265,8.701000213623047,72.38800647467549,0.357611967401747,0.0165379968810217,1988085459.3804603,9.298435048944418,0.3690697105676397,2.1958996524092336,0.0165379968810217,0.0165379968810217
22822,191539,J095144.91+353719.6,1595,52999,111,147.93713,35.62213,0.02699,118.0,10.56,0.392836,14.8365,0.0025,0.0261,4.22,10.92,3.73,9.15,2.59,69.8,3.94,0.26357874,3.2220826,0.24096988,1,3,1,3,0.027185,331.0,9.931,-0.629,0.0,0.634,237945,1156121,1,1,0,11.8564,-3.5349,22822,176.34654279406558,36307805477.01018,8531001140.175878,47654036993.44409,10.678099697623065,2.2463669499112053,0.3027756326114365,0.0,1229.4461716297578,3.2220826148986816,10.580212603809004,181.8161291365888,10.380544876651657,9.930999755859377,65.54134463819804,0.4522932452216671,-0.0420974437202992,47654036993.44409,10.678099697623065,0.3027756326114365,2.519827993775719,-0.0420974437202992,0.0420974437202992
18707,192520,J095150.14+082213.8,1235,52734,409,147.95892,8.37052,0.04054,179.0,10.572,0.59564,15.0764,0.0026,0.1272,3.33,8.61,3.04,9.0,2.59,55.1,3.48,0.23300663,1.3610405,0.25286004,1,3,1,2,0.040481,296.0,9.713,-0.859,0.0,0.634,220705,1055921,1,1,0,12.15,-3.596261,18707,180.454382113464,37325015779.57198,5164163692.7207,44193353490.89052,10.645356958053126,2.256367432832704,0.1707427611378552,0.4081754349833274,1136.2917067992285,1.361040472984314,10.610991779632288,241.6829879546069,10.510761863912222,9.713000297546388,37.76124390703504,0.8,-0.0229659959113059,44193353490.89052,10.645356958053126,0.1707427611378552,2.4712917110589387,-0.0229659959113059,0.0229659959113059
109058,191366,J095203.80+193904.0,2362,53759,110,148.01584,19.65112,0.016120117,69.9,9.906361,0.294738,14.5408,0.0025,0.0771,6.75,16.4,6.59,8.44,2.43,77.2,3.14,-0.3672316,0.44044954,0.13433576,1,3,1,4,0.016061,272.0,9.526,-0.38,0.0,1.308,419545,2253395,1,1,0,0.0,-99.0,109058,139.46581556919574,8060481768.276011,3357376142.429545,12525792037.707306,10.097805196952876,2.1444677708427364,0.3827492657390047,0.0,865.1048370433463,0.4404495358467102,10.07341942063893,139.4380984918752,9.834312968483896,9.526000022888184,77.25022612257052,0.294546146536575,0.0178300532811399,12525792037.707306,10.097805196952875,0.3827492657390047,2.4345689040341987,0.0178300532811399,0.0178300532811399
18673,192637,J095301.79+072736.4,1235,52734,119,148.25748,7.46012,0.03853,169.9,10.381,0.658901,15.445,0.0027,0.1227,2.67,6.07,2.47,9.03,2.27,50.2,2.95,0.5326507,3.4045248,0.27950552,1,3,1,2,0.038467,350.0,9.316,-1.065,0.0,0.887,220307,1054417,1,1,0,11.8307,-3.9244642,18673,227.7804933020892,24043628000.069347,2070141348.7910457,26796915993.96144,10.428084814779746,2.357516529163623,0.1037595422502848,0.0,629.45149633583,3.404524803161621,10.43030572060906,223.1760528219784,10.330541319994198,9.315999984741213,51.64068318628424,0.640100031084525,0.1387737637946897,26796915993.961437,10.428084814779746,0.1037595422502848,2.5440680443502757,0.1387737637946897,0.1387737637946897
18686,190567,J095302.62+075029.3,1235,52734,171,148.26093,7.84149,0.04107,181.4,10.551,0.6056,14.9976,0.0026,0.1109,5.76,12.1,4.91,8.55,2.1,54.3,2.99,0.0909677,1.8697304,0.0,9,3,1,2,0.041025,342.0,10.291,-0.26,0.0,0.634,220493,1055173,1,1,0,12.1391,-3.1969283,18686,210.56947264340005,35563131856.898544,19543394557.753963,61555846618.71132,10.78926930882956,2.3233954094729112,0.4180708906403185,0.1565234228307587,2848.653122903638,1.869730353355408,10.800084219224404,208.95679269076155,10.533773544322486,10.291000366210938,54.920061461516106,0.597569725711216,0.0039291561981498,61555846618.71132,10.78926930882956,0.4180708906403185,2.534026106056135,0.0039291561981498,0.0039291561981498
