galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
NGC2841,21.26125523012552,5.841004184100417,1.1703734570212438,3.301246709245315e-11,7.366379304908498e-11,1.0667626014153812e-10,147.16641609801738,264.5474709033158,238895628681.73538,2125976.872555686
NGC2841,21.436401673640166,5.889121338912133,1.1710888743913062,3.2475213194600705e-11,7.310658267578525e-11,1.0558179587038596e-10,146.56397028864563,264.2687059579511,241010841784.7144,2091431.7742765686
NGC2841,21.61154811715481,5.937238493723849,1.1717929086762218,3.195096849275794e-11,7.255769905783383e-11,1.0450866755059178e-10,145.96886299955958,263.9941888020733,243126099045.52014,2057703.4153769936
NGC2841,21.786694560669456,5.985355648535565,1.1724857409935214,3.1439316341654133e-11,7.201695249987958e-11,1.0345626884153371e-10,145.38094644371782,263.72381573100444,245241380925.47482,2024766.5458793978
NGC2841,21.961841004184098,6.033472803347279,1.1731675495789544,3.0939856643303525e-11,7.148415918228472e-11,1.0242401582558824e-10,144.80007696749362,263.45748637756,247356668496.4857,1992596.8832002494
NGC2841,22.136987447698743,6.081589958158995,1.1738385098323416,3.045220506460329e-11,7.095914093145561e-11,1.014113459960589e-10,144.22611490321648,263.1951035825697,249471943426.56128,1961171.0678120486
NGC2841,22.31213389121339,6.129707112970711,1.1744987943626977,2.9975992297753584e-11,7.044172500094638e-11,1.0041771729869997e-10,143.65892442809218,262.9365732712547,251587187965.6338,1930466.6212726564
NGC2841,22.487280334728034,6.177824267782427,1.1751485730326363,2.9510863360842004e-11,6.993174386274977e-11,9.944260722359177e-11,143.09837342917862,262.68180433515755,253702384931.68256,1900461.9064758096
NGC2841,22.662426778242676,6.225941422594142,1.1757880130020681,2.905647693611896e-11,6.942903500822395e-11,9.848551194434291e-11,142.54433337411209,262.4307085193385,255817517697.1508,1871136.089989827
NGC2841,22.83757322175732,6.2740585774058575,1.1764172787712037,2.8612504743660218e-11,6.893344075813918e-11,9.754594550179939e-11,141.99667918729716,262.1832003145692,257932570175.6511,1842469.10636015
NGC2841,23.012719665271966,6.3221757322175725,1.1770365322228733,2.817863094827045e-11,6.844480808135899e-11,9.662343902962943e-11,141.45528913128885,261.93919685427016,260047526808.95438,1814441.6242575387
NGC2841,23.18786610878661,6.370292887029288,1.1776459326641702,2.7754551597626698e-11,6.79629884216997e-11,9.57175400193264e-11,140.92004469311246,261.6986178159518,262162372554.25397,1787035.0143642463
NGC2841,23.363012552301253,6.418410041841003,1.178245636867436,2.7339974089795238e-11,6.74878375325402e-11,9.482781162233544e-11,140.3908304752792,261.4613853269349,264277092871.70386,1760231.3188960403
NGC2841,23.5381589958159,6.466527196652719,1.1788357991105898,2.6934616668379832e-11,6.701921531877823e-11,9.395383198715806e-11,139.86753409127036,261.22742387413643,266391673712.2206,1734013.2226646484
NGC2841,23.713305439330544,6.514644351464435,1.1794165712168174,2.6538207943675e-11,6.655698568575488e-11,9.309519362942988e-11,139.3500460652757,260.9966602177217,268506101505.548,1708364.0255928796
NGC2841,23.88845188284519,6.562761506276151,1.1799881025936292,2.6150486438304234e-11,6.610101639478907e-11,9.22515028330933e-11,138.83825973598158,260.76902330843035,270620363148.57556,1683267.616597986
NGC2841,24.06359832635983,6.610878661087865,1.1805505402712964,2.5771200155923006e-11,6.565117892498687e-11,9.142237908090987e-11,138.3320711642184,260.544444208401,272734445993.90912,1658708.4487668893
NGC2841,24.238744769874476,6.658995815899581,1.1811040289406747,2.5400106171657956e-11,6.520734834100806e-11,9.060745451266602e-11,137.83137904428455,260.32285601532146,274848337838.6857,1634671.5157490668
NGC2841,24.41389121338912,6.707112970711297,1.1816487109904281,2.503697024303938e-11,6.47694031664919e-11,8.980637340953128e-11,137.3360846187759,260.10419378974797,276962026913.6298,1611142.3293004374
