object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,M_star_Msun,M_gas_Msun,M_baryon_Msun,R_d_star_kpc,R_HI_kpc,R_HI_over_Rd,log10_Sigma_b,Sigma_baryon_1Rd,Sigma_baryon_2p2Rd,baryonic_concentration_2p2Rd,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,baryonic_maturity_score,quality_reliability_separate,maturity_inputs_baryon_only,quarantine_flag,testability_class,measurement_uncertainty_penalty_separate
UGC05721,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.2621031432633075,0.7378968567366925,265500000.0,747460000.0000001,1012960000.0000001,0.38,6.74,17.736842105263158,9.04784523458566,175721353.30013776,96508664.76476291,0.20918784137163615,0.024409019242135982,0.33329469958800834,0.68,0.5,1.8996163212039246e-11,0.3075407437698281,True,True,False,measurement_limited,0.4571428571428571
D631-7,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.2026049204052098,0.7973950795947902,98000000.0,385700000.0,483700000.0,0.7,0.0,0.0,8.196200139001826,55859884.71266776,32068242.072325848,0.49395840573453215,0.0050933659811907075,0.48368942574801377,1.0,0.5,0.9999995986455908,0.597756478074959,True,True,False,testable_direct,0.0
DDO064,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.2185837997382563,0.7814162002617436,78500000.0,280630000.0,359130000.0,0.69,3.49,5.057971014492754,8.0793736356896,36315883.23270567,21531921.295395244,0.43403476227478627,0.007778317142435791,0.3715034095502309,0.68,0.5,0.9703583508021598,0.5059280154989654,True,True,False,measurement_limited,0.4571428571428571
UGC08490,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3468385512584407,0.6531614487415592,508499999.99999994,957600000.0,1466100000.0,0.67,7.8,11.641791044776118,8.715834119988067,114299919.55449659,63674895.401653744,0.2964486563260639,0.19333565381707607,0.33152549548055676,1.0,0.5,1.4487263577227493e-05,0.40497512731224206,True,True,False,testable_direct,0.0
NGC5585,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3966424880522063,0.6033575119477936,1471500000.0,2238390000.0000005,3709890000.0000005,1.53,10.92,7.137254901960784,8.401798302775038,73290835.12227021,41560251.11234386,0.3987449778074533,0.474927333448087,0.346863573367087,1.0,0.5,0.24376530678643363,0.5131112427203216,True,True,False,testable_direct,0.0
UGC07603,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3539556425801107,0.6460443574198893,188000000.0,343140000.0,531140000.0,0.53,4.37,8.245283018867925,8.47847740168307,76563096.8597609,43783855.75090473,0.35208860405456777,0.22466396453765944,0.3119505177833128,1.0,0.5,0.026741564707386114,0.41267120940567165,True,True,False,testable_direct,0.0
UGC06667,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.3936386639390917,0.6063613360609084,698500000.0,1075970000.0,1774470000.0,5.15,8.59,1.6679611650485435,7.027274334924381,5627360.37540641,2839932.677516034,0.6454298932405317,0.4550028626215021,0.6533705914233253,0.84,0.5,0.9999836593805465,0.6896714226850748,True,True,False,measurement_limited,0.4285714285714285
UGC01281,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.3110022554271215,0.6889977445728784,176500000.0,391020000.0,567520000.0,1.63,5.26,3.226993865030675,7.531426093961837,16754987.355105529,8686274.318344861,0.6183335516532248,0.08439210223254309,0.6357127901923026,0.84,0.5,0.9994780011860841,0.611916578722186,True,True,False,measurement_limited,0.4285714285714285
UGC05005,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3325929759608286,0.6674070240391713,2049999999.9999998,4113690000.0,6163690000.0,3.2,21.61,6.753125,7.981360962953233,26274600.288142834,15258765.283086892,0.3854550994236533,0.1408362282199201,0.15323617316042493,1.0,0.5,0.4308157086791707,0.44497762201190316,True,True,False,testable_direct,0.0
UGC07524,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3398371125563953,0.6601628874436046,1218000000.0,2366070000.0,3584070000.0,3.46,12.11,3.5,7.678044417277685,21886961.529090226,11625904.04618062,0.590469790067021,0.1658700066266732,0.5983235534088752,1.0,0.5,0.9990428977881448,0.6526472915647387,True,True,False,testable_direct,0.0
