mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,repeat,uses_angular_momentum
0.012004215195154223,0.10956374945735575,0.9571310421277114,0.9210749491556725,0.9504299281412394,0.9553012427373523,-1.374854157620382,1.6809939463827184,0.5132919827878281,0.3613072895594609,87,21,True
0.010742591527996108,0.10364647378466914,0.9586733593545806,0.9105338258078494,0.9571974497774244,0.9585395098518403,-1.5275688386429112,1.8379294978004201,0.520444920220339,0.3559008548198993,87,22,True
0.011358837286479238,0.10657784613360902,0.9625884723150946,0.9209108156344755,0.9600465186198839,0.9571707902023153,-1.3522403266351786,1.8273426118373561,0.5169081307846912,0.3589670362802109,87,23,True
0.010629170463408714,0.10309786837470848,0.9662936841145553,0.9177009405944909,0.9632279902365182,0.961001116190034,-1.4681321329434054,1.816653575130604,0.5251830449122519,0.3610251920165916,87,24,True
0.010874271945049724,0.10427977725834345,0.9595494685485417,0.9167919939991904,0.9558953773572616,0.95913907969226,-1.4448101317146207,1.7900633155364727,0.5163577403151247,0.35924297895383267,87,25,True
0.01041204370219453,0.10203942229449621,0.9571492944025854,0.9107418114772504,0.9516938653844152,0.9591305379550684,-1.525392347125889,1.730279121835586,0.5157478592937064,0.3538447129153749,87,26,True
0.012818509482151538,0.11321885656617248,0.9532433075795086,0.9079519022383534,0.9504670190985538,0.948947957237624,-1.3955311447870382,1.8350207156842946,0.5201289310178708,0.3555539038456465,87,27,True
0.010438823911129855,0.10217056284042804,0.9621869222678624,0.9185167918504547,0.9595794621745348,0.961463344279646,-1.4842458236620784,1.718891861447583,0.5224192156965534,0.36041225033687196,87,28,True
0.01274696481326204,0.11290245707362635,0.9522850631486136,0.9110818063807123,0.9481261608319252,0.9515819553760965,-1.4191871924629353,1.7604794465771978,0.5229829817927413,0.3607906523204111,87,29,True
0.010095577109897842,0.10047674910096287,0.9643224384281428,0.9317735482817165,0.9566895372948802,0.9630295095435509,-1.3089285563272817,1.7019402915826445,0.5073309299825656,0.35957140173687363,87,30,True
0.01356079702604004,0.1164508352311826,0.9459606499047063,0.9095482325360091,0.9402140567166722,0.9460559407594645,-1.4639500415074416,1.7211259595479567,0.516700743976368,0.3559005004619745,87,31,True
0.009430594419836092,0.09711124764843716,0.9666587296120394,0.9206916818396571,0.9609781012327241,0.9642677895169527,-1.4535056506556594,1.6760808479440135,0.5077843680723404,0.3566344401816402,87,32,True
0.009233786057654262,0.09609259106535874,0.9607723709651126,0.9219405584210814,0.9576629586597871,0.9638502783402653,-1.373606061918217,1.7564024438538355,0.5045891286353509,0.35354379572997896,87,33,True
0.01530622932552733,0.12371834676201962,0.9362504396716368,0.8933488813050615,0.9337669348923718,0.9380146642706582,-1.5441019257968647,1.71864491371114,0.5081076210795327,0.3554673146249749,87,34,True
0.01046133094016398,0.10228064792600787,0.9612195516995302,0.9274351313780089,0.95617572214483,0.9611550018846721,-1.31838261244489,1.801163921981919,0.5146408101278186,0.3592865092669256,87,35,True
0.01317292162195238,0.11477334891843306,0.9508431334335526,0.898057429313374,0.9484471512938524,0.9489118340950055,-1.5718332147929535,1.7408237130869686,0.5236141515622537,0.35753006535866083,87,36,True
0.010021605359403727,0.10010796851102177,0.9612743085241529,0.9210346726077759,0.9569204430892018,0.9622026508060787,-1.427282893412646,1.6961067345525827,0.5142273166587015,0.358241217511374,87,37,True
0.010476250935900377,0.10235355849163418,0.9619405165570607,0.9205513307045063,0.9577774190031648,0.9609215797138735,-1.4182646346197139,1.7894735330239095,0.5261083016643658,0.3594510713449326,87,38,True
0.009935731677616166,0.09967814042013508,0.9630265269120751,0.9166433323767883,0.9603444590234924,0.9635050400246877,-1.5526610514324386,1.9093829184117785,0.5345926585392672,0.3590019643500756,87,39,True
0.010504935198627708,0.10249358613409772,0.959677234472661,0.9179691102835659,0.9556056888293848,0.9599279836005419,-1.4177544868873289,1.832150273021037,0.5188432312147824,0.3567297972741442,87,40,True
0.012822943331104562,0.11323843574998978,0.9473843273448933,0.9030819709012293,0.9423587959055909,0.9504502752239296,-1.5548050349431137,1.6901648280455752,0.5078656620817671,0.35609993712930965,87,41,True
0.011097049845145784,0.10534253578277762,0.9546304804699471,0.9156373709915282,0.951370625597546,0.960640843156801,-1.4864130841715846,1.9277239040127363,0.5288359759328926,0.36329536678906016,87,42,True
0.01136369505426873,0.10660063346091678,0.9628166257510219,0.9218430882883955,0.9576813251006344,0.9569811703488548,-1.4092720363564017,1.7092755145218164,0.5126670250800849,0.35776505023880095,87,43,True
0.011872769675222935,0.10896223967605904,0.9591296662264353,0.9187199375804574,0.9544501753423122,0.9553369426366866,-1.3974793755755206,1.7110150931524641,0.5129827726738599,0.3582226992642617,87,44,True
0.011934840434213629,0.10924669530111027,0.9490179059461336,0.9119746964221407,0.9448006209396996,0.952419319971904,-1.4421934548667694,1.656494133279866,0.5148067638261031,0.35422640845402853,87,45,True
0.010322901705270815,0.1016016816065109,0.9596407299229127,0.9110627778435204,0.9568735334790669,0.9615176927607322,-1.5317519168290377,1.8589728475829865,0.5288769175217731,0.35926975795264426,87,46,True
0.010213820420228212,0.10106344749823357,0.9603343163681319,0.9140419020697182,0.9558301538988216,0.9613000241017814,-1.4742667356225008,1.8932255518661503,0.525982292161881,0.35696767457664114,87,47,True
0.010015547176702444,0.10007770569263888,0.9640121497552814,0.9249526191944526,0.9611158495390789,0.9622544081797554,-1.326552882362656,1.6988534523092067,0.5051930621315917,0.3569529972944076,87,48,True
0.011709598664529799,0.10821089900989549,0.9604894607045626,0.9170716128729581,0.9574292286507626,0.9567778457746954,-1.50472599006772,1.6943338489033042,0.5183336646905375,0.3610403000175716,87,49,True
0.012169682993532705,0.11031628616633496,0.9565743477440485,0.918235358531199,0.952667286749322,0.9533149532503241,-1.3170515151703464,1.7984913028973706,0.518124299968467,0.35795877246883834,87,50,True
0.009230470267943923,0.09607533641858311,0.964066906579904,0.9153785545120231,0.9587011427266889,0.9652300045981962,-1.5031213891520165,1.8467470736390688,0.5195899605727374,0.35758970878061797,87,51,True
0.009406405862372229,0.09698662723474938,0.9648517543994942,0.9183669366733549,0.9623405146596345,0.9637241585689956,-1.4622443646595706,1.6591162289809473,0.5077754197218863,0.35429551055022546,87,52,True
0.009113505359625549,0.09546468121575408,0.9615663449221399,0.9215911720251044,0.9577915237457182,0.9659322850463086,-1.4476618351717914,1.6767411481161016,0.5092879782666971,0.3566866934950983,87,53,True
0.010225309892022303,0.1011202743866051,0.9584452059186531,0.9194737091161028,0.9552795948492815,0.9606364965525404,-1.3110051314659352,1.7226112422331261,0.5069328473099937,0.35567196979258386,87,54,True
0.011744136880546418,0.10837036901545744,0.9605807220789336,0.9133217988513422,0.9539409395220091,0.9580828008801097,-1.483451558880215,1.9888473062033116,0.5280257382254804,0.36427083778288344,87,55,True
0.012160462565746294,0.11027448737467019,0.95547008511416,0.9008139514045355,0.9507994389854977,0.9525357173887329,-1.5343301848545363,1.803363726376971,0.5177213288207072,0.35608461259326474,87,56,True
0.014413539905114495,0.12005640301589289,0.9377014955241348,0.9006546285125746,0.9333156181693777,0.9420789183765989,-1.4751862793592203,1.699947305958939,0.5071769919286393,0.35475506689658753,87,57,True
0.010983247171751477,0.10480098841018379,0.9574413308005726,0.9078786101420216,0.9552337149284864,0.957881431788706,-1.566776927540213,1.7481176611520273,0.5221658325368408,0.3576133633479191,87,58,True
0.00993375428728165,0.0996682210500501,0.9620865347560543,0.9251716134995088,0.9568399083583942,0.9626753127002369,-1.3641719927056015,1.683358936036088,0.510455900951318,0.35771840548178513,87,59,True
