mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n_oob,bootstrap
0.007574759504723217,0.08703309430741399,0.9709980332031227,0.9211809146388836,0.9658785920105211,0.9761940592392815,-1.170389984338596,1.9806132268859387,0.6168584313864502,0.37607841621027294,31,55
0.01360687204529799,0.11664849782701014,0.9478366101450498,0.94235919907331,0.9421771057801781,0.9619805651314174,-0.8924292821426617,1.3532791713570103,0.5715161559223954,0.3842602937934232,29,56
0.006815454718195637,0.08255576732243264,0.9501266302980397,0.8714284108166053,0.9523984913210807,0.9728302146901475,-1.4572195667828465,1.276007127217943,0.5584124799907424,0.3509036525440968,33,57
0.01177921671759863,0.10853209994097889,0.9501549535051698,0.9020920991079396,0.941323312448458,0.9684275867291839,-1.5047081703682363,1.8017942729753278,0.5880802514081857,0.36013394419835476,37,58
0.018765254982324116,0.13698633137041125,0.9198223966043584,0.9169277756037927,0.9165538732594131,0.9211022289762307,-0.45276380636787084,1.7248325450319926,0.5087948718682266,0.3491295517182433,30,59
0.027582236285355444,0.16607900615476792,0.9090126909995206,0.8818310069299293,0.9090575641210268,0.9013971498256221,-1.244483363553615,1.8223593590593952,0.6298142207123116,0.37864461141091527,34,60
0.010000282719352192,0.10000141358676982,0.9563300717810884,0.9530458193990705,0.9521922005495531,0.9684122807133821,-0.23415149914923905,1.7461665699738969,0.4896531010224082,0.3859705248921031,29,61
0.01856936326858777,0.13626945097338497,0.9215303153347834,0.9252818155936574,0.9352925925079266,0.9337436291796674,-0.3414551056766851,1.5639382902106758,0.470275604879263,0.37353180918286993,32,62
0.011852144009008667,0.1088675525995173,0.9269277585319874,0.9312632924429817,0.9278318154791358,0.9496073334796389,-0.718590749741132,1.210250555716701,0.438290680367806,0.3415707977032103,32,63
0.012507715589137639,0.11183789871567526,0.9576783179087555,0.9149966009701136,0.9427012693765692,0.9499241411729186,-1.5485732932431644,1.8348017294528163,0.6238333322918832,0.342367167393438,35,64
0.017621449252121956,0.132745806909755,0.9242164811231702,0.9388427915905286,0.9244067184387077,0.9391033452964368,-0.3020463631205381,1.6530316851918099,0.4737220624800307,0.3576788296395072,28,65
0.011492482461531874,0.10720299651377228,0.9687258038618557,0.9553942147627378,0.9624257408881248,0.9539190663792287,-0.41797452365412807,1.2427405563230227,0.42771798470985656,0.3357388736547005,30,66
0.010377971797281534,0.10187233087193762,0.9573645080985863,0.9461747610736867,0.9601987552714087,0.9557365082251469,-0.6050290099648226,1.1479784459197735,0.42758500642395836,0.32539664085262865,33,67
