model_label,placement,activation_name,disorder_name,alpha,beta,gamma,floor,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,frac_within_020_dex,n_above_020_dex,n_above_030_dex,delta_median_abs_vs_frozen_m4c,delta_frac010_vs_frozen_m4c,target_gate,target_new_pred_km_s,target_new_log10_error,target_new_abs_log10_error,hard_analog_median_abs_log10_error,hard_analog_mean_abs_log10_error,objective
mixed_star_org__gas__hi_plus_low_sigma,q_eff,mixed_star_org,hi_plus_low_sigma,1.0,4.0,2.0,0.0,0.34503423711564013,0.39129359950858483,1.0382647920001502,0.05747126436781609,0.16091954022988506,0.2413793103448276,66,48,0.30342033764628523,-0.8965517241379309,0.02895394224968772,18.933965325846486,-0.537006018282099,0.537006018282099,0.7462574791675528,0.7529140792594968,4.017363725456705
mixed_star_org__gas__hi_plus_low_sigma,q_eff,mixed_star_org,hi_plus_low_sigma,1.0,4.0,4.0,0.05,0.34380473421635055,0.35558156279805303,0.6456293257322661,0.022988505747126436,0.10344827586206896,0.20689655172413793,69,53,0.30219083474699565,-0.9310344827586207,0.07182635848116128,29.821511366272052,-0.33971794583697484,0.33971794583697484,0.5304189135205641,0.5162574857246198,4.028226639708064
stellar_to_gas__gas__low_v_for_mass_symptom,q_eff,stellar_to_gas,low_v_for_mass_symptom,1.0,4.0,0.25,0.0,0.3154283102426129,0.6613075549277517,6.038377148329867,0.1839080459770115,0.25287356321839083,0.367816091954023,55,46,0.273814410773258,-0.7701149425287356,0.012454660633803205,12.418057735585547,-0.7201939210410955,0.7201939210410955,3.43415703116007,3.3642904756864507,4.029362985596148
stellar_to_gas__gas__hi_extent,q_eff,stellar_to_gas,hi_extent,1.0,1.0,2.0,0.0,0.24809715213204453,0.6095259507729086,6.038377148329867,0.13793103448275862,0.1724137931034483,0.3333333333333333,58,38,0.20648325266268963,-0.8160919540229885,0.026373793356185796,18.070660430934034,-0.5572735706602516,0.5572735706602516,3.3556972131105525,3.2729661815579325,4.030571652295158
sigma_star__gas__hi_plus_low_sigma,q_eff,sigma_star,hi_plus_low_sigma,1.0,2.0,2.0,0.0,0.2924855385567921,0.6435503860170091,6.055252300525696,0.12643678160919541,0.22988505747126436,0.3333333333333333,58,43,0.2508716390874372,-0.8275862068965516,0.038795616814031576,21.916896468044886,-0.47346853963439806,0.47346853963439806,0.5839506176624626,1.3169529574334335,4.034745038426561
star_frac__gas__low_v_for_mass_symptom,q_eff,star_frac,low_v_for_mass_symptom,1.0,0.25,4.0,0.05,0.28804415569556524,0.29105410806945353,0.5588184692202391,0.05747126436781609,0.08045977011494253,0.1839080459770115,71,40,0.24643025622621034,-0.8965517241379309,0.08910103141034861,33.21460493731662,-0.292918504529055,0.292918504529055,0.4596413258655131,0.4554601023408894,4.040385254882117
sigma_star__gas__hi_extent,q_eff,sigma_star,hi_extent,1.0,2.0,4.0,0.05,0.3192125906351261,0.3277823590974162,0.7057672983576866,0.05747126436781609,0.11494252873563218,0.19540229885057472,70,47,0.2775986911657712,-0.8965517241379309,0.08202025442562635,31.86752106768272,-0.3108993141376493,0.3108993141376493,0.472600580930684,0.48939550454984565,4.04523897753972
sigma_star__gas__low_sigma_baryon,q_eff,sigma_star,low_sigma_baryon,1.0,0.5,4.0,0.0,0.32928023981160576,0.6652077642905087,6.055252300525696,0.1724137931034483,0.27586206896551724,0.3448275862068966,57,48,0.28766634034225086,-0.7816091954022988,0.03115088896138559,19.639161789169993,-0.5211246478261292,0.5211246478261292,0.6524017834350634,1.325271360395714,4.04536779377724
mixed_star_org__gas__hi_extent,q_eff,mixed_star_org,hi_extent,1.0,4.0,2.0,0.0,0.35558453561736836,0.3852217367536235,1.0065267486921194,0.08045977011494253,0.13793103448275862,0.22988505747126436,67,49,0.31397063614801346,-0.8735632183908045,0.0315317701372802,19.758860792846058,-0.5184856942274262,0.5184856942274262,0.7560709309136651,0.7379136831119173,4.065480057600293
mixed_star_org__gas__low_v_for_mass_symptom,q_eff,mixed_star_org,low_v_for_mass_symptom,1.0,0.5,4.0,0.05,0.30178945438117377,0.30652760009540236,0.5818223870466817,0.05747126436781609,0.08045977011494253,0.1839080459770115,71,44,0.2601755549118189,-0.8965517241379309,0.0779200140662636,31.060771353856286,-0.3220353590668832,0.3220353590668832,0.4774549526395351,0.47721067091929414,4.070989372619284
