galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary
NGC4183,6.0,110.6,5.4,16.07,86.46,1098.58,10081980000.0,5419000000.0,4662980000.0,2.79,0.5374936272438549,0.46250637275614515,206137761.99607235,8.314157556671503,0.5766414363946896,0.4069772613326878,transition,0.4069772613326878,101.79168311342814,113.90710608157768,0.715886460984727,0.21588646098472697,0.012795691366357227,diagnostic_governor_hypothesis_not_accepted_model
UGC07151,6.0,73.5,2.8,6.39,76.71,965.67,1961280000.0,1142000000.0,819280000.0,1.25,0.5822728014357971,0.417727198564203,199774340.3438544,8.300539705297789,0.6383726614109158,0.5040815362760809,transition,0.5040815362760809,67.07431940184374,75.64831524757771,0.7381574390375445,0.2381574390375445,0.01251192127464225,diagnostic_governor_hypothesis_not_accepted_model
NGC4100,4.0,158.2,5.0,18.06,388.0,8970.78,33822660000.0,29697000000.0,4125660000.0,2.15,0.8780208298223735,0.12197917017762648,1164530779.3437588,9.066150971722134,0.9803731401588605,0.9669902093805317,mature,0.9669902093805317,152.34508350757056,159.47558136266554,0.8177501196863841,0.3177501196863841,0.003487714869101359,diagnostic_governor_hypothesis_not_accepted_model
UGC06614,1.0,199.8,16.0,60.63,1461.61,540.54,91286040000.0,62175000000.0,29111040000.000004,5.1,0.6811008561659592,0.31889914383404083,558578412.1985576,8.747084147182726,0.8960745616661903,0.8152348982632992,mature,0.8152348982632992,195.2664340028341,200.49773051019417,0.8650959343549492,0.36509593435494925,0.0015139771935309201,diagnostic_governor_hypothesis_not_accepted_model
UGC06930,7.0,107.2,5.1,16.76,73.93,189.16,8771210000.0,4466000000.0,4305210000.000001,3.94,0.5091657821440827,0.49083421785591735,89926397.76836967,7.953887196986764,0.3043727884734925,0.19593859355682008,transition,0.19593859355682008,79.89564825473207,110.00925857420476,0.8932983744584888,0.3932983744584888,0.011234452333088653,diagnostic_governor_hypothesis_not_accepted_model
UGC05005,10.0,98.9,7.2,21.61,25.63,65.59,6163690000.0,2049999999.9999998,4113690000.0,3.2,0.3325929759608286,0.6674070240391713,95798997.18614104,7.981360962953233,0.09454584635462714,0.02232417066415509,transition,0.02232417066415509,74.31678031298453,100.72205023784073,0.9213055970971392,0.4213055970971392,0.007928265831443869,diagnostic_governor_hypothesis_not_accepted_model
F583-1,9.0,85.8,3.6,15.65,11.19,60.93,3320580000.0,493000000.0,2827580000.0,2.36,0.1484680387161279,0.8515319612838721,94887733.57729207,7.97721007350196,0.012467606645583378,0.0005827180184611178,juvenile,0.0005827180184611178,63.5173621461452,86.29146602759424,0.9752101366470044,0.4752101366470044,0.0024805595421997827,diagnostic_governor_hypothesis_not_accepted_model
UGC01281,8.0,55.2,3.5,5.26,13.83,135.78,567520000.0,176500000.0,391020000.0,1.63,0.3110022554271215,0.6889977445728784,33995864.843807615,7.531426093961837,0.021113600361766748,0.004210291710570171,transition,0.004210291710570171,31.596448121243306,55.48296392428599,0.9849428229873187,0.4849428229873187,0.0022205754936011866,diagnostic_governor_hypothesis_not_accepted_model
NGC0801,5.0,220.1,6.2,44.99,818.14,1558.94,187142330000.0,156285000000.0,30857330000.0,8.72,0.8351130393642101,0.1648869606357899,391705071.1381972,8.59295919409849,0.9057423542067708,0.8868908718486853,mature,0.8868908718486853,233.65200456150845,237.78788543278412,0.0,0.5,0.03356968231421312,diagnostic_governor_hypothesis_not_accepted_model
NGC0891,3.0,216.1,5.7,18.16,1617.45,5067.92,75104460000.0,69170000000.0,5934460000.0,2.55,0.9209839202625251,0.07901607973747497,1838253911.149178,9.264405498668639,0.9902027686284448,0.981364379587435,mature,0.981364379587435,185.97001889440784,196.99566617863684,1.0,0.5,-0.040198094911530265,diagnostic_governor_hypothesis_not_accepted_model
NGC2403,6.0,131.2,4.9,15.11,341.06,1408.74,9275170000.0,5020500000.0,4254670000.0,1.39,0.5412838794329377,0.4587161205670624,764033514.5787771,8.883112409462322,0.7281133473124252,0.5195676440307543,transition,0.5195676440307543,110.24451032869754,114.12452426744402,1.0,0.5,-0.06055485486709596,diagnostic_governor_hypothesis_not_accepted_model
NGC2841,3.0,284.8,8.6,45.12,983.63,4751.49,107061250000.0,94060500000.0,13000750000.000002,3.64,0.8785671753318778,0.12143282466812223,1286025778.2195067,9.109249674051874,0.9825675027448065,0.9692267056680238,mature,0.9692267056680238,203.20508926920854,213.27338466257805,1.0,0.5,-0.12560332368036584,diagnostic_governor_hypothesis_not_accepted_model
NGC2903,4.0,184.6,5.6,13.76,632.16,1193.52,44325660000.0,40931500000.0,3394160000.0000005,2.33,0.9234267464940172,0.07657325350598278,1299461750.043416,9.113763500466842,0.9851546585750945,0.9765716827126699,mature,0.9765716827126699,163.00101394766259,171.124043373264,1.0,0.5,-0.03292066335719054,diagnostic_governor_hypothesis_not_accepted_model
NGC2998,5.0,209.9,8.1,43.58,479.55,774.16,106640830000.0,75451000000.0,31189830000.0,6.2,0.7075245007001539,0.292475499299846,441530052.8075568,8.644960269237012,0.8891085775960723,0.8262052992718101,mature,0.8262052992718101,203.00530274915357,207.20889274251493,1.0,0.5,-0.005604048580014791,diagnostic_governor_hypothesis_not_accepted_model
F563-V2,10.0,116.6,9.4,11.37,23.6,146.16,4377770000.0,1493000000.0,2884770000.0,2.43,0.341041215047844,0.658958784952156,117994163.35914354,8.071860525241643,0.12164724604650885,0.030618112706409868,transition,0.030618112706409868,71.87284146811513,92.46504718896409,1.0,0.5,-0.10072095478306638,diagnostic_governor_hypothesis_not_accepted_model
F563-1,9.0,109.9,12.5,23.47,14.22,41.77,5207500000.0,951500000.0,4256000000.0,3.52,0.18271723475756121,0.8172827652424388,66890444.71131238,7.825364083305407,0.012916222974059087,0.0008343350747125616,juvenile,0.0008343350747125616,65.1305564828556,96.56543030573991,1.0,0.5,-0.056176012327711515,diagnostic_governor_hypothesis_not_accepted_model
NGC1003,6.0,109.8,4.2,33.33,140.87,1345.33,11230400000.0,3410000000.0,7820400000.0,1.61,0.3036401196751674,0.6963598803248326,689546573.3957877,8.838563604646323,0.14228135628765864,0.026737158854803753,transition,0.026737158854803753,115.6445870046507,119.39278955280355,0.0,0.5,0.03637575927570869,diagnostic_governor_hypothesis_not_accepted_model
NGC1090,4.0,164.4,3.7,30.49,283.68,2055.09,47703890000.0,36022500000.0,11681390000.0,3.53,0.7551270976014745,0.24487290239852558,609290653.0196081,8.784824515769072,0.9344752102096355,0.892271848750169,mature,0.892271848750169,166.02173646450927,170.8516756429056,0.0,0.5,0.016717429333143463,diagnostic_governor_hypothesis_not_accepted_model
ESO116-G012,7.0,109.1,3.1,9.58,90.54,1320.78,3586390000.0,2146000000.0,1440390000.0,1.51,0.5983732945942856,0.4016267054057144,250336255.5832387,8.398523751963339,0.7112971380206047,0.579803731871834,transition,0.579803731871834,82.52428402081705,87.9688144735149,1.0,0.5,-0.09349601142056037,diagnostic_governor_hypothesis_not_accepted_model
D631-7,10.0,57.7,2.7,0.0,20.93,115.04,483700000.0,98000000.0,385700000.0,0.7,0.20260492040520983,0.7973950795947902,157108665.25214243,8.196200139001826,0.03355160044900813,0.0026071144354172155,juvenile,0.0026071144354172155,44.51234813364735,53.30996314567532,1.0,0.5,-0.03436743086778445,diagnostic_governor_hypothesis_not_accepted_model
DDO161,10.0,66.3,1.9,10.69,20.74,169.37,2106740000.0,274000000.0,1832740000.0,1.22,0.1300587637772103,0.8699412362227897,225274176.84051302,8.352711411437879,0.01692680485169643,0.0006633249648438192,juvenile,0.0006633249648438192,70.36667605242577,77.01354161757533,0.0,0.5,0.06505356732243268,diagnostic_governor_hypothesis_not_accepted_model
