galaxy_name,step,time_gyr,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,star_formation_rate_Msun_per_gyr,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s
UGC07125,11,1.1,7512569999.999999,1254033713.9179068,6258536286.082092,3.38,0.16692472934267594,0.8330752706573241,104658682.36615317,8.019775262749231,0.016836427226311516,0.0009375331562394714,juvenile,625853628.6082093,79.83207120362623,105.83065726999256,79.86040968843017
UGC07125,12,1.2000000000000002,7512569999.999999,1297843467.9204814,6214726532.079517,3.38,0.1727562562372772,0.8272437437627228,104658682.36615317,8.019775262749231,0.018014517152431506,0.0010598283723520952,juvenile,621472653.2079518,79.83207120362623,105.83065726999256,79.86410552150872
UGC07125,13,1.3,7512569999.999998,1341346553.6450381,6171223446.35496,3.38,0.17854696244361629,0.8214530375563838,104658682.36615315,8.019775262749231,0.019262794158926757,0.0011966312985519862,juvenile,617122344.635496,79.83207120362623,105.83065726999256,79.86823958342872
UGC07125,14,1.4000000000000001,7512569999.999998,1384545117.769523,6128024882.230475,3.38,0.184297133706511,0.8157028662934891,104658682.36615315,8.019775262749231,0.020584399352956348,0.001349453957186829,juvenile,612802488.2230476,79.83207120362623,105.83065726999256,79.87285749429468
UGC07125,15,1.5,7512569999.999998,1427441291.9451363,6085128708.054862,3.38,0.19000705377056543,0.8099929462294346,104658682.36615315,8.019775262749231,0.021982523440313127,0.0015199367426275206,juvenile,608512870.8054862,79.83207120362623,105.83065726999256,79.87800873410858
UGC07125,16,1.6,7512569999.999998,1470037192.9015203,6042532807.098478,3.38,0.19567700439417146,0.8043229956058287,104658682.36615315,8.019775262749231,0.023460398343054883,0.0017098553342576551,juvenile,604253280.7098478,79.83207120362623,105.83065726999256,79.88374684735028
UGC07125,17,1.7000000000000002,7512569999.999998,1512334922.5512097,6000235077.448789,3.38,0.20130726536341226,0.7986927346365877,104658682.36615315,8.019775262749231,0.02502128781091594,0.0019211274250447933,juvenile,600023507.7448789,79.83207120362623,105.83065726999256,79.89012964117015
UGC07125,18,1.8,7512569999.999998,1554336568.0933511,5958233431.906647,3.38,0.20689811450586837,0.7931018854941316,104658682.36615315,8.019775262749231,0.02666847699395389,0.0021558191669347124,juvenile,595823343.1906646,79.83207120362623,105.83065726999256,79.89721937408592
UGC07125,19,1.9000000000000001,7512569999.999997,1596044202.1166975,5916525797.8833,3.38,0.2124498277043273,0.7875501722956727,104658682.36615314,8.019775262749231,0.028405260950859164,0.0024161512236276876,juvenile,591652579.78833,79.83207120362621,105.83065726999254,79.90508293174234
UGC07125,20,2.0,7512569999.999997,1637459882.7018807,5875110117.298117,3.38,0.21796267891039703,0.782037321089603,104658682.36615314,8.019775262749231,0.030234932075626896,0.002704504310818682,juvenile,587511011.7298117,79.83207120362621,105.83065726999254,79.91379198596384
UGC07125,21,2.1,7512569999.999997,1678585653.5229676,5833984346.47703,3.38,0.22343694015802423,0.7765630598419758,104658682.36615314,8.019775262749231,0.03216076643491554,0.0030234240939665687,juvenile,583398434.647703,79.83207120362621,105.83065726999254,79.92342313301798
UGC07125,22,2.2,7512569999.999998,1719423543.9483068,5793146456.051691,3.38,0.22887288157691804,0.7711271184230819,104658682.36615315,8.019775262749231,0.034186009019428656,0.0033756253043874173,juvenile,579314645.6051692,79.83207120362623,105.83065726999256,79.93405800671934
