galaxy_name,Q,T,Vflat,Inc,Rdisk,RHI,Mbar_msun,logMbar,proxy,proxy_quartile,btfr_residual_dex,btfr_abs_residual
NGC0024,1.0,5.0,106.3,64.0,1.34,7.29,2843580000.0,9.453865451005566,0.7252946297604429,Q3,0.082040319541083,0.082040319541083
NGC0100,1.0,6.0,88.1,89.0,1.66,16.36,4262700000.0,9.6296847689762,0.5178922272579213,Q1,-0.0451890172468261,0.0451890172468261
NGC0801,1.0,5.0,220.1,80.0,8.72,44.99,187142330000.0,11.27217203232174,0.7781474044171939,Q4,-0.0742081611743676,0.0742081611743676
NGC0891,1.0,3.0,216.1,90.0,2.55,18.16,75104460000.0,10.875665727894663,0.7820897290146589,Q4,0.0208256447296686,0.0208256447296686
NGC1003,1.0,6.0,109.8,67.0,1.61,33.33,11230400000.0,10.050395225068138,0.1559456714431089,Q1,-0.0588490965089114,0.0588490965089114
NGC1090,1.0,4.0,164.4,64.0,3.53,30.49,47703890000.0,10.678553794902832,0.660100604367505,Q3,-0.0467242187621148,0.0467242187621148
NGC2403,1.0,6.0,131.2,63.0,1.39,15.11,9275170000.0,9.967321878328628,0.5265436557697061,Q1,0.040062076524987,0.040062076524987
NGC2841,1.0,3.0,284.8,76.0,3.64,45.12,107061250000.0,11.0296323097081,0.5997643355000152,Q2,0.1007154923900657,0.1007154923900657
NGC2903,1.0,4.0,184.6,66.0,2.33,13.76,44325660000.0,10.646655210876997,0.7617171584792731,Q4,0.0118918503946758,0.0118918503946758
NGC2998,1.0,5.0,209.9,58.0,6.2,43.58,106640830000.0,11.027923516591636,0.6613130256897034,Q3,-0.0313681666704335,0.0313681666704335
NGC3109,1.0,9.0,66.2,70.0,1.56,6.0,731410000.0,8.864160893813251,0.5707171091086531,Q2,0.0295505729414753,0.0295505729414753
NGC3198,1.0,5.0,150.1,73.0,3.14,35.66,33595270000.0,10.526278135797504,0.5222485020569593,Q1,-0.0466892144889818,0.0466892144889818
NGC3521,1.0,4.0,213.7,75.0,2.4,18.85,47942820000.0,10.68072357568052,0.7142269260372822,Q3,0.0666148536937263,0.0666148536937263
NGC3741,1.0,10.0,50.1,70.0,0.2,4.2,256060000.0,8.408341741154654,0.0,Q1,0.0269368859191152,0.0269368859191152
NGC3893,1.0,5.0,174.0,49.0,2.38,20.84,36975170000.0,10.56791017942058,0.6639905320325565,Q3,0.0066647284928644,0.0066647284928644
NGC3917,1.0,6.0,135.9,79.0,2.63,14.08,13494040000.0,10.130141993187998,0.7573718697872831,Q4,0.0130524759097268,0.0130524759097268
NGC3953,1.0,4.0,220.8,62.0,4.89,17.38,74417060000.0,10.871672508321929,0.8647930942651335,Q4,0.0312072518440733,0.0312072518440733
NGC3972,1.0,4.0,132.7,77.0,2.18,10.05,8791120000.0,9.944044208274432,0.7926791966108141,Q4,0.0510459247921719,0.0510459247921719
NGC3992,1.0,4.0,241.0,56.0,4.96,32.75,135542670000.0,11.13207603637886,0.7625753564674842,Q4,0.0015810947916863,0.0015810947916863
NGC4088,1.0,4.0,171.7,69.0,2.58,22.25,64583580000.0,10.81012211518025,0.7042445526653751,Q3,-0.0620327877159527,0.0620327877159527
NGC4100,1.0,4.0,158.2,73.0,2.15,18.06,33822660000.0,10.52920775991146,0.755360101512587,Q3,-0.0246244459698625,0.0246244459698625
NGC4157,1.0,3.0,184.7,82.0,2.32,24.09,63750580000.0,10.804484140316246,0.7212759339183779,Q3,-0.0288716300602462,0.0288716300602462
NGC4183,1.0,6.0,110.6,82.0,2.79,16.07,10081980000.0,10.003545831576814,0.6806891252617024,Q3,-0.0435264035316653,0.0435264035316653
NGC4217,1.0,3.0,181.3,86.0,2.94,16.7,46056960000.0,10.663295268869293,0.8236458155736903,Q4,-0.0002645729423744,0.0002645729423744
NGC4559,1.0,6.0,121.2,67.0,2.1,21.16,17417130000.0,10.240976593389751,0.5608010947719376,Q2,-0.0654554846138832,0.0654554846138832
NGC5005,1.0,4.0,262.2,68.0,9.45,10.41,91062400000.0,10.959339092194677,0.8247263770831587,Q4,0.0830680225902109,0.0830680225902109
NGC5033,1.0,5.0,194.2,66.0,5.16,29.53,70302120000.0,10.846968421611848,0.7106964207555181,Q3,-0.0181252958406155,0.0181252958406155
NGC5055,1.0,4.0,179.0,55.0,3.2,35.06,92051260000.0,10.96402973751469,0.621524972754705,Q2,-0.0839301066166928,0.0839301066166928
NGC5371,1.0,4.0,209.5,53.0,7.44,30.03,185065900000.0,11.267326403592811,0.8278986454015366,Q4,-0.0943854440845628,0.0943854440845628
NGC5585,1.0,7.0,90.3,51.0,1.53,10.92,3709890000.000001,9.56936103276835,0.5516303539693661,Q1,-0.0188070854699831,0.0188070854699831
NGC5907,1.0,5.0,215.0,88.0,5.34,0.0,115675750000.0,11.06324232399044,1.0,Q4,-0.0301167906928108,0.0301167906928108
NGC5985,1.0,3.0,293.6,60.0,7.01,39.5,119773380000.0,11.078360305501224,0.7678103260719235,Q4,0.1012736544755688,0.1012736544755688
NGC6195,1.0,3.0,251.7,62.0,13.94,40.89,223344310000.0,11.348974892706314,0.7674667235075052,Q4,-0.035895803572588,0.035895803572588
NGC6503,1.0,6.0,116.3,74.0,2.16,14.05,8742020000.0,9.941611795734016,0.6564439363308219,Q2,-0.0056134238881773,0.0056134238881773
NGC6674,1.0,3.0,241.3,54.0,6.04,50.02,150106450000.0,11.176399354063552,0.6461805210102443,Q2,-0.0093923419562593,0.0093923419562593
NGC6946,1.0,6.0,158.9,38.0,2.44,21.25,40627600000.0,10.608821167944376,0.6738713244432806,Q3,-0.0433879296319368,0.0433879296319368
NGC7331,1.0,3.0,239.0,75.0,5.02,27.01,140034610000.0,11.146235386209623,0.7898799299675883,Q4,-0.0057161725343646,0.0057161725343646
NGC7814,1.0,2.0,218.9,90.0,2.54,12.15,38687600000.0,10.587571788933293,0.8394875937692249,Q4,0.1012538129694546,0.1012538129694546
UGC00128,1.0,8.0,129.3,57.0,5.95,31.27,15893230000.000002,10.201212168360524,0.558305940209355,Q1,-0.0270301113772366,0.0270301113772366
UGC00731,1.0,10.0,73.3,57.0,2.3,11.57,2564810000.0,9.409055198294674,0.4953095426731236,Q1,-0.0677487648190167,0.0677487648190167
UGC01230,1.0,9.0,103.7,22.0,4.34,26.29,12361900000.0,10.092085226100666,0.5070892643150866,Q1,-0.0945023486887239,0.0945023486887239
UGC01281,1.0,8.0,55.2,90.0,1.63,5.26,567520000.0,8.753981171127867,0.6272467976894776,Q2,-0.0207473304320053,0.0207473304320053
UGC02487,1.0,0.0,332.0,36.0,7.89,40.2,268868290000.0,11.429539585079066,0.7837810938944351,Q4,0.0634310510078992,0.0634310510078992
UGC02885,1.0,5.0,289.5,64.0,11.4,74.24,255062250000.0,11.406646186442565,0.6751186653531172,Q3,0.0098884749426613,0.0098884749426613
UGC03205,1.0,2.0,219.6,67.0,3.19,28.6,69691410000.0,10.843179251275886,0.6891744962167043,Q3,0.0362421141361615,0.0362421141361615
UGC03546,1.0,1.0,196.9,55.0,3.79,18.37,54225750000.0,10.734205567483995,0.7875561115465458,Q4,0.0171632142499733,0.0171632142499733
