gate_name,xcol,placement,xcrit,k,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,n_above_020_dex,delta_median_abs_vs_base,delta_frac010_vs_base,target_A,target_new_log10_error,target_new_abs_log10_error
sigma_star_source_gate,log10_Sigma_star,source,7.043075821983066,8.0,0.0438673670858314,0.057081390729188095,0.42435777261184743,0.9080459770114943,0.9425287356321839,4,0.002253467616476504,-0.04597701149425282,0.8659210333404588,0.21650970200899772,0.21650970200899772
sigma_star_source_gate,log10_Sigma_star,source,7.264722532602023,8.0,0.04387931130379891,0.06840941083533196,0.613825703098709,0.8620689655172413,0.9080459770114943,6,0.002265411834444009,-0.09195402298850575,0.5230314659224532,0.16177208407287455,0.16177208407287455
stellar_fraction_source_gate,star_frac,source,0.15395263960754266,12.0,0.04390326117602513,0.04895357634755275,0.1728037604054469,0.9310344827586207,0.9655172413793104,0,0.002289361706670233,-0.02298850574712641,0.5789679491067007,0.1728037604054469,0.1728037604054469
stellar_fraction_source_gate,star_frac,source,0.20835772756794368,12.0,0.04393855876764727,0.053124748407971975,0.22235599476449056,0.8620689655172413,0.9540229885057471,1,0.0023246592982923697,-0.09195402298850575,0.41718916916787585,0.1372233860455539,0.1372233860455539
sigma_star_source_gate,log10_Sigma_star,source,7.043075821983066,4.0,0.043998020611950385,0.051721601984316926,0.2564690592468097,0.896551724137931,0.9540229885057471,1,0.002384121142595487,-0.05747126436781602,0.7176191681726429,0.19611363743259197,0.19611363743259197
stellar_fraction_source_gate,star_frac,source,0.20835772756794368,20.0,0.044350013927585835,0.057466190721734825,0.3448109922578245,0.8735632183908046,0.9540229885057471,3,0.002736114458230937,-0.08045977011494243,0.3641944551415626,0.1224734621425919,0.1224734621425919
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.874051142158947,8.0,0.04440418291511507,0.06609177325189983,0.7908773045519844,0.8505747126436781,0.9195402298850575,5,0.0027902834457601694,-0.10344827586206895,0.762383732660933,0.20268353504406608,0.20268353504406608
stellar_fraction_source_gate,star_frac,source,0.15395263960754266,8.0,0.044406038627182606,0.04862094283881913,0.16780002498635754,0.9195402298850575,0.9770114942528736,0,0.0027921391578277083,-0.03448275862068961,0.5528910766830335,0.16780002498635754,0.16780002498635754
sigma_star_source_gate,log10_Sigma_star,source,7.264722532602023,2.0,0.04444965336339502,0.05489031835048562,0.22126197828658842,0.8620689655172413,0.9540229885057471,1,0.002835753894040123,-0.09195402298850575,0.5057616889593017,0.15812661199726405,0.15812661199726405
stellar_fraction_source_gate,star_frac,source,0.15395263960754266,20.0,0.04503549612395372,0.0507214798404987,0.2357319441041867,0.9195402298850575,0.9655172413793104,1,0.0034215966545988186,-0.03448275862068961,0.6296922828357846,0.18192222251277604,0.18192222251277604
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.717905802227163,2.0,0.045045455911053404,0.05360178043467314,0.22955799756222345,0.8850574712643678,0.9540229885057471,1,0.0034315564416985064,-0.06896551724137923,0.6465112458431176,0.18478415071972656,0.18478415071972656
stellar_fraction_source_gate,star_frac,source,0.3153203995338629,8.0,0.045854668955390566,0.06260469040191322,0.24529672256709964,0.8160919540229885,0.9080459770114943,2,0.0042407694860356684,-0.13793103448275856,0.2537742063510865,0.08325199935918051,0.08325199935918051
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.717905802227163,1.0,0.046091517920086374,0.05760366577686879,0.2071189612512048,0.8390804597701149,0.9540229885057471,1,0.004477618450731476,-0.11494252873563215,0.5748994582502491,0.17203810464648234,0.17203810464648234
stellar_fraction_source_gate,star_frac,source,0.3153203995338629,12.0,0.04687088366815673,0.06880811753979453,0.35043048901947516,0.8160919540229885,0.8735632183908046,7,0.005256984198801835,-0.13793103448275856,0.1654981477405168,0.03683841417402585,0.03683841417402585
sigma_star_source_gate,log10_Sigma_star,source,7.51302457342739,8.0,0.047046976590684984,0.09274832095743143,0.8289505418630287,0.8160919540229885,0.8735632183908046,10,0.005433077121330086,-0.13793103448275856,0.1307634624414518,0.011261732697300093,0.011261732697300093
stellar_fraction_source_gate,star_frac,source,0.3153203995338629,20.0,0.04705084480334051,0.08465981874414863,0.5727581211733448,0.7931034482758621,0.8620689655172413,10,0.005436945333985609,-0.16091954022988497,0.06318266941717236,-0.0677103775643013,0.0677103775643013
sigma_star_source_gate,log10_Sigma_star,source,7.51302457342739,4.0,0.04715416382204696,0.0704860359438501,0.44509455181596524,0.8160919540229885,0.896551724137931,7,0.005540264352692059,-0.13793103448275856,0.2794658697450606,0.0937223239211884,0.0937223239211884
sigma_star_source_gate,log10_Sigma_star,source,7.264722532602023,1.0,0.04745012187674837,0.05704871914833867,0.20619558855095182,0.8390804597701149,0.9540229885057471,1,0.005836222407393475,-0.11494252873563215,0.5028809401215671,0.15750642369186732,0.15750642369186732
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.9866951924392175,8.0,0.047478287003801266,0.07887210233873118,0.8886450485355517,0.8045977011494253,0.8620689655172413,8,0.005864387534446368,-0.14942528735632177,0.5657767007373113,0.17030139449768067,0.17030139449768067
