object_name,S1_compact_stellar_disk,quality_quarantine_flag
M17_analog_synthesis:11941-9101,0.47377012842235544,False
M17_analog_synthesis:8553-12703,0.47377012842235544,False
M17_analog_synthesis:10838-6103,0.47377012842235544,False
M17_analog_synthesis:8598-12704,0.47377012842235544,False
M17_analog_synthesis:11022-12702,0.47377012842235544,False
M17_analog_synthesis:GASS112113,0.47377012842235544,False
M17_analog_synthesis:GASS109080,0.47377012842235544,False
THINGS:NGC5055,0.47875690136941335,False
M17_analog_synthesis:GASS101026,0.47377012842235544,False
M17_analog_synthesis:GASS111054,0.47377012842235544,False
THINGS:NGC6946,0.47977604578026545,False
THINGS:NGC3521,0.501346188282869,False
THINGS:NGC7331,0.508134865891672,False
THINGS:NGC2403,0.4309121952646861,False
THINGS:NGC2903,0.5095365790724151,False
THINGS:NGC3198,0.4312322727046022,False
