galaxy_name,provisional_curve_class,f_gas,f_star,D_total,btfr_offset_dex,taxonomy_stage
NGC6503,mature_flat,0.2653299809426197,0.7346700190573804,0.1655164897666459,0.0296502625733937,mature_or_control
NGC6674,mature_flat,0.2849940825327626,0.7150059174672374,0.190863434237182,0.0379309801713472,mature_or_control
NGC6946,mature_flat,0.1856151975504337,0.8143848024495663,-0.007377297096534,-0.0016078980002648,true_falsifier_candidate
NGC7331,mature_flat,0.1051105151790689,0.894889484820931,0.2095535553135608,0.0413125511741806,disturbed_or_measurement_contaminated
NGC7814,mature_flat,0.0367843960338713,0.9632156039661288,0.930423617399014,0.1428263111130577,mature_or_control
UGC00128,irregular_or_unconverged,0.621851568246354,0.378148431753646,1.1828248262604946,0.0107689795687125,juvenile_forming
UGC00731,mature_flat,0.9370323727683532,0.0629676272316467,0.6803417746932027,-0.037686328154091,juvenile_forming
UGC01230,mature_flat,0.6917949506143878,0.3082050493856122,0.3166764068321024,-0.057769053357676,disturbed_or_measurement_contaminated
UGC01281,slowly_rising,0.6889977445728784,0.3110022554271215,2.05212015058965,0.0029172817256814,juvenile_forming
UGC02487,mature_flat,0.0888568525503695,0.9111431474496304,0.6844315543107787,0.1132266842127192,mature_or_control
UGC02885,mature_flat,0.2089676147685516,0.7910323852314484,0.3149857194040985,0.059460518231263,mature_or_control
UGC03205,mature_flat,0.1846771359626674,0.8153228640373326,0.4475115557810623,0.0803110197375321,mature_or_control
UGC03546,mature_flat,0.0656099731216258,0.9343900268783742,0.3192759397855558,0.0601678210455683,mature_or_control
UGC04278,slowly_rising,0.6943090495747926,0.3056909504252074,2.0118871311409428,0.0779289400843308,juvenile_forming
UGC04325,compact_steep_rise,0.4709464470371957,0.5290535529628043,1.799290292359988,0.0875099274910114,mature_or_control
UGC04499,slowly_rising,0.6534167038856633,0.3465832961143367,0.4281433619847744,-0.0259086473032709,juvenile_forming
UGC05005,mature_flat,0.6674070240391713,0.3325929759608286,0.7710010187043093,-0.0027904086121612,juvenile_forming
UGC05721,mature_flat,0.7378968567366925,0.2621031432633075,0.581493780296395,0.0995337441302128,juvenile_forming
UGC06399,compact_steep_rise,0.4384715469424091,0.5615284530575909,1.5266124338292977,0.0512498922708035,mature_or_control
UGC06446,irregular_or_unconverged,0.7878070676569003,0.2121929323430996,0.5081721140564834,0.0225963057023995,juvenile_forming
UGC06614,mature_flat,0.3188991438340408,0.6811008561659592,0.0469737123877627,0.0099678887342346,mature_or_control
UGC06667,,0.6063613360609084,0.3936386639390917,6.107938186934769,0.0604503500675063,juvenile_forming
UGC06786,mature_flat,0.1541686062857485,0.8458313937142514,0.8310845582062228,0.1313542000903415,mature_or_control
UGC06917,mature_flat,0.4406043307312265,0.5593956692687736,0.8624578184372445,0.0392533503170219,mature_or_control
