quantum_family,template_name,bias,drive_scale,eq_scale,eq_reservoir,k_on,k_off,k_coherent,A0,Omega0,Delta0,gamma_phi,gamma_relax,w0,gas_c,gas_k,RHI_Rd_c,RHI_k,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14035900202119805,0.3746451681540789,0.32852269546056706,0.3125383382804953,0.077053013134676,0.9615213357324605,0.21440607628179123,-0.04032848048211385
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1258588075177354,0.3547658488605342,0.3021299059924866,0.26938021413462787,0.016931207653783822,0.5893990362008308,0.14442387551574287,-0.040312640778132264
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,1.0,1.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.09951757275758878,0.31546405937537286,0.2512699420555529,0.24064265635043228,0.0659275751610876,0.6158133784521373,0.11099394293501479,-0.03868089537296533
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1427567762665931,0.37783167716139565,0.3256114576181336,0.3062498118445946,0.03425132730169486,0.9566874644448018,0.215959163301594,-0.03632952542338039
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14374599141958516,0.3791384858064203,0.3270898918829431,0.3083392227682598,0.04901302142144399,0.9642144448319739,0.21608523691086334,-0.03615344911603355
two_channel_master,dyn_early_hi,0.4,2.5,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13721705647495372,0.37042820691053446,0.3149064984044205,0.29595135497184705,0.032104259254388326,0.9595905938984005,0.23437493546919497,-0.03598151764747756
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,4.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14428058273116312,0.3798428395154542,0.3231747789224291,0.30125682385834995,0.09860466186810365,0.9759471022768833,0.2068715833192222,-0.03346554567617288
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,4.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14331497568341856,0.3785696444294214,0.32127654233551317,0.30014140153975905,0.09678274114322052,0.9709599265551304,0.2054861464623805,-0.033387122601113706
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,4.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1354727622067129,0.36806624703538476,0.30621841556430546,0.2848286605863553,0.06459428933786752,0.9630033609534023,0.21797398720223413,-0.03294736635365511
two_channel_master,dyn_early_hi,0.4,2.5,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13626883585245286,0.3691460901221261,0.30717665999520044,0.29125826649026065,0.01845787376237846,0.9506881006580215,0.2345200351410189,-0.0326783271449074
