r_kpc,a_b_m_s2,a_qv_m_s2,a_total_m_s2,v_newton_km_s,v_cghstc34_km_s
36.07035175879397,6.0858537657550055e-12,2.7024108715933642e-11,3.310996248168865e-11,82.30215704958124,191.9684267578038
36.31909547738693,6.004995811576229e-12,2.6843984379915503e-11,3.284898019149173e-11,82.03499179427249,191.86852204515992
36.5678391959799,5.9257386613357346e-12,2.666624531800996e-11,3.2591983979345696e-11,81.77040880099729,191.76984664690292
36.81658291457286,5.848040335837104e-12,2.6490844461822135e-11,3.233888479765924e-11,81.5083667845395,191.67237800026012
37.06532663316583,5.771860222985078e-12,2.631773597325973e-11,3.208959619624481e-11,81.24882537682011,191.57609409142833
37.314070351758794,5.697159024705992e-12,2.614687520459604e-11,3.184403422930203e-11,80.99174510090012,191.48097343897697
37.562814070351756,5.623898706257095e-12,2.5978218660078512e-11,3.1602117366335604e-11,80.73708734587727,191.38699507784938
37.811557788944725,5.552042447802691e-12,2.581172395901372e-11,3.136376640681641e-11,80.48481434264062,191.2941385439381
38.06030150753769,5.481554598141988e-12,2.5647349800262767e-11,3.112890439840476e-11,80.23488914044836,191.2023838592093
38.30904522613065,5.412400630480039e-12,2.548505592808469e-11,3.089745655856473e-11,79.98727558429646,191.11171151735445
38.55778894472362,5.344547100139374e-12,2.5324803099268607e-11,3.066935019940798e-11,79.74193829304643,191.02210246994673
38.80653266331658,5.277961604115586e-12,2.5166553051498138e-11,3.0444514655613726e-11,79.49884263828275,190.9335381130827
39.05527638190955,5.212612742385526e-12,2.501026847289455e-11,3.022288121528008e-11,79.25795472387084,190.84600027448835
39.30402010050251,5.1484700808819135e-12,2.48559129726878e-11,3.000438305356971e-11,79.01924136618906,190.7594712010719
39.552763819095475,5.085504116052741e-12,2.4703451052966848e-11,2.978895516901959e-11,78.78267007500799,190.67393354690418
39.801507537688444,5.023686240928526e-12,2.4552848081463443e-11,2.957653432239197e-11,78.54820903499248,190.5893703616109
40.050251256281406,4.962988712624458e-12,2.440407026532531e-11,2.936705897794977e-11,78.31582708780276,190.50576507915932
40.29899497487437,4.903384621208535e-12,2.4257084625837134e-11,2.916046924704567e-11,78.08549371477136,190.4231015070244
40.54773869346734,4.844847859870486e-12,2.4111858974049643e-11,2.895670683392013e-11,77.85717902013482,190.34136381571932
40.7964824120603,4.787353096329708e-12,2.3968361887278925e-11,2.8755714983608635e-11,77.63085371479855,190.2605365286762
41.04522613065326,4.730875745423743e-12,2.382656268643988e-11,2.855743843186362e-11,77.40648910061567,190.18060451246347
41.29396984924623,4.675391942821944e-12,2.368643141417958e-11,2.8361823357001525e-11,77.18405705516015,190.10155296732668
41.54271356783919,4.620878519811841e-12,2.3547938813777754e-11,2.8168817333589595e-11,76.96353001697645,190.02336741804086
41.79145728643216,4.56731297910844e-12,2.3411056308783096e-11,2.7978369287891535e-11,76.74488097128777,189.94603370506175
42.040201005025125,4.514673471639363e-12,2.3275755983355806e-11,2.779042945499517e-11,76.52808343614653,189.8695379759653
42.28894472361809,4.4629387742610224e-12,2.3142010563287767e-11,2.760494933754879e-11,76.3131114490108,189.79386667716417
42.537688442211056,4.412088268363458e-12,2.3009793397673413e-11,2.742188166603687e-11,76.09993955373125,189.719006545891
42.78643216080402,4.362101919323547e-12,2.287907844120531e-11,2.7241180360528858e-11,75.88854278793423,189.64494460243804
43.03517587939698,4.3129602567683266e-12,2.274984023706978e-11,2.7062800493838105e-11,75.6788966707862,189.57166814264448
43.28391959798995,4.264644355612189e-12,2.2622053900419004e-11,2.6886698256031193e-11,75.47097719112672,189.49916473062146
43.53266331658291,4.217135817833415e-12,2.2495695102397033e-11,2.6712830920230447e-11,75.2647607959564,189.4274221917064
