galaxy_name,v_flat_obs_km_s,v_m5_bdvr_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,M_baryon_Msun,M_star_Msun,M_gas_Msun,star_frac,gas_frac,stellar_to_gas_ratio,T,Rdisk,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,RHI,Reff,SBeff,SBdisk,log10_SBeff,log10_SBdisk,log10_M_baryon_Msun
UGC07151,73.5,78.92969793087273,1.0738734412363635,0.0309531016509037,0.0309531016509037,1961280000.0,1142000000.0,819280000.0,0.5822728014357971,0.417727198564203,1.3939068450346646,6.0,1.25,3.424,1.238212491786097,1.0,1.0,1.0,1.1147001900963296,6.39,2.17,76.71,965.67,1.8848519827459975,2.984828739599503,9.292539599672017
UGC06399,85.0,79.18776867377045,0.9316208079267112,-0.0307608199797454,0.0307608199797454,2044420000.0,1148000000.0,896420000.0000001,0.5615284530575909,0.4384715469424091,1.280649695455255,9.0,2.05,2.987804878048781,1.2207177246052956,1.0,1.0,1.0,1.0989505344988482,8.8,3.45,30.82,311.05,1.4888326343824003,2.4928302056786884,9.310570120887753
UGC05005,98.9,106.11924294591644,1.0729953786240285,0.0305978514697671,0.0305978514697671,6163690000.0,2050000000.0,4113690000.0,0.3325929759608286,0.6674070240391713,0.49833604379523,10.0,3.2,4.1609375,1.262559899973085,1.0,1.0,1.0,1.1366189324078688,21.61,5.02,25.63,65.59,1.408748606184244,1.816837630902035,9.78984078795116
ESO079-G014,175.0,163.14195171426232,0.932239724081499,-0.030472395093818,0.030472395093818,30042700000.0,25866500000.0,4176200000.000001,0.8609911892073615,0.1390088107926385,6.1937886116565295,4.0,5.08,2.450787401574804,1.195374816009664,1.027895912459201,1.1,1.130685503705121,1.2167709155139317,17.67,7.23,157.34,2295.25,2.196839145833112,3.3608299960638286,10.477738961035453
UGCA442,56.4,52.88903485530941,0.9377488449522946,-0.0279134621078221,0.0279134621078221,419790000.00000006,70000000.0,349790000.00000006,0.1667500416875104,0.8332499583124896,0.2001200720432259,9.0,1.18,2.576271186440678,1.2017090692771988,1.0,1.0,1.0,1.0818380018372364,4.37,1.71,7.6,116.1,0.8808135922807914,2.064832219738574,8.623032088852037
UGC07603,61.6,57.941492612499005,0.940608646306802,-0.0265910334295371,0.0265910334295371,531140000.0,188000000.0,343140000.0,0.3539556425801107,0.6460443574198893,0.5478813312350644,7.0,0.53,4.9245283018867925,1.2822093879160177,1.0,1.0,1.0,1.1543083743175426,4.37,0.85,81.81,520.99,1.9128063926612924,2.716829387432925,8.725209009242763
IC4202,242.6,228.3944863674295,0.9414447088517292,-0.0262051810596486,0.0262051810596486,106268080000.0,89874500000.0,16393580000.0,0.8457337330268883,0.1542662669731117,5.482298558338081,4.0,4.78,4.2552301255230125,1.2652654767858007,1.0119978035750912,1.1,1.1131975839326005,1.2679928583096862,32.13,8.55,391.59,8888.53,2.5928315927320416,3.948829942558922,11.02640283402812
NGC0891,216.1,229.16641721395715,1.0604646793797183,0.0254962081605126,0.0254962081605126,75104460000.0,69170000000.0,5934460000.0,0.9209839202625252,0.0790160797374749,11.65565190430132,3.0,2.55,4.282352941176471,1.266028103776797,1.110269969328327,1.2,1.3323239631939925,1.5185044875328593,18.16,3.68,1617.45,5067.92,3.208830864265175,3.704829750680075,10.875665727894663
F583-1,85.8,90.8593865700958,1.0589672094416762,0.0248825125352315,0.0248825125352315,3320580000.0,493000000.0,2827580000.0,0.1484680387161279,0.8515319612838721,0.1743540412649686,9.0,2.36,4.108050847457627,1.2610047611710185,1.0,1.0,1.0,1.1352189194619575,15.65,3.74,11.19,60.93,1.04883008652835,1.7848311781244692,9.521213947800288
NGC3917,135.9,128.3974084712592,0.944793292650914,-0.0246631985603293,0.0246631985603293,13494040000.0,10983000000.0,2511040000.0,0.8139148839043014,0.1860851160956985,4.373884924174844,6.0,2.63,3.7338403041825097,1.2491817168389316,1.0,1.0,1.0,1.12457522958488,14.08,5.56,112.94,1226.96,2.0528477834008605,3.088830404566906,10.130141993187998
NGC7814,218.9,206.92698513381484,0.9453037237725668,-0.0244286313153802,0.0244286313153802,38687600000.0,37264500000.0,1423100000.0000002,0.9632156039661288,0.0367843960338713,26.185440236104277,2.0,2.54,2.801181102362205,1.21241992374422,1.215726962628765,1.3,1.5804450514173949,1.7250248653833695,12.15,2.08,2709.13,2635.3,3.432829845538161,3.420830062026114,10.587571788933293
UGC06930,107.2,113.31954022629942,1.0570852633050318,0.0241100184232918,0.0241100184232918,8771210000.0,4466000000.0,4305210000.000001,0.5091657821440827,0.4908342178559173,1.037347771653415,7.0,3.94,2.682741116751269,1.206879616957999,1.0,1.0,1.0,1.0864927848578605,16.76,4.38,73.93,189.16,1.8688207061975173,2.276829305343389,9.943059508996027
UGC06786,219.4,210.5040355276997,0.9594532157142192,-0.0179761972208674,0.0179761972208674,43393400000.0,36703500000.0,6689900000.000001,0.8458313937142514,0.1541686062857485,5.486404878996696,0.0,3.6,3.2958333333333334,1.2333331959516023,1.0120953548944314,1.5,1.518143032341647,1.6856057564240632,20.31,3.42,992.73,1078.52,2.996831146325563,3.0328282030399567,10.6374236797072
UGC06917,108.7,104.33054618752848,0.959802632819949,-0.0178180630954004,0.0178180630954004,6106590000.0,3416000000.0,2690590000.0000005,0.5593956692687736,0.4406043307312265,1.2696100111871371,9.0,2.76,3.114130434782609,1.2260485847628753,1.0,1.0,1.0,1.1037496387482806,12.67,4.52,53.07,261.11,1.7248490876293856,2.416823504766854,9.785798762190888
UGC08490,78.6,75.55060558750922,0.9612036334288706,-0.0171845961961374,0.0171845961961374,1466100000.0,508500000.0,957600000.0,0.3468385512584407,0.6531614487415592,0.5310150375939849,9.0,0.67,6.671641791044776,1.312134039924436,1.0,1.0,1.0,1.181248027651385,7.8,1.14,124.98,576.54,2.0968405203313893,2.760829443767128,9.166163593747834
NGC3893,174.0,167.31189672729678,0.9615626248695216,-0.0170224256745111,0.0170224256745111,36975170000.0,29262500000.0,7712670000.000001,0.7914094783066582,0.2085905216933418,3.794081686368015,5.0,2.38,4.888655462184874,1.2813939081165269,1.0,1.0,1.0,1.1535742390269184,20.84,2.43,1573.37,2055.09,3.196830865066194,3.312830845991887,10.56791017942058
