permutation,rmse_logj,spearman_pred_obs,rmse_improvement_vs_baseline
59,0.06446300195932998,0.9887730553327987,-0.0019915778398154615
60,0.0637031947940808,0.9884267697018297,-0.0012317706745662849
61,0.06602652110464996,0.9876795217613179,-0.003555096985135439
62,0.06627297864681997,0.9880075818327622,-0.003801554527305448
63,0.06437184995980857,0.9889735364875701,-0.0019004258402940538
64,0.06215316381111737,0.9889370853685207,0.00031826030839714886
65,0.0640018476595092,0.988572574178027,-0.001530423539994677
66,0.06457453527682612,0.9877706495589412,-0.002103111157311599
67,0.06309552722744483,0.9871327549755777,-0.0006241031079303044
68,0.06435568505210479,0.9890828898447181,-0.0018842609325902676
69,0.06295820687862438,0.9889917620470947,-0.00048678275910986335
70,0.06359909697878294,0.987624845082744,-0.0011276728592684165
71,0.06818408270425487,0.9872421083327257,-0.005712658584740349
72,0.06403206966160956,0.9881898374280089,-0.001560645542095035
73,0.06305873913446888,0.9890828898447181,-0.0005873150149543621
74,0.06484197080281516,0.9882809652256324,-0.0023705466833006394
75,0.06470406911222612,0.9885178974994531,-0.0022326449927115993
76,0.06658206688489494,0.9860392214040969,-0.004110642765380423
77,0.06249552921361486,0.988244514106583,-2.410509410034206e-05
78,0.0643854478178836,0.9872238827732012,-0.0019140236983690856
79,0.06387310637483878,0.9888824086899467,-0.001401682255324263
80,0.057807801753006066,0.9912699569876794,0.004663622366508455
81,0.06271563461511645,0.9901035211781,-0.0002442104956019292
82,0.0658017939381873,0.9875701684041699,-0.003330369818672782
83,0.06265815702776588,0.9896296566304584,-0.00018673290825135802
84,0.06583753766050228,0.9868775971422321,-0.0033661135409877585
85,0.06289362587260047,0.9886272508566011,-0.00042220175308595176
86,0.06250294637908058,0.9896843333090325,-3.1522259566055255e-05
87,0.06711682369877468,0.9879711307137129,-0.004645399579260162
88,0.06376887933904525,0.9886819275351751,-0.0012974552195307298
89,0.06402211157767998,0.9880440329518115,-0.001550687458165459
90,0.06430678318260628,0.9880258073922868,-0.0018353590630917627
91,0.0641295520993206,0.9877888751184659,-0.0016581279798060788
92,0.061879802658082475,0.9891922432018662,0.0005916214614320459
93,0.06442278426750475,0.9883720930232557,-0.0019513601479902304
94,0.06252466733376869,0.9885907997375517,-5.324321425416445e-05
95,0.06377295223110882,0.9887183786542247,-0.0013015281115942995
96,0.06222263824240489,0.9887912808923234,0.00024878587710962935
97,0.06419629679752811,0.9883174163446816,-0.001724872678013592
98,0.06225068313118096,0.9898119122257052,0.00022074098833355787
99,0.06313254074993249,0.9891375665232921,-0.0006611166304179711
100,0.06152485212823889,0.9903040023328715,0.0009465719912756312
101,0.06299265626116564,0.9890282131661441,-0.0005212321416511179
102,0.06538990659280361,0.9869869504993801,-0.0029184824732890885
103,0.06220120552757526,0.9895020777137857,0.0002702185919392641
104,0.0644090250629843,0.9877524239994167,-0.0019376009434697722
105,0.064472584547209,0.9878253262375153,-0.002001160427694479
106,0.06541767536635422,0.9870598527374789,-0.0029462512468396984
107,0.06614946043248335,0.9889006342494714,-0.003678036312968827
108,0.06707892580869354,0.9877888751184659,-0.004607501689179019
109,0.06571704203542413,0.9882262885470583,-0.0032456179159096044
110,0.06230699886275477,0.9887183786542247,0.00016442525675974817
111,0.06525225463757668,0.9880075818327622,-0.0027808305180621606
112,0.06438242829920489,0.9890828898447181,-0.0019110041796903676
113,0.06494120807363217,0.987624845082744,-0.002469783954117649
114,0.06531362943317104,0.9886454764161258,-0.002842205313656518
115,0.06309830609364803,0.9881716118684843,-0.0006268819741335058
116,0.06594665603399447,0.9875701684041699,-0.0034752319144799454
117,0.06502429938909338,0.9878617773565647,-0.0025528752695788554
118,0.0656287134377987,0.9873696872493984,-0.0031572893182841844
119,0.06471501173199665,0.9878617773565647,-0.002243587612482126
120,0.06451277709249692,0.9871692060946271,-0.0020413529729823993
121,0.06102296311923754,0.9885178974994531,0.001448461000276978
122,0.062105487703354584,0.9891922432018662,0.0003659364161599371
123,0.06352107211834424,0.988754829773274,-0.0010496479988297142
124,0.06394244004840988,0.9891557920828169,-0.0014710159288953556
125,0.06170975778788378,0.9895203032733105,0.0007616663316307379
126,0.06444811836098441,0.9874061383684477,-0.001976694241469887
127,0.0635005295318777,0.9881169351899103,-0.0010291054123631738
128,0.06273706503803918,0.9888459575708974,-0.00026564091852465666
129,0.06257056807432694,0.9885907997375517,-9.914395481241955e-05
130,0.06639848462531536,0.9876430706422685,-0.003927060505800842
131,0.06072744818072942,0.9893927243566375,0.0017439759387851
132,0.06367515980152617,0.9877159728803672,-0.001203735682011653
133,0.06583703702791777,0.9869140482612814,-0.0033656129084032455
134,0.06544310257153783,0.9876066195232193,-0.002971678452023313
135,0.06364879485923242,0.9884996719399284,-0.001177370739717895
136,0.06399422835340267,0.9873696872493984,-0.0015228042338881476
137,0.065456328797285,0.9884267697018297,-0.002984904677770475
138,0.06278802833683843,0.9896296566304584,-0.000316604217323907
139,0.06480566020813072,0.9882262885470583,-0.002334236088616201
140,0.0640045778792259,0.9898848144638038,-0.0015331537597113726
141,0.061788613743019506,0.9894656265947364,0.0006828103764950147
142,0.06594319804014294,0.9884085441423051,-0.003471773920628418
143,0.06321741438100573,0.9893198221185389,-0.0007459902614912056
144,0.06425123189571025,0.9893562732375882,-0.001779807776195727
145,0.06336264923260995,0.9893380476780635,-0.0008912251130954313
146,0.06211364160249143,0.9895932055114092,0.00035778251702309194
147,0.0648637773637026,0.9868775971422321,-0.0023923532441880724
148,0.06555082681216845,0.9876430706422685,-0.003079402692653929
149,0.06329312402278589,0.9881169351899103,-0.0008216999032713695
