galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,Mbar_msun,logMbar,logVflat,btfr_intercept,btfr_slope,btfr_pred_logV,btfr_residual_dex,btfr_abs_residual,btfr_mcgaugh2012_residual_dex,btfr_mcgaugh2012_abs_residual
NGC3198,1.0,5.0,150.1,3.9,38.279,10.869,3.14,35.66,5.84,178.99,1602.62,13.8,73.0,"Da06,Be91,Be87",33595270000.0,10.526278135797504,2.1763806922432702,-0.5113052299953077,0.25976656719990754,2.223069906732252,-0.04668921448898189,0.04668921448898189,-0.03044634062210072,0.03044634062210072
NGC3521,1.0,4.0,213.7,15.9,84.836,4.154,2.4,18.85,2.45,2232.7,2112.66,7.7,75.0,"Da06,Sa96",47942820000.0,10.68072357568052,2.329804522164069,-0.5113052299953077,0.25976656719990754,2.2631896684703428,0.06661485369372633,0.06661485369372633,0.08436612932794452,0.08436612932794452
NGC3741,1.0,10.0,50.1,2.1,0.028,0.182,0.2,4.2,0.32,42.94,143.49,3.21,70.0,"Ge07,Bm05",256060000.0,8.408341741154654,1.6998377258672457,-0.5113052299953077,0.25976656719990754,1.6729008399481304,0.02693688591911525,0.02693688591911525,0.022494791662586833,0.022494791662586833
NGC3893,1.0,5.0,174.0,8.9,58.525,5.799,2.38,20.84,2.43,1573.37,2055.09,18.0,49.0,"VS01,SV98",36975170000.0,10.56791017942058,2.2405492482825995,-0.5113052299953077,0.25976656719990754,2.233884519789735,0.00666472849286448,0.00666472849286448,0.02331420451145938,0.02331420451145938
NGC3917,1.0,6.0,135.9,4.1,21.966,1.888,2.63,14.08,5.56,112.94,1226.96,18.0,79.0,"VS01,SV98",13494040000.0,10.130141993187998,2.1332194567324945,-0.5113052299953077,0.25976656719990754,2.1201669808227677,0.013052475909726802,0.013052475909726802,0.025426459519499733,0.025426459519499733
NGC3953,1.0,4.0,220.8,6.1,141.301,2.832,4.89,17.38,6.17,587.26,1999.08,18.0,62.0,"VS01,SV98",74417060000.0,10.871672508321929,2.343999069057161,-0.5113052299953077,0.25976656719990754,2.3127918172130877,0.031207251844073358,0.031207251844073358,0.050823443060684426,0.050823443060684426
NGC3972,1.0,4.0,132.7,2.9,14.353,1.214,2.18,10.05,3.73,164.75,1587.93,18.0,77.0,"VS01,SV98",8791120000.0,9.944044208274432,2.122870922864436,-0.5113052299953077,0.25976656719990754,2.071824998072264,0.05104592479217196,0.05104592479217196,0.061602371879831974,0.061602371879831974
NGC3992,1.0,4.0,241.0,5.2,226.932,16.599,4.96,32.75,9.99,360.44,3257.09,23.7,56.0,"VS01,SV98",135542670000.0,11.13207603637886,2.3820170425748683,-0.5113052299953077,0.25976656719990754,2.380435947783182,0.0015810947916863327,0.0015810947916863327,0.023740534564157922,0.023740534564157922
NGC4088,1.0,4.0,171.7,6.9,107.286,8.226,2.58,22.25,6.1,457.96,3988.69,18.0,69.0,"VS01,SV98",64583580000.0,10.81012211518025,2.2347702951609163,-0.5113052299953077,0.25976656719990754,2.296803082876869,-0.062032787715952775,0.062032787715952775,-0.0430177325501413,0.0430177325501413
NGC4100,1.0,4.0,158.2,5.0,59.394,3.102,2.15,18.06,4.93,388.0,8970.78,18.0,73.0,"VS01,SV98",33822660000.0,10.52920775991146,2.1992064791616577,-0.5113052299953077,0.25976656719990754,2.2238309251315203,-0.024624445969862574,0.024624445969862574,-0.008352959732202514,0.008352959732202514
NGC4157,1.0,3.0,184.7,7.2,105.62,8.226,2.32,24.09,4.44,848.85,23813.87,18.0,82.0,"VS01,SV98",63750580000.0,10.804484140316246,2.2664668954402414,-0.5113052299953077,0.25976656719990754,2.2953385255004877,-0.02887163006024629,0.02887163006024629,-0.009911638554815472,0.009911638554815472
NGC4183,1.0,6.0,110.6,5.4,10.838,3.506,2.79,16.07,4.47,86.46,1098.58,18.0,82.0,"VS01,SV98",10081980000.0,10.003545831576814,2.04375512696868,-0.5113052299953077,0.25976656719990754,2.0872815305003454,-0.04352640353166537,0.04352640353166537,-0.03238882984151914,0.03238882984151914
NGC4217,1.0,3.0,181.3,7.2,85.299,2.562,2.94,16.7,5.28,483.98,4373.51,18.0,86.0,"VS01,SV98",46056960000.0,10.663295268869293,2.258397804095509,-0.5113052299953077,0.25976656719990754,2.2586623770378833,-0.0002645729423744747,0.0002645729423744747,0.017316487962190763,0.017316487962190763
NGC4559,1.0,6.0,121.2,5.1,19.377,5.811,2.1,21.16,3.82,211.27,1602.62,9.0,67.0,Ba05,17417130000.0,10.240976593389751,2.0835026198302677,-0.5113052299953077,0.25976656719990754,2.148958104444151,-0.06545548461388329,0.06545548461388329,-0.05199902743316587,0.05199902743316587
NGC5005,1.0,4.0,262.2,20.7,178.72,1.28,9.45,10.41,3.97,1789.91,96.57,16.9,68.0,Ri15,91062400000.0,10.959339092194677,2.4186326873540653,-0.5113052299953077,0.25976656719990754,2.3355646647638544,0.08306802259021095,0.08306802259021095,0.10354041538940129,0.10354041538940129
NGC5033,1.0,5.0,194.2,3.6,110.509,11.314,5.16,29.53,2.94,2036.24,614.94,15.7,66.0,"Sa96,Be87",70302120000.0,10.846968421611848,2.288249225571986,-0.5113052299953077,0.25976656719990754,2.3063745214126015,-0.018125295840615507,0.018125295840615507,0.0012496212530286321,0.0012496212530286321
NGC5055,1.0,4.0,179.0,4.9,152.922,11.722,3.2,35.06,4.18,1383.02,3348.34,9.9,55.0,"Ba06,Bl04",92051260000.0,10.96402973751469,2.2528530309798933,-0.5113052299953077,0.25976656719990754,2.336783137596586,-0.08393010661669287,0.08393010661669287,-0.06341190231477434,0.06341190231477434
NGC5371,1.0,4.0,209.5,3.9,340.393,11.18,7.44,30.03,9.8,560.83,1395.82,39.7,53.0,"Sa96,Be87",185065900000.0,11.267326403592811,2.321184027302314,-0.5113052299953077,0.25976656719990754,2.4155694713868767,-0.09438544408456284,0.09438544408456284,-0.07090507251188427,0.07090507251188427
NGC5585,1.0,7.0,90.3,2.4,2.943,1.683,1.53,10.92,2.27,90.54,297.05,7.06,51.0,"Bl99,Sa96,Co91",3709890000.000001,9.56936103276835,1.9556877503135055,-0.5113052299953077,0.25976656719990754,1.9744948357834886,-0.01880708546998311,0.01880708546998311,-0.01191000679457721,0.01191000679457721
NGC5907,1.0,5.0,215.0,2.9,175.425,21.025,5.34,0.0,7.88,449.6,8646.29,17.3,88.0,"Sa96,SA87",115675750000.0,11.06324232399044,2.3324384599156054,-0.5113052299953077,0.25976656719990754,2.362555250608416,-0.030116790692810813,0.030116790692810813,-0.008629619997999605,0.008629619997999605
NGC5985,1.0,3.0,293.6,8.6,208.728,11.586,7.01,39.5,10.71,288.95,1461.61,39.7,60.0,"Bl04,Br92",119773380000.0,11.078360305501224,2.467756051244033,-0.5113052299953077,0.25976656719990754,2.3664823967684643,0.1012736544755688,0.1012736544755688,0.12290847595273213,0.12290847595273213
NGC6195,1.0,3.0,251.7,9.3,391.076,20.907,13.94,40.89,9.52,686.8,174.11,127.8,62.0,SG06,223344310000.0,11.348974892706314,2.4008832155483626,-0.5113052299953077,0.25976656719990754,2.4367790191209506,-0.035895803572588036,0.035895803572588036,-0.011618006544211301,0.011618006544211301
NGC6503,1.0,6.0,116.3,2.4,12.845,1.744,2.16,14.05,1.62,774.16,398.87,6.26,74.0,"Be91,Be87",8742020000.0,9.941611795734016,2.0655797147284485,-0.5113052299953077,0.25976656719990754,2.071193138616626,-0.005613423888177316,0.005613423888177316,0.00491926687894928,0.00491926687894928
NGC6674,1.0,3.0,241.3,4.9,214.654,32.165,6.04,50.02,7.75,560.83,1370.35,51.2,54.0,"Sa96,Br92",150106450000.0,11.176399354063552,2.3825573219087857,-0.5113052299953077,0.25976656719990754,2.391949663865045,-0.009392341956259376,0.009392341956259376,0.013199984476902404,0.013199984476902404
NGC6946,1.0,6.0,158.9,10.9,66.173,5.67,2.44,21.25,4.2,571.26,2232.7,5.52,38.0,Bo08,40627600000.0,10.608821167944376,2.2011238972073794,-0.5113052299953077,0.25976656719990754,2.2445118268393163,-0.04338792963193683,0.04338792963193683,-0.026338893694709764,0.026338893694709764
NGC7331,1.0,3.0,239.0,5.4,250.631,11.067,5.02,27.01,3.99,2470.76,1806.47,14.7,75.0,"Be91,Be87",140034610000.0,11.146235386209623,2.378397900948137,-0.5113052299953077,0.25976656719990754,2.3841140734825017,-0.0057161725343646275,0.0057161725343646275,0.016581555479735943,0.016581555479735943
NGC7814,1.0,2.0,218.9,7.0,74.529,1.07,2.54,12.15,2.08,2709.13,2635.3,14.4,90.0,Fr11,38687600000.0,10.587571788933293,2.340245761567932,-0.5113052299953077,0.25976656719990754,2.2389919485984775,0.10125381296945468,0.10125381296945468,0.11809531541861329,0.11809531541861329
UGC00128,1.0,8.0,129.3,2.8,12.02,7.431,5.95,31.27,9.63,20.36,88.89,64.5,57.0,"VB99,VH93",15893230000.000002,10.201212168360524,2.111598524880394,-0.5113052299953077,0.25976656719990754,2.1386286362576308,-0.027030111377236654,0.027030111377236654,-0.013962016125732113,0.013962016125732113
UGC00731,1.0,10.0,73.3,2.3,0.323,1.807,2.3,11.57,1.4,25.63,82.57,12.5,57.0,"Sw09,Sw02",2564810000.0,9.409055198294674,1.865103974641128,-0.5113052299953077,0.25976656719990754,1.9328527394601447,-0.0677487648190167,0.0677487648190167,-0.06241732384853571,0.06241732384853571
UGC01230,1.0,9.0,103.7,6.1,7.62,6.43,4.34,26.29,6.45,28.63,69.32,53.7,22.0,"dB02,VdH93",12361900000.0,10.092085226100666,2.015778756389041,-0.5113052299953077,0.25976656719990754,2.110281105077765,-0.09450234868872398,0.09450234868872398,-0.08250004905212105,0.08250004905212105
UGC01281,1.0,8.0,55.2,3.5,0.353,0.294,1.63,5.26,2.01,13.83,135.78,5.27,90.0,"dB02,Sw02",567520000.0,8.753981171127867,1.741939077729199,-0.5113052299953077,0.25976656719990754,1.7626864081612044,-0.020747330432005384,0.020747330432005384,-0.021813713968763082,0.021813713968763082
UGC02487,1.0,0.0,332.0,3.5,489.955,17.963,7.89,40.2,9.63,818.14,1150.35,69.1,36.0,"No07,No05",268868290000.0,11.429539585079066,2.521138083704036,-0.5113052299953077,0.25976656719990754,2.4577070326961366,0.06343105100789925,0.06343105100789925,0.08849568851827438,0.08849568851827438
UGC02885,1.0,5.0,289.5,12.0,403.525,40.075,11.4,74.24,12.2,421.53,470.79,80.6,64.0,"Sa96,RA85",255062250000.0,11.406646186442565,2.4616485680634552,-0.5113052299953077,0.25976656719990754,2.451760093120794,0.009888474942661318,0.009888474942661318,0.03472952253681871,0.03472952253681871
UGC03205,1.0,2.0,219.6,8.6,113.642,9.677,3.19,28.6,5.35,587.26,3915.89,50.0,67.0,"No07,No05",69691410000.0,10.843179251275886,2.3416323357780544,-0.5113052299953077,0.25976656719990754,2.305390221641893,0.03624211413616152,0.03624211413616152,0.055580024043087484,0.055580024043087484
UGC03546,1.0,1.0,196.9,7.4,101.336,2.675,3.79,18.37,2.58,2403.42,922.21,28.7,55.0,"No07,No05",54225750000.0,10.734205567483995,2.2942457161381182,-0.5113052299953077,0.25976656719990754,2.277082501888145,0.017163214249973358,0.017163214249973358,0.03543682535112369,0.03543682535112369
UGC04278,1.0,7.0,91.4,4.8,1.307,1.116,2.21,8.9,2.46,34.11,377.42,9.51,90.0,"dB02,Sw02",2137780000.0,9.3299630097118,1.9609461957338317,-0.5113052299953077,0.25976656719990754,1.9123072331396442,0.04863896259418743,0.04863896259418743,0.05319794438988601,0.05319794438988601
UGC04325,1.0,9.0,90.9,2.7,2.026,0.678,1.86,6.61,2.79,41.0,213.22,9.6,41.0,"Sw09,Sw02",1914740000.0,9.28210981003762,1.9585638832219676,-0.5113052299953077,0.25976656719990754,1.8998765717307506,0.058687311491216976,0.058687311491216976,0.0627789317965668,0.0627789317965668
UGC04499,1.0,8.0,72.8,2.4,1.552,1.1,1.73,8.67,2.69,33.79,127.3,12.5,50.0,"Sw09,Sw02",2239000000.0,9.35005409357903,1.8621313793130367,-0.5113052299953077,0.25976656719990754,1.91752622502716,-0.05539484571412334,0.05539484571412334,-0.05063964299771584,0.05063964299771584
UGC05005,1.0,10.0,98.9,7.2,4.1,3.093,3.2,21.61,5.02,25.63,65.59,53.7,41.0,"dB02,VH93",6163690000.0,9.78984078795116,1.9951962915971797,-0.5113052299953077,0.25976656719990754,2.031768104924403,-0.03657181332722326,0.03657181332722326,-0.02752140430660588,0.02752140430660588
UGC05721,1.0,7.0,79.7,6.6,0.531,0.562,0.38,6.74,0.6,233.79,913.76,6.18,61.0,"dB02,Sw02",1012960000.0,9.005592296177396,1.9014583213961125,-0.5113052299953077,0.25976656719990754,1.8280465663846273,0.07341175501148522,0.07341175501148522,0.07480274843576806,0.07480274843576806
UGC06399,1.0,9.0,85.0,3.8,2.296,0.674,2.05,8.8,3.45,30.82,311.05,18.0,75.0,"VS01,SV98",2044420000.0,9.310570120887752,1.9294189257142929,-0.5113052299953077,0.25976656719990754,1.9072696089817316,0.022149316732561264,0.022149316732561264,0.026518896576359197,0.026518896576359197
UGC06446,1.0,7.0,82.2,4.3,0.988,1.379,1.49,10.33,2.06,37.05,86.46,12.0,51.0,"VS01,SV98",2328070000.0,9.3669960344644,1.9148718175400503,-0.5113052299953077,0.25976656719990754,1.921927174852656,-0.007055357312605759,0.007055357312605759,-0.0021346899920453577,0.0021346899920453577
UGC06614,1.0,1.0,199.8,16.0,124.35,21.888,5.1,60.63,3.68,1461.61,540.54,88.7,36.0,"dB01,VH93",91286040000.0,10.960404367736713,2.300595483889964,-0.5113052299953077,0.25976656719990754,2.335841387734531,-0.03524590384456694,0.03524590384456694,-0.014763106960209882,0.014763106960209882
UGC06667,1.0,6.0,83.8,3.1,1.397,0.809,5.15,8.59,3.5,18.06,614.94,18.0,89.0,"VS01,SV98",1774470000.0,9.24906866136488,1.9232440186302764,-0.5113052299953077,0.25976656719990754,1.8912935859636915,0.03195043266658493,0.03195043266658493,0.035719354373061396,0.035719354373061396
UGC06786,1.0,0.0,219.4,7.8,73.407,5.03,3.6,20.31,3.42,992.73,1078.52,29.3,64.0,"No07,No05",43393400000.0,10.6374236797072,2.341236623238692,-0.5113052299953077,0.25976656719990754,2.2519418031332403,0.08929482010545176,0.08929482010545176,0.10662320439589656,0.10662320439589656
UGC06917,1.0,9.0,108.7,3.5,6.832,2.023,2.76,12.67,4.52,53.07,261.11,18.0,56.0,"VS01,SV98",6106590000.0,9.785798762190888,2.0362295440862948,-0.5113052299953077,0.25976656719990754,2.0307181217681234,0.005511422318171366,0.005511422318171366,0.01452235462257745,0.01452235462257745
UGC06930,1.0,7.0,107.2,5.1,8.932,3.237,3.94,16.76,4.38,73.93,189.16,18.0,32.0,"VS01,SV98",8771210000.0,9.943059508996027,2.030194785356751,-0.5113052299953077,0.25976656719990754,2.0715692061209885,-0.041374420764237474,0.041374420764237474,-0.03082759080825115,0.03082759080825115
UGC06983,1.0,6.0,109.0,5.8,5.298,2.967,3.21,16.07,3.95,53.56,121.57,18.0,49.0,"VS01,SV98",6595110000.0,9.819222043551012,2.037426497940624,-0.5113052299953077,0.25976656719990754,2.0394003728315995,-0.0019738748909756687,0.0019738748909756687,0.0073634881368751515,0.0073634881368751515
UGC07125,1.0,9.0,65.2,2.1,2.712,4.629,3.38,23.04,3.92,28.11,103.0,19.8,90.0,"Sw09,Sw02",7512569999.999999,9.875788531662655,1.81424759573192,-0.5113052299953077,0.25976656719990754,2.0540944552669154,-0.2398468595349954,0.2398468595349954,-0.2299570360997394,0.2299570360997394
UGC07151,1.0,6.0,73.5,2.8,2.284,0.616,1.25,6.39,2.17,76.71,965.67,6.87,90.0,"Sw09,Sw02",1961280000.0,9.292539599672017,1.866287339084195,-0.5113052299953077,0.25976656719990754,1.902585882380695,-0.03629854329649995,0.03629854329649995,-0.03210505974980449,0.03210505974980449
UGC07399,1.0,8.0,103.0,3.3,1.156,0.745,1.64,7.85,1.27,113.98,135.78,8.43,55.0,"Sw09,Sw02",1568850000.0,9.19558142205319,2.012837224705172,-0.5113052299953077,0.25976656719990754,1.8773993894186933,0.13543783528647868,0.13543783528647868,0.13868437027587932,0.13868437027587932
UGC07524,1.0,9.0,79.5,3.6,2.436,1.779,3.46,12.11,3.61,29.71,106.86,4.74,46.0,"Sw09,Sw02",3584070000.0,9.554376483221354,1.9003671286564705,-0.5113052299953077,0.25976656719990754,1.9706023507866282,-0.07023522213015765,0.07023522213015765,-0.06348449106486354,0.06348449106486354
UGC07603,1.0,7.0,61.6,2.8,0.376,0.258,0.53,4.37,0.85,81.81,520.99,4.7,78.0,"Sw09,Sw02",531140000.0,8.725209009242763,1.7895807121644254,-0.5113052299953077,0.25976656719990754,1.755212362437391,0.0343683497270344,0.0343683497270344,0.03302096093773943,0.03302096093773943
UGC08286,1.0,6.0,82.4,2.3,1.255,0.642,1.05,8.07,2.25,39.52,1488.78,6.5,90.0,"Sw09,Sw02",1481360000.0,9.170660613561282,1.915927211697116,-0.5113052299953077,0.25976656719990754,1.870925796544904,0.04500141515221201,0.04500141515221201,0.04800455939080006,0.04800455939080006
UGC08490,1.0,9.0,78.6,3.8,1.017,0.72,0.67,7.8,1.14,124.98,576.54,4.65,50.0,"Sw09,Sw02",1466100000.0,9.166163593747834,1.895422546039408,-0.5113052299953077,0.25976656719990754,1.869757621145335,0.025664924894073016,0.025664924894073016,0.02862414868645402,0.02862414868645402
UGC08550,1.0,7.0,56.9,1.9,0.289,0.288,0.45,5.59,1.01,45.38,1284.78,6.7,90.0,"Sw09,Sw02",527540000.0,8.722255395004163,1.7551122663950711,-0.5113052299953077,0.25976656719990754,1.7544451122057971,0.0006671541892739885,0.0006671541892739885,-0.0007090812719650064,0.0007090812719650064
UGC09133,1.0,2.0,226.8,4.2,282.926,33.428,6.97,60.35,5.92,1284.78,864.63,57.1,53.0,"No07,No05",185922240000.0,11.269331343142351,2.355643050220869,-0.5113052299953077,0.25976656719990754,2.416090287651104,-0.060447237430234946,0.060447237430234946,-0.036947284480714604,0.036947284480714604
UGC10310,1.0,9.0,71.4,3.9,1.741,1.196,1.8,9.58,3.12,28.37,158.79,15.2,34.0,"Sw09,Sw02",2461180000.0,9.391143377273732,1.8536982117761744,-0.5113052299953077,0.25976656719990754,1.9281998472012356,-0.07450163542506116,0.07450163542506116,-0.06934513145825383,0.06934513145825383
UGC11455,1.0,6.0,269.4,7.4,374.322,13.335,5.93,43.44,10.06,571.26,9568.2,78.6,90.0,SG06,204896550000.0,11.311534645914245,2.430397591386966,-0.5113052299953077,0.25976656719990754,2.427053294736657,0.0033442966503089977,0.0033442966503089977,0.027256430992410596,0.027256430992410596
UGC11914,1.0,2.0,288.1,10.5,150.028,0.888,2.44,9.26,3.12,2425.66,3168.33,16.9,31.0,"No07,No05",76195040000.0,10.881926701382376,2.459543258280413,-0.5113052299953077,0.25976656719990754,2.3154555137438053,0.14408774453660778,0.14408774453660778,0.16380408401882374,0.16380408401882374
UGC12632,1.0,9.0,71.7,2.8,1.301,1.744,2.42,12.6,3.94,13.09,66.81,9.77,46.0,"Sw09,Sw02",2970020000.0000005,9.472759373849332,1.8555191556678,-0.5113052299953077,0.25976656719990754,1.9494009544602786,-0.09388179879247871,0.09388179879247871,-0.08792818671052816,0.08792818671052816
UGCA442,1.0,9.0,56.4,2.1,0.14,0.263,1.18,4.37,1.71,7.6,116.1,4.35,64.0,Co00,419790000.00000006,8.623032088852037,1.7512791039833422,-0.5113052299953077,0.25976656719990754,1.728670214580434,0.022608889402908172,0.022608889402908172,0.020263582854337603,0.020263582854337603
