f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,disturbance_weight,failed_weight,n_steps,tau_final,n_primary_fit,n_mature_control,primary_fit_rmse,primary_fit_spearman,primary_cv_rmse,primary_cv_spearman,train_fit_rmse,train_fit_spearman,m37_static_primary_rmse,m37_static_primary_spearman,mature_control_median_A_pred,mature_control_fraction_A_pred_gt_0p5,ugc07125_A_pred,rank_score
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,2.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.39232384129346,-0.28982341002115847,,,0.39232384129346,-0.28982341002115847,0.5117710280218454,-0.3627661375280108,0.9829832872920555,0.9782608695652174,0.6838190710631561,0.4010185435940947
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,4.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.3896623006075609,-0.42508613772804,,,0.3896623006075609,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9968282161295472,1.0,0.73563309156859,0.4024148847394021
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,0.75,10.0,1.25,0.4,0.4,80,1.0,41,46,0.39021473583846095,-0.42508613772804,,,0.39021473583846095,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9958308662289983,1.0,0.7101143145961887,0.40296731997030216
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.05,4.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.39123253900916577,-0.40348659220416616,,,0.39123253900916577,-0.40348659220416616,0.5117710280218454,-0.3627661375280108,0.9967450904145752,1.0,0.7042084461942197,0.40333713677529076
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,4.0,4.0,1.25,0.4,0.4,80,1.0,41,46,0.3946621815528437,-0.2903545463864996,,,0.3946621815528437,-0.2903545463864996,0.5117710280218454,-0.3627661375280108,0.9723320064899466,0.9782608695652174,0.6241952219719009,0.4033728179444387
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,2.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3916983161049795,-0.4210140922604244,,,0.3916983161049795,-0.4210140922604244,0.5117710280218454,-0.3627661375280108,0.9984778193601822,1.0,0.7636642633606845,0.40432873887279225
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.5,0.1,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3967432898706376,-0.2742434099711511,,,0.3967432898706376,-0.2742434099711511,0.5117710280218454,-0.3627661375280108,0.9935045001220237,0.9347826086956522,0.7369317147256569,0.40497059216977216
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,4.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.39330066889910215,-0.3955195467240488,,,0.39330066889910215,-0.3955195467240488,0.5117710280218454,-0.3627661375280108,0.9740132880137473,1.0,0.5916326427191272,0.4051662553008236
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.05,4.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.39532278265032295,-0.42508613772804,,,0.39532278265032295,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9968275148664145,1.0,0.7281845046771377,0.40807536678216416
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,2.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.40168729970449235,-0.28716772819445263,,,0.40168729970449235,-0.28716772819445263,0.5117710280218454,-0.3627661375280108,0.9829188801139832,0.9565217391304348,0.6686234253551603,0.4103023315503259
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,2.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.3986118566778467,-0.39959159219166435,,,0.3986118566778467,-0.39959159219166435,0.5117710280218454,-0.3627661375280108,0.8591167993349162,1.0,0.5027921270091783,0.41059960444359667
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,2.0,4.0,1.25,0.4,0.4,80,1.0,41,46,0.3994857507368042,-0.42508613772804,,,0.3994857507368042,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9853817027065329,1.0,0.582148924251675,0.4122383348686454
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.05,4.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.40199459185382097,-0.3955195467240488,,,0.40199459185382097,-0.3955195467240488,0.5117710280218454,-0.3627661375280108,0.9728287728731674,1.0,0.5794056054778224,0.41386017825554244
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,4.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.4016408679098135,-0.42508613772804,,,0.4016408679098135,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9955625762994278,1.0,0.6656745579236691,0.41439345204165473
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,2.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.40698944776935625,-0.2685779554075121,,,0.40698944776935625,-0.2685779554075121,0.5117710280218454,-0.3627661375280108,0.9645855344141379,0.9347826086956522,0.5841071102546204,0.4150467864315816
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,0.75,10.0,1.25,0.4,0.4,80,1.0,41,46,0.4032599467973654,-0.42508613772804,,,0.4032599467973654,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9957359616042417,1.0,0.6755930900097001,0.4160125309292066
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.05,2.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.4040101104414321,-0.40968318313314633,,,0.4040101104414321,-0.40968318313314633,0.5117710280218454,-0.3627661375280108,0.9984649778728636,1.0,0.7347123625264164,0.4163006059354265
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.5,0.05,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.4095970598493066,-0.2742434099711511,,,0.4095970598493066,-0.2742434099711511,0.5117710280218454,-0.3627661375280108,0.993488804579725,0.9347826086956522,0.718281364738265,0.41782436214844115
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.05,4.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.40603731871265375,-0.42508613772804,,,0.40603731871265375,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9955618719744384,1.0,0.6592899791742326,0.41878990284449497
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,2.0,4.0,1.25,0.4,0.4,80,1.0,41,46,0.40645803390399354,-0.42508613772804,,,0.40645803390399354,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9842029955619418,1.0,0.5679997263164523,0.41921061803583476
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.5,0.1,4.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.41115378699967065,-0.26893204631773954,,,0.41115378699967065,-0.26893204631773954,0.5117710280218454,-0.3627661375280108,0.9838641260338608,0.9347826086956522,0.5919306546683676,0.41922174838920284
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,4.0,4.0,1.75,0.4,0.4,80,1.0,41,46,0.4103206901663251,-0.3000920464177541,,,0.4103206901663251,-0.3000920464177541,0.5117710280218454,-0.3627661375280108,0.9628575029897836,0.9565217391304348,0.555817131890822,0.41932345155885775
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,0.75,10.0,1.75,0.4,0.4,80,1.0,41,46,0.4068700435547039,-0.42809591046497314,,,0.4068700435547039,-0.42809591046497314,0.5117710280218454,-0.3627661375280108,0.9942315660018561,1.0,0.6309170407168103,0.4197129208686531
