mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,proxy_name,repeat,uses_observed_Vflat_in_activation
0.10645333197413412,0.3262718681929751,0.37651705224225285,0.3878439271515227,0.38040676488917136,0.39437989012815455,-0.44868624958450387,1.765029505076222,0.3173060150259781,0.25799245615615607,87,J_mix_newton_lambda,1,False
0.09382258376013045,0.3063047236986894,0.48206083170226327,0.4306803249029388,0.48272612910194745,0.4588459720894088,-0.28461680282888346,2.4235633222301827,0.3516907354538424,0.2534887158789316,87,J_mix_newton_lambda,2,False
0.09793154414925909,0.3129401606525744,0.4392501209848479,0.42665068609402984,0.44372954455545205,0.4403733661114829,-0.40602794393950037,1.6871425528876756,0.31223033528408867,0.25354553028030785,87,J_mix_newton_lambda,3,False
0.08954526702822531,0.2992411519631371,0.48002570305379094,0.44617500439928104,0.480760729831114,0.46499184800766197,-0.32448179678412736,1.5600352942580988,0.27851517141579707,0.23637038660233928,87,J_mix_newton_lambda,4,False
0.08714819597815579,0.29520873289615907,0.5251453265427916,0.47672832548842864,0.5253625244670331,0.5031290020232342,-0.47383694133583465,1.460068648855208,0.3009439436573263,0.24999153972259297,87,J_mix_newton_lambda,5,False
0.10486596641137363,0.32383015055947717,0.4053191419937265,0.3866321948463893,0.40784995489534454,0.417220995750074,-0.5414668692997033,1.689811249938157,0.3305587218251341,0.2650548885245772,87,J_mix_newton_lambda,6,False
0.09176466086701536,0.3029268242777707,0.48314684205727765,0.44896785461564226,0.4863609880221218,0.4791358970734922,-0.4607559743666463,1.672917232814791,0.3180341611537532,0.2572587090898865,87,J_mix_newton_lambda,7,False
0.0918062122215921,0.302995399670675,0.4541804818319362,0.4310409892180498,0.458328721459781,0.469557052084839,-0.5473853180080513,1.8866489195832017,0.33392141153711175,0.25070395317724775,87,J_mix_newton_lambda,8,False
0.09794232982157629,0.3129573929811793,0.4135600440994238,0.4182506048662275,0.4130846862508973,0.41906562382575413,-0.15592034884036488,1.7009234765792653,0.28095508780690487,0.24116894687170198,87,J_mix_newton_lambda,9,False
0.09776935013046038,0.3126809078444995,0.46992306891092617,0.44078786446728824,0.47093064636024673,0.449168412766264,-0.40526960776356,2.3131474929530387,0.35328432252397823,0.26252040008749905,87,J_mix_newton_lambda,10,False
0.09241913998018468,0.30400516439722647,0.4605870303127774,0.3888947885648297,0.46259173495195294,0.4594191552859685,-0.8493938465582662,1.4585984156682548,0.32155592956088375,0.2438616473197986,87,J_mix_newton_lambda,11,False
