object_name,f_star,log10_Sigma_b,hi_compactness_proxy,m50_primary_score,quality_quarantine_flag
NGC7814,0.9632156039661288,8.979724487335302,0.1729067392784206,0.8084570495946114,False
UGC02487,0.9111431474496304,8.837205710302111,0.1640673736743605,0.8064046562779261,False
UGC03546,0.9343900268783742,8.778747279189737,0.171028880866426,0.8073416908808848,False
UGC04325,0.5290535529628043,7.944904053243674,0.2195985832349468,0.7902766978927827,False
UGC06399,0.5615284530575909,7.88888253041813,0.1889400921658985,0.782889580548484,False
UGC06917,0.5593956692687736,8.105800729702338,0.1788723266364225,0.7875503967745486,False
UGC06983,0.4016612308210174,8.008032110383153,0.1664937759336099,0.7004008759439859,False
UGC11914,0.98449977846327,9.3089671803468,0.2085470085470085,0.8230232416180006,False
xGASS_xCOLD:GASS101026,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS102001,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS112113,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS108119,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS122004,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS113134,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS123001,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS101001,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS109127,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS124028,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS110082,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS113114,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS113137,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS108148,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS114117,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS111071,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS122005,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS108140,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS109082,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS111075,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS101033,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS110036,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS113091,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS109080,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS44856,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS112100,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS109065,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS111044,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS124000,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS111054,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS114142,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS114129,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS110059,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS109102,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS107026,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS112117,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS111093,0.25,8.2,0.1666666666666666,0.16506346889744625,False
