galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,M_star_Msun,M_gas_Msun,M_baryon_Msun,Rdisk_kpc,v_flat_obs_km_s,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,RHI_Rd,taxonomy_stage,organization_label_settled,organization_label_score,f_star_ctx,f_gas_ctx,RHI_over_Rdisk,best_m58_architecture_id,best_m58_footprint_score,quality_quarantined,measurement_limited,abs_log10_error_no_governor,A_inferred,rhi_extent_organization_score,fstar_x_rhi_extent_organization,clean_scalar_sample,pred_m4_fstar_rhi_interaction,quality_quarantined_pred,measurement_limited_pred,phase_region,stable_activation_score,boundary_distance,testability_class,target_role,priority_bin,acquisition_priority_rank,missing_target_label_count,existing_tier_a_label_count,organization_score,S_settle,A_star,A_Sigma,A_gas,A_settle,A_gov_current,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s,organization_claim_boundary,visual_claim_boundary,ugc07125_role
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",5082000000.0,2370060000.0,7452060000.0,3.56,139.7,0.6819590824550527,0.3180409175449473,93582895.56380108,7.971196478641222,6.896067415730337,mature_or_control,1.0,0.5939048188945589,0.6819590824550527,0.3180409175449473,6.896067415730337,nearest_neighbor_mature_template,1.0,False,False,0.1016359820825215,1.0,0.708796867269455,0.4833704612500933,True,0.6317904384368472,False,False,activated_mature,0.6681784264232047,0.1681784264232046,testable_direct,mature_control_acquisition,preferred_50_pool,34.0,9.0,0.0,0.709591469628116,0.709591469628116,0.9670299676783445,0.23718311544640008,0.9435090427984839,0.842471276715166,0.18231603696554946,77.4737635436703,105.61690728911003,83.31633970889932,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
F574-1,1.0,7.0,97.8,4.1,6.537,3.524,4.46,16.19,5.87,29.98,128.48,96.8,65.0,"dB01,dB96",3268500000.0,4686920000.000001,7955420000.000001,4.46,97.8,0.41085197261741047,0.5891480273825895,63652215.878668696,7.803813527033311,3.6300448430493275,mature_or_control,1.0,0.6927799831897397,0.4108519726174104,0.5891480273825895,3.630044843049328,nearest_neighbor_mature_template,1.0,False,False,0.0514949059259186,0.7162899142484588,0.8729316966240367,0.3586457095182483,True,0.6223847486184044,False,False,activated_mature,0.6204870613936224,0.1204870613936224,testable_direct,mature_control_acquisition,preferred_50_pool,35.0,9.0,0.0,0.8082695005820808,0.8082695005820808,0.5312953187478383,0.13732148330019717,0.5260898514984741,0.9217349094941996,0.03537858309464688,71.51639399850716,107.35694354973057,73.08490836773406,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
F579-V1,1.0,5.0,112.1,13.4,11.848,2.245,3.37,20.96,5.76,56.6,201.76,89.5,26.0,"dB01,dB96",5924000000.0,2985850000.0,8909850000.0,3.37,112.1,0.6648821248393632,0.33511787516063685,124862125.20206426,8.096430722519624,6.2195845697329375,mature_or_control,1.0,0.6425911368515081,0.6648821248393632,0.3351178751606368,6.2195845697329375,nearest_neighbor_mature_template,1.0,False,False,0.0151752744774168,0.9142491219646848,0.7427936918529235,0.493870248156447,True,0.6478743606050017,False,False,measurement_limited,0.6743802992652516,0.1743802992652515,measurement_limited,mature_control_acquisition,preferred_50_pool,36.0,9.0,0.0,0.744133675981631,0.744133675981631,0.9598327458736311,0.3391132097378498,0.9336870302901197,0.8757809439778825,0.26615650632266524,87.068633236026,110.44141406301956,93.85958070105008,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",493000000.0,2827580000.0,3320580000.0,2.36,85.8,0.1484680387161279,0.8515319612838721,94887733.57729207,7.97721007350196,6.63135593220339,juvenile_forming,0.0,0.4462449453861865,0.1484680387161279,0.8515319612838721,6.63135593220339,nearest_neighbor_mature_template,0.4442511332843972,False,False,0.0248825125352315,0.8682175583963055,0.722100012979568,0.1072087726839669,True,0.4755350311070383,False,False,pre_activation,0.3047333136093427,0.1952666863906572,testable_direct,primary_non_mature_acquisition,minimum_25_pool,7.0,9.0,0.0,0.5286027032438431,0.5286027032438431,0.04638596509437437,0.2415626850331286,0.07451033915759464,0.5569571034111235,0.0004650019055781871,63.5173621461452,86.29146602759424,63.5298494390629,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
IC4202,1.0,4.0,242.6,11.0,179.749,12.326,4.78,32.13,8.55,391.59,8888.53,100.4,90.0,SG06,89874500000.0,16393580000.0,106268080000.0,4.78,242.6,0.8457337330268883,0.15426626697311177,740230835.6333476,8.869367172445768,6.7217573221757325,mature_or_control,1.0,0.6703756463172738,0.8457337330268883,0.1542662669731117,6.7217573221757325,nearest_neighbor_mature_template,1.0,False,False,0.0262051810596485,1.0,0.7175568671848507,0.6068620479433228,True,0.6873782627547941,False,False,activated_mature,0.8490108909781584,0.3490108909781584,testable_direct,mature_control_acquisition,preferred_50_pool,37.0,9.0,0.0,0.750454883314092,0.750454883314092,0.9952456341585987,0.9186763676837443,0.9884935216687404,0.8811786274668731,0.7963988205184328,202.82767468835735,209.79139152267092,208.392437473194,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
NGC0024,1.0,5.0,106.3,7.9,3.889,0.676,1.34,7.29,2.01,151.65,1182.58,7.3,64.0,"Di08,Ch06",1944500000.0,899080000.0000001,2843580000.0,1.34,106.3,0.6838210987557938,0.3161789012442063,252043780.95191115,8.401475985917836,5.440298507462686,mature_or_control,1.0,0.7824019726063639,0.6838210987557938,0.3161789012442063,5.440298507462686,nearest_neighbor_mature_template,1.0,False,False,0.0886622993703862,1.0,0.7819569192963073,0.5347186397328965,True,0.6789646282834841,False,False,activated_mature,0.9534155280214128,0.4534155280214127,testable_direct,mature_control_acquisition,preferred_50_pool,38.0,9.0,0.0,0.8257880620920741,0.8257880620920741,0.9677349814356199,0.6348156859939739,0.9444933355048117,0.9312662258366102,0.5403520955553061,78.00488619946532,83.0100591249191,80.74797926731082,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",1616000000.0,2646700000.0,4262700000.0,1.66,88.1,0.37910244680601496,0.620897553193985,246200383.18980342,8.391288724537977,9.855421686746988,failed_stalled,0.0,0.3855734141507814,0.3791024468060149,0.620897553193985,9.855421686746988,nearest_neighbor_mature_template,0.622699408094591,False,False,0.0469457908627941,0.7574205131254876,0.5600737346322111,0.2123253231908539,True,0.4797989976241961,False,False,measurement_limited,0.3651710933160962,0.1348289066839038,measurement_limited,primary_non_mature_acquisition,minimum_25_pool,8.0,9.0,0.0,0.48534870908397226,0.48534870908397226,0.43643353532386425,0.6253181880990699,0.44694028527292395,0.47073091935325084,0.057417119647605486,85.80840348533991,91.85135187873628,86.16684096247319,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",156285000000.0,30857330000.0,187142330000.0,8.72,220.1,0.8351130393642101,0.1648869606357899,391705071.1381972,8.59295919409849,5.159403669724771,true_falsifier_candidate,1.0,0.789187253020455,0.8351130393642101,0.1648869606357899,5.159403669724771,nearest_neighbor_mature_template,0.7180302737758454,False,False,0.0470829068277363,0.6044754277243196,0.7960733637582478,0.6648112463650407,True,0.7428987705743314,False,False,activated_mature,0.9532434230978152,0.4532434230978153,testable_direct,mature_control_acquisition,preferred_50_pool,39.0,9.0,0.0,0.777021690392871,0.777021690392871,0.9946028792853913,0.7889928659248382,0.9872206747098814,0.9016925258471354,0.6985467882557709,233.65200456150845,237.78788543278412,236.54872477252079,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
NGC0891,1.0,3.0,216.1,5.7,138.34,4.462,2.55,18.16,3.68,1617.45,5067.92,9.91,90.0,Fr11,69170000000.0,5934460000.0,75104460000.0,2.55,216.1,0.9209839202625251,0.07901607973747497,1838253911.149178,9.264405498668639,7.121568627450981,mature_or_control,1.0,0.6318659252241229,0.9209839202625252,0.0790160797374749,7.121568627450981,nearest_neighbor_mature_template,1.0,False,False,0.0254962081605126,0.7463354013850007,0.697464244153309,0.6423533538232535,True,0.6940537644723327,False,False,activated_mature,0.8039570698859333,0.3039570698859333,testable_direct,mature_control_acquisition,preferred_50_pool,40.0,9.0,0.0,0.7251722358580541,0.7251722358580541,0.9980673497313619,0.982095747531556,0.994545114061743,0.8583165816003298,0.836730634783611,185.97001889440784,196.99566617863684,195.23805123305632,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",3410000000.0,7820400000.0,11230400000.0,1.61,109.8,0.3036401196751674,0.6963598803248326,689546573.3957877,8.838563604646323,20.701863354037265,failed_stalled,0.0,0.3738806087009397,0.3036401196751674,0.6963598803248326,20.701863354037265,nearest_neighbor_mature_template,0.1368220140694006,False,False,0.0635245111991767,0.6959850040662326,0.0149829361005522,0.004549420510657,True,0.2705184652878006,False,False,failed_stalled,0.4031312315615337,0.0968687684384662,testable_direct,primary_non_mature_acquisition,minimum_25_pool,9.0,9.0,0.0,0.21879958799451563,0.21879958799451563,0.23844983291280167,0.9089832388920221,0.27534631054664793,0.09538368926038404,0.00569254241649025,115.6445870046507,119.39278955280355,115.66626755212734,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
