object_name,O_comp,O_radial,O_rot,O_shape,O_SF,O_disorder,m47_primary_score,quality_quarantine_flag,quality_measurement_limited_flag
xGASS_xCOLD:GASS109080,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS44856,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS112100,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS109065,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS111044,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS124000,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS111054,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS114142,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS114129,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS110059,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS109102,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS107026,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS112117,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS111093,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS113057,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS114078,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS114000,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
THINGS:NGC2841,0.9343691332794054,0.6799484012739332,0.5,0.9738474883252576,0.5,0.17310205520040456,0.7176330045757193,False,False
M17_analog_synthesis:DDO161,0.9343691332794054,0.4379837820522141,0.5,0.9738474883252576,0.5,0.2940843648112641,0.6692400807313754,False,False
M17_analog_synthesis:12700-12701,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:9091-6103,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:GASS102001,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:UGC07125,0.9343691332794054,0.438149462898828,0.5,0.9738474883252576,0.5,0.29400152438795724,0.6692732169006982,False,True
M17_analog_synthesis:8611-6104,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:GASS108119,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8139-3703,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8617-12705,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8619-12704,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:9894-9102,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8619-12705,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8982-12702,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8655-12703,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8977-12704,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:11824-12702,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:10498-12701,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:GASS110082,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:GASS122005,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:11751-12702,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:9001-12704,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:11941-9101,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8553-12703,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:10838-6103,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:8598-12704,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:11022-12702,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:GASS112113,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:GASS109080,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
THINGS:NGC5055,0.9343691332794054,0.6237132959646653,0.5,0.9738474883252576,0.5,0.20121960785503856,0.7063859835138657,False,False
M17_analog_synthesis:GASS101026,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
M17_analog_synthesis:GASS111054,0.9343691332794054,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.7025715318358362,False,False
THINGS:NGC6946,0.9343691332794054,0.6276110843233902,0.5,0.9738474883252576,0.5,0.19927071367567617,0.7071655411856106,False,False
THINGS:NGC3521,0.9343691332794054,0.7101075877113513,0.5,0.9738474883252576,0.5,0.15802246198169556,0.7236648418632029,False,False
THINGS:NGC7331,0.9343691332794054,0.7360713552333693,0.5,0.9738474883252576,0.5,0.1450405782206865,0.7288575953676065,False,False
THINGS:NGC2403,0.9343691332794054,0.4407279049878443,0.5,0.9738474883252576,0.5,0.2927123033434491,0.6697889053185014,False,False
THINGS:NGC2903,0.9343691332794054,0.7414323043392996,0.5,0.9738474883252576,0.5,0.14236010366772134,0.7299297851887926,False,False
THINGS:NGC3198,0.9343691332794054,0.4419520633170377,0.5,0.9738474883252576,0.5,0.2921002241788524,0.6700337369843401,False,False
