object_name,phase_fraction_descriptor,texture_descriptor,defect_inverse_descriptor,porosity_inverse_descriptor,concentration_descriptor,m52_primary_score,quality_quarantine_flag
xGASS_xCOLD:GASS109082,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS111075,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS101033,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS110036,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS113091,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS109080,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS44856,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS112100,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS109065,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS111044,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS124000,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS111054,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS114142,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS114129,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS110059,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS109102,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS107026,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS112117,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS111093,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS113057,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS114078,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
xGASS_xCOLD:GASS114000,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
THINGS:NGC2841,0.9343691332794054,0.7369237441626288,0.6799484012739332,0.5,0.3403192084103328,0.6383120974252601,False
M17_analog_synthesis:DDO161,0.9343691332794054,0.7369237441626288,0.4379837820522141,0.5,0.3403192084103328,0.5899191735809163,False
M17_analog_synthesis:12700-12701,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:9091-6103,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:GASS102001,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:UGC07125,0.9343691332794054,0.7369237441626288,0.438149462898828,0.5,0.3403192084103328,0.589952309750239,False
M17_analog_synthesis:8611-6104,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:GASS108119,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8139-3703,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8617-12705,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8619-12704,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:9894-9102,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8619-12705,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8982-12702,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
