galaxy_name,taxonomy_stage,target_activation,A_flip_m39,D_unsettled_m39,target_contamination_score,high_inverse_rank_residual,inverse_rank_residual_abs,contamination_flags
UGC06917,mature_or_control,1.0,0.003923530018869248,0.9960764699811308,0.02575896964121435,True,0.9960764699811308,none_available
UGC07399,juvenile_forming,1.0,0.03390131331505941,0.9660986866849406,0.025631067961165047,True,0.9660986866849406,none_available
NGC7814,mature_or_control,1.0,0.00015453250761965354,0.9998454674923803,0.02558245774326176,True,0.9998454674923803,none_available
NGC3917,mature_or_control,1.0,0.000849923291161403,0.9991500767088386,0.02413539367181751,True,0.9991500767088386,none_available
UGC04325,mature_or_control,1.0,0.006039925809990021,0.99396007419001,0.023762376237623763,True,0.99396007419001,none_available
NGC5985,mature_or_control,1.0,0.0005882823820240191,0.999411717617976,0.023433242506811985,True,0.999411717617976,none_available
ESO116-G012,mature_or_control,1.0,0.0018524007482899618,0.99814759925171,0.022731439046746106,True,0.99814759925171,none_available
NGC3953,mature_or_control,1.0,0.00037087663339196997,0.999629123366608,0.022101449275362315,True,0.999629123366608,none_available
NGC3992,mature_or_control,0.9868370153275026,0.00027897263985143805,0.9997210273601486,0.018083991433543032,True,0.9865580426876511,hi_extended
NGC3972,mature_or_control,1.0,0.0009024044718182189,0.9990975955281818,0.017483044461190655,True,0.9990975955281818,none_available
NGC6503,mature_or_control,1.0,0.0010557546802527629,0.9989442453197472,0.01654606541192956,True,0.9989442453197472,hi_extended
ESO079-G014,mature_or_control,1.0,0.0016324051173334242,0.9983675948826666,0.016,True,0.9983675948826666,none_available
NGC5033,mature_or_control,1.0,0.0006189042414735946,0.9993810957585264,0.014830072090628216,True,0.9993810957585264,none_available
NGC5055,disturbed_or_measurement_contaminated,0.4049988834479593,0.023741695550297592,0.9762583044497024,0.43177601751088873,False,0.3812571878976617,hi_disturbed;approach_recede_mismatch;hi_disturbance;hi_extended
NGC6946,disturbed_or_measurement_contaminated,0.7301681133883909,0.014962845955079351,0.9850371540449206,0.3958254442445094,False,0.7152052674333116,hi_disturbed;approach_recede_mismatch;hi_disturbance;hi_extended
NGC7331,disturbed_or_measurement_contaminated,0.6529781202223786,0.008275230933889821,0.9917247690661102,0.3498641902968907,False,0.6447028892884887,hi_disturbed;approach_recede_mismatch;hi_disturbance
UGC05721,juvenile_forming,1.0,0.5975713029494779,0.4024286970505221,0.32624843161856965,False,0.4024286970505221,measurement_contamination;hi_extended
UGC06614,mature_or_control,0.5475273979459897,0.0063332769455699545,0.99366672305443,0.2871699464170053,False,0.5411941210004197,measurement_contamination;hi_extended
UGC07125,failed_stalled,0.185688488795864,0.07142842383739956,0.9285715761626004,0.2482994155443424,False,0.11426006495846444,quarantine;hi_extended
DDO064,juvenile_forming,0.7313883056240699,0.05345586640190081,0.9465441335980992,0.24767895878524945,False,0.6779324392221691,measurement_contamination
UGC01230,juvenile_forming,0.5981967627928872,0.038726315237856745,0.9612736847621433,0.22705882352941176,False,0.5594704475550305,measurement_contamination
UGC10310,juvenile_forming,0.6433123110527825,0.03161293665346321,0.9683870633465368,0.22369747899159664,False,0.6116993743993193,measurement_contamination
UGC06930,mature_or_control,0.8544600438959054,0.006272320529170039,0.99372767947083,0.2180597014925373,False,0.8481877233667353,measurement_contamination
NGC3198,mature_or_control,0.7652021531474711,0.015700514624652606,0.9842994853753474,0.19486896331309583,False,0.7495016385228185,approach_recede_mismatch;hi_disturbance;hi_extended
NGC2903,mature_or_control,0.8283195478752283,0.010046776218772813,0.9899532237812272,0.16350293625975196,False,0.8182727716564555,approach_recede_mismatch;hi_disturbance
NGC3741,juvenile_forming,1.0,0.8925704843789778,0.1074295156210222,0.11353293413173653,False,0.10742951562102221,hi_extended
NGC1003,juvenile_forming,0.6959850040662326,0.804864057155929,0.195135942844071,0.11060109289617487,False,0.10887905308969636,hi_extended
NGC0100,juvenile_forming,0.7574205131254876,0.026565623384964154,0.9734343766150358,0.08495915101951507,False,0.7308548897405235,hi_extended
UGC08550,juvenile_forming,0.925304421239436,0.058272026325381976,0.941727973674618,0.07409131029095878,False,0.867032394914054,hi_extended
NGC4559,mature_or_control,0.6428376682942409,0.002641915177424403,0.9973580848225756,0.06227289014615747,False,0.6401957531168165,hi_extended
NGC4157,mature_or_control,0.5795487478493855,0.0017567462926919575,0.998243253707308,0.06225467206840543,False,0.5777920015566935,hi_extended
UGC05005,juvenile_forming,0.8403410231539875,0.0371956345750194,0.9628043654249806,0.060265647118301305,False,0.8031453885789681,hi_extended
UGC01281,juvenile_forming,0.9382739299718946,0.08157071033058039,0.9184292896694196,0.05072463768115941,False,0.8567032196413142,none_available
NGC4088,mature_or_control,0.4597920095678989,0.00047069995850257396,0.9995293000414974,0.04914134532468295,False,0.4593213096093963,hi_extended
DDO161,juvenile_forming,0.5612513207542514,0.07718433986544637,0.9228156601345536,0.04102445417006652,False,0.48406698088880507,hi_extended
NGC4100,mature_or_control,0.67139129365072,0.0004017591919531771,0.9995982408080468,0.04048445006321113,False,0.6709895344587669,hi_extended
NGC4183,mature_or_control,0.8004255086628022,0.00274166974327239,0.9972583302567276,0.039059674502712485,False,0.7976838389195298,none_available
UGC07524,juvenile_forming,0.7140784731274675,0.0545556942671348,0.9454443057328652,0.036226415094339624,False,0.6595227788603327,none_available
