formation_index,formation_label,source_galaxy_name,seed_galaxy_name,initialization_mode,initialization_class,step,time_gyr,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,disk_compaction_factor,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,organization_score,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s,A_gov,alpha_BTFR,BTFR_offset_dex,c_coherence,c_fstar,c_sigma,c_org,claim_boundary
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,18,1.8,11921534198.367123,1299275923.915866,10622258274.451258,1.1443692379630772,0.940152495582556,0.10898563073315061,0.8910143692668494,1448838342.4163053,9.161019930734689,0.40471104318732887,117.38417188216114,123.58533305030174,117.81335791833433,0.0675527814327358,1.0073258708612869,-0.14362877809944452,0.4284489186256304,0.012836615333072293,0.8644079722938756,0.40471104318732887,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,19,1.9000000000000001,11916529356.13439,1334083437.9633934,10582445918.170998,1.1410404200781172,0.9374177170355064,0.11195234770907807,0.888047652290922,1456692421.0833359,9.1633678606733,0.40702523376179645,117.37185002486842,123.58975964674124,117.82234981855892,0.07071783278400359,1.0076911858134854,-0.14354110643033957,0.43095524447734,0.01707478244154009,0.8653471442693202,0.40702523376179645,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,20,2.0,11911524513.901659,1368248218.6978667,10543276295.203793,1.1377775172035995,0.9347370907319005,0.11486759877805872,0.8851324012219413,1464444053.9721448,9.165672785020496,0.40933451902456897,117.35952428565678,123.59385348794878,117.83106996764582,0.07382797757032164,1.0080520607138288,-0.14345441598778708,0.43342834499926935,0.021239426825798158,0.8662691140081982,0.40933451902456897,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,21,2.1,11906519671.668926,1401781669.2156594,10504738002.453268,1.1345792241348687,0.9321095443854748,0.11773227675851754,0.8822677232414825,1472093218.5565424,9.167935312055066,0.4116386641619748,117.3471946616714,123.59761940273832,117.83951893759611,0.07688416829783914,1.0084085015967164,-0.14336870442169758,0.43586868131556045,0.025331823940739333,0.8671741248220265,0.4116386641619748,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,22,2.2,11901514829.436193,1434694990.4040194,10466819839.032173,1.1314442615120524,0.9295340269426564,0.1205472589804759,0.8794527410195241,1479639939.1982765,9.170156045500429,0.4139374378831277,117.33486115005418,123.60106218468039,117.84769742483728,0.07988734094885308,1.0087605166655629,-0.14328396893099793,0.43827670722523626,0.029353227114965564,0.8680624182001715,0.4139374378831277,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,23,2.3000000000000003,11896509987.203463,1466999184.5251157,10429510802.678347,1.1283713753083016,0.9270095081621272,0.12331340755424072,0.8766865924457593,1487084285.8308496,9.17233558441561,0.4162306125784415,117.32252374794369,123.60418659077136,117.85560624421075,0.08283841526846014,1.0091081161926114,-0.1432002062858886,0.44065286936883813,0.0333048679346296,0.8689342337662438,0.4162306125784415,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,24,2.4000000000000004,11891505144.97073,1498705058.736591,10392800086.234138,1.1253593363281622,0.9245349782027147,0.12603156963443252,0.8739684303655675,1494426372.6366942,9.174474523092073,0.41851796447562273,117.31018245247525,123.60699734018662,117.863246323144,0.08573829504623583,1.0094513124216709,-0.14311741284939128,0.44299760739279326,0.03718795662061788,0.8697898092368291,0.41851796447562273,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,25,2.5,11886500302.737999,1529823228.5497406,10356677074.18826,1.1224069397158818,0.9221094472194408,0.12870257767943294,0.8712974223205671,1501666356.7199643,9.176573450956248,0.4207992737930331,117.2978372607808,123.60949911311515,117.87061869600355,0.08858786839302697,1.0097901194737207,-0.1430355845982172,0.4453113541115011,0.04100368239918991,0.8706293803824992,0.4207992737930331,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,26,2.6,11881495460.505266,1560364121.2264256,10321131339.278841,1.119513004473449,0.9197319449675712,0.13132724970633203,0.868672750293668,1508804436.7771373,9.178632952477688,0.42307432489031654,117.28548816998898,123.61169654967252,117.87772449862649,0.09138800801294293,1.0101245532553633,-0.14295471714294505,0.44759453566713736,0.04475321386618861,0.8714531809910753,0.42307432489031654,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,27,2.7,11876490618.272535,1590337979.1158028,10286152639.156733,1.1166763729881806,0.9174015204145047,0.13390638954145204,0.8660936104585479,1515840851.7674987,9.180653607082736,0.4253429064161884,117.27313517722513,123.61359424889044,117.88456496302685,0.09413957147062774,1.0104546313700633,-0.14287480574754508,0.4498475716871655,0.04843769934493147,0.8722614428330943,0.4253429064161884,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,28,2.8000000000000003,11871485776.039803,1619754862.9319332,10251730913.10787,1.1138959105696604,0.9151172413593475,0.13644078706652552,0.8635592129334745,1522775879.5855067,9.182635989073589,0.4276048114532852,117.26077827961122,123.61519676777961,117.89114141227351,0.09684340145389597,1.0107803730321288,-0.14279584534824608,0.4520708754395507,0.052058267237893585,0.8730543956294354,0.4276048114532852,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,29,2.9000000000000004,11866480933.807072,1648624654.9733307,10217856278.83374,1.1111705049958476,0.91287819406002,0.13893121846060302,0.8610687815393969,1529609835.7369344,9.184580667552673,0.42985983765997526,117.2484174742659,123.61650862046372,117.89745525553667,0.0995003260318128,1.0111017989833975,-0.14271783057176535,0.4542648539856683,0.05561602637229003,0.8738322670210692,0.42985983765997526,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,30,3.0,11861476091.57434,1676957062.2854583,10184519029.288883,1.1084990660681735,0.9106834828677481,0.14137844643776376,0.8586215535622362,1536343072.0205855,9.186488206352175,0.43210778740903383,117.23605275830447,123.61753427738223,117.90350798329905,0.10211115890829624,1.011418931412567,-0.14264075575291946,0.4564299083308965,0.05911206633966251,0.87459528254087,0.43210778740903383,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,31,3.1,11856471249.341608,1704761619.7671993,10151709629.574408,1.1058805251754473,0.9085322298687918,0.14378322048070288,0.8562167795192971,1542975975.2172976,9.188359163968666,0.4343484679230866,117.22368412883888,123.61827816455933,117.90930116272897,0.10467669967132057,1.0117317938771309,-0.14256461495161865,0.45856643357289073,0.06254745782957555,0.8753436655874666,0.4343484679230866,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,32,3.2,11851466407.108877,1732047693.222288,10119418713.88659,1.1033138348663976,0.9064235745332675,0.14614627707026634,0.8538537229297336,1549508965.7878394,9.190194093502646,0.4365816914067299,117.21131158297776,123.61874466293649,117.91483643321115,0.1071977340377963,1.0120404112278614,-0.14248940196926885,0.4606748190475225,0.06592325295752334,0.8760776374010583,0.4365816914067299,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,33,3.3000000000000003,11846461564.876144,1758824482.3566751,10087637082.51947,1.1007979684306777,0.9043566733709254,0.14846833991100394,0.8515316600889961,1555942496.5812306,9.191993542602942,0.4388072751752361,117.19893511782632,123.61893810776668,117.92011550203253,0.10967503409420214,1.0123448095357952,-0.1424151103645923,0.4627554484724847,0.06924048558714849,0.8767974170411769,0.4388072751752361,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,34,3.4000000000000004,11841456722.643414,1785101023.7227888,10056355698.920626,1.0983319194881682,0.9023306995937416,0.15075012015280953,0.8492498798471905,1562277051.5549142,9.193758053415818,0.4410250417797569,117.18655473048648,123.61886278806762,117.92514014021896,0.11210935853304255,1.0126450160216673,-0.14234173346887546,0.46480870008854636,0.07250017164687075,0.8775032213663273,0.4410250417797569,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,35,3.5,11836451880.41068,1810886193.6116252,10025565686.799057,1.0959147015864108,0.9003448427851917,0.1529923166087162,0.8470076833912838,1568513144.5081172,9.195488162538656,0.4432348191289375,117.1741704180567,123.61852294613189,117.92991217851969,0.11450145288520322,1.0129410589877406,-0.14226926440066823,0.46683494679845106,0.07570330944102314,0.8781952650154622,0.4432348191289375,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,36,3.6,11831447038.177948,1836188710.8936005,9995258327.284348,1.0935453478060149,0.8983983085760738,0.1551956159689132,0.8448043840310868,1574651317.8296604,9.197184400978141,0.44543644060685983,117.16178217763219,123.61792277709152,117.93443350353616,0.1168520497482757,1.0132329677519836,-0.1421976960799367,0.4688345563034543,0.0788508799555903,0.8788737603912565,0.44543644060685983,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,37,3.7,11826442195.945217,1861017139.8090658,9965425056.13615,1.0912229103738764,0.8964903183267504,0.1573606930110502,0.8426393069889497,1580692141.2613769,9.198847294112781,0.44762974518723253,117.14939000630466,123.61706642853524,117.93870605399121,0.11916186901092118,1.013520772584538,-0.1421270212416914,0.4708078912374841,0.08194384715864315,0.8795389176451124,0.44762974518723253,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,38,3.8000000000000003,11821437353.712484,1885379892.7093792,9936057461.003105,1.0889464602840564,0.8946201088156813,0.15948821080689327,0.8405117891931068,1586636210.6782267,9.200477361659654,0.4498145775437503,117.13699390116253,123.61595800017572,117.94273181713584,0.12143161807334202,1.013804504646432,-0.1420572324491043,0.47275530929892334,0.0849831582955618,0.8801909446638618,0.4498145775437503,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,39,3.9000000000000004,11816432511.479753,1909285232.7494104,9907147278.730343,1.0867150869261657,0.8927869319341256,0.16157882092539566,0.8384211790746043,1592484146.8861074,9.202075117645283,0.45199078815654703,117.1245938592907,123.61460154356531,117.94651282528939,0.12366199206392854,1.0140841959304723,-0.14198832210612267,0.47467716338000154,0.08796974417913665,0.8808300470581131,0.45199078815654703,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,40,4.0,11811427669.24702,1932741276.5323365,9878686392.714684,1.0845278977211095,0.8909900543868883,0.16363316363224606,0.8363668363677539,1598236594.438271,9.203641070380483,0.4541582334146688,117.11218987777083,123.61300106185755,117.95005115251057,0.12585367405214762,1.0143598792042887,-0.14192028246959643,0.4765738016937912,0.09090451947463722,0.8814564281521932,0.4541582334146688,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,41,4.1000000000000005,11806422827.01429,1955755996.7075777,9850666830.306711,1.0823840177640422,0.8892287573989914,0.1656518680859549,0.8343481319140451,1603894220.4712093,9.205175722439098,0.45631677571449847,117.09978195368109,123.61116050961331,117.95334891139483,0.12800733525773803,1.014631587955445,-0.14185310566093579,0.47844556789880066,0.09378838297993555,0.882070288975639,0.45631677571449847,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,42,4.2,11801417984.781559,1978337224.5226943,9823080760.258863,1.080282589474396,0.8875023364281558,0.1676355525305388,0.8323644474694611,1609457713.560742,9.20667957064047,0.45846628355406116,117.08737008409622,123.60908379264868,117.95640824999568,0.13012363525627643,1.0148993563385944,-0.1417867836773068,0.4802928012211534,0.09662221790076972,0.8826718282561877,0.45846628355406116,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,43,4.3,11796413142.548826,2000492652.3300776,9795920490.218748,1.0782227722528355,0.8858101008829737,0.1695848244848633,0.8304151755151367,1614927782.5990336,9.208153106035546,0.4606066316231502,117.07495426608764,123.60677476792338,117.95923134886615,0.13220322218117833,1.0151632191246125,-0.14172130840237696,0.4821158365743531,0.0994068921212333,0.8832612424142183,0.4606066316231502,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,44,4.4,11791408300.316095,2022229836.0492094,9769178464.266886,1.0762037421450072,0.8841513738466636,0.17150028092869948,0.8284997190713005,1620305155.6931384,9.209596813896503,0.46273770088920796,117.06253449672329,123.60423724346788,117.96182041821693,0.13424673292219297,1.015423211651656,-0.1416566716166363,0.4839150046766225,0.10214325846957069,0.8838387255586013,0.46273770088920796,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,45,4.5,11786403458.083363,2043556197.585304,9742847260.498058,1.074224691511948,0.8825254918062946,0.1733825084855542,0.8266174915144457,1625590579.0856266,9.211011173709766,0.464859378678905,117.05011077306767,123.60147497834677,117.96417769518843,0.13625479332045665,1.0156793697781086,-0.14159286500728374,0.48569063216581576,0.10483215497936314,0.8844044694839063,0.464859378678905,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,46,4.6000000000000005,11781398615.850632,2064479027.2050877,9716919588.645544,1.0722848287070161,0.8809318043873715,0.17523208360232786,0.8247679163976721,1630784816.0978014,9.212396659172295,0.46697155875536034,117.03768309218192,123.5984916826574,117.96630544123295,0.1382280183601609,1.015931729837347,-0.14152988017771495,0.48744304171189334,0.10747440514618266,0.8849586636689182,0.46697155875536034,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,47,4.7,11776393773.6179,2085005485.8704803,9691388287.747421,1.0703833777592249,0.8793696740936774,0.177049572725856,0.822950427274144,1635888646.0958924,9.213753738191059,0.46907414139095166,117.02525145112368,123.59529101756173,117.96820593960425,0.1401670123568966,1.0161803285942916,-0.1414677086566103,0.48917255212696176,0.11007081817979429,0.8855014952764236,0.46907414139095166,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,48,4.800000000000001,11771388931.385168,2105142607.5309248,9666246323.854244,1.0685195780628423,0.8778384760522662,0.17883553247638787,0.8211644675236122,1640902863.4806275,9.215082872885532,0.47116703343566296,117.01281584694715,123.59187659534972,117.96988149295102,0.14207236914273008,1.0164252032036838,-0.14140634190663404,0.49087947847286717,0.11262218925198267,0.8860331491542126,0.47116703343566296,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,49,4.9,11766384089.152435,2124897301.3750992,9641486787.777336,1.0666926840731383,0.8763375977635051,0.18059050981805586,0.8194094901819442,1645828276.7004664,9.216384519593158,0.47325014838092516,117.0003762767032,123.58825197953297,117.97133442101162,0.14394467224806898,1.0166663911700482,-0.14134577133276816,0.4925641321663474,0.1151292997400798,0.886553807837263,0.47325014838092516,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,50,5.0,11761379246.919704,2144276354.042723,9617102892.876982,1.0649019650081584,0.8748664388560664,0.18231504222638745,0.8176849577736125,1650665707.2887406,9.21765912887762,0.47532340641890497,116.98793273743904,123.5844206849666,117.97256705840624,0.14578449508037292,1.016903930309282,-0.14128598829027617,0.4942268210817321,0.11759291746626778,0.8870636515510484,0.47532340641890497,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,51,5.1000000000000005,11756374404.686972,2163286431.797174,9593087972.889797,1.0631467045564,0.8734244108467717,0.18400965785291135,0.8159903421470887,1655415988.924916,9.218907145539843,0.4773867344972008,116.97548522619861,123.58038617799829,117.97358175252461,0.14759240109976401,1.017137858711838,-0.1412269840923268,0.4958678496511939,0.1200137969327305,0.8875628582159372,0.4773867344972008,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,52,5.2,11751369562.454239,2181934082.659606,9569435479.794634,1.0614262005902786,0.8720109369051898,0.18567487568690805,0.814325124313092,1660079966.5201085,9.220129008631593,0.4794400663689094,116.96303374002234,123.57615187664305,117.97438086150531,0.14936894399159104,1.0173682147074423,-0.1411687500172678,0.49748751896254984,0.12239267955272579,0.8880516034526373,0.4794400663689094,response_organization_visualization_not_model_promotion
31,random failed/low-activation outcome track 04/12: NGC1003,NGC1003,NGC1003,random,failed_low_activation_initialization,53,5.300000000000001,11746364720.221508,2200225738.505244,9546138981.716265,1.0597397648852673,0.8706254516228975,0.18731120571435422,0.8126887942856458,1664658495.3269506,9.221325151471603,0.4814833426380283,116.95057827594715,123.57172115078185,117.9749667523044,0.1511146678359997,1.0175950368313065,-0.14111127731558293,0.49908612685461007,0.12473029387764889,0.8885300605886414,0.4814833426380283,response_organization_visualization_not_model_promotion
