mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,target_construction,endpoint_delta,endpoint_stretch,repeat
0.007644602953279909,0.0874334201165659,0.9598871356337143,0.9105402534245419,0.9599059005302376,0.9648935083653034,-1.18456037947388,1.6335073333276566,0.4426450878791917,0.33244944048420816,87,hard_endpoint_expansion,0.35,0.0,7
0.010790686939951437,0.10387823130931445,0.9519565222008781,0.9036706436834469,0.9504792233305688,0.9561853100986505,-1.5030430878615972,1.8060922884110506,0.49661446202810433,0.35062133318439137,87,hard_endpoint_expansion,0.5,0.0,0
0.00967371841038738,0.09835506296265271,0.9564557079573663,0.9180240056274467,0.9547583563706403,0.9610867550917901,-1.3690966897702441,1.6209858445614147,0.48838196651057586,0.3505932053063911,87,hard_endpoint_expansion,0.5,0.0,1
0.009499490656719616,0.09746533053716903,0.954146795185781,0.9148639848839579,0.9517672601512418,0.9615084148048888,-1.3458154948947922,1.6476051720177154,0.48634420182043914,0.34986098023015916,87,hard_endpoint_expansion,0.5,0.0,2
0.00916607822720855,0.09573963770146902,0.9615480926472657,0.920151614210021,0.9602326563287097,0.9635920380818185,-1.3657816467630834,1.649835911625158,0.48215913491520934,0.35108258803744424,87,hard_endpoint_expansion,0.5,0.0,3
0.010022927069666744,0.10011456971723319,0.9569302671040953,0.9171523817265835,0.9501143514715477,0.9591005538926618,-1.2917874297390237,1.7764279759910622,0.4908847890562409,0.34934093346168754,87,hard_endpoint_expansion,0.5,0.0,4
0.009720941944761209,0.09859483731292024,0.9566747352558567,0.9126253933562154,0.9544435661506221,0.9612491930328876,-1.422917681194736,1.6282552900824343,0.4897265665908654,0.3526281835059703,87,hard_endpoint_expansion,0.5,0.0,5
0.01203921565863225,0.10972335967619772,0.9479684001408674,0.9087813729927767,0.9460921595287926,0.9506799532721061,-1.3951485984206635,1.6385263674077033,0.4875926954581081,0.3500410511698933,87,hard_endpoint_expansion,0.5,0.0,6
0.008988584303301699,0.09480814470973313,0.9620956608934914,0.9144599501850943,0.9586238117075994,0.9634946878956262,-1.3716526091505812,1.75910396398089,0.49332088748281444,0.3493610719612032,87,hard_endpoint_expansion,0.5,0.0,7
0.01261965198090572,0.11233722437778904,0.9513633232674669,0.9025950101065977,0.9480886223553803,0.9528053628269122,-1.655301556964373,1.8839578289534444,0.5325393701612529,0.3612727014220848,87,hard_endpoint_expansion,0.6,0.0,0
0.011282216867168762,0.10621778037206747,0.9552875623654181,0.9182621239219562,0.9503255655412918,0.9581468903773309,-1.5033501510348708,1.7024451833344896,0.5221706888295202,0.3603485545322836,87,hard_endpoint_expansion,0.6,0.0,1
0.01099122578918417,0.10483904706350669,0.9537726235508601,0.9153915518128602,0.9494715260418923,0.9588904602136573,-1.4808800548150778,1.7343091486826694,0.5207004974998191,0.3594333115530314,87,hard_endpoint_expansion,0.6,0.0,2
0.010965782288435085,0.1047176312205117,0.9609731459887286,0.918861540485277,0.956858665088388,0.9598738070517888,-1.4996875869635462,1.739802258087143,0.5152568422441861,0.36101831973163767,87,hard_endpoint_expansion,0.6,0.0,3
0.011256560811390778,0.10609694063162603,0.9570215284784662,0.9175878302873532,0.9522774297940438,0.9571064747834299,-1.408313442405846,1.8389123271702197,0.5247314155476648,0.35769793078003576,87,hard_endpoint_expansion,0.6,0.0,4
0.011388664394694614,0.10671768548227896,0.9568207534548501,0.9122771980849371,0.9529795162437262,0.9583465908351795,-1.5645609971435546,1.6715673535469315,0.5231176702629106,0.3629701896859912,87,hard_endpoint_expansion,0.6,0.0,5
0.013822589466108615,0.11756950908338698,0.9485250945245303,0.9093995560487438,0.9428575439384735,0.9475735398688383,-1.52571383737143,1.7235048032145954,0.5212668060924656,0.36019689065678356,87,hard_endpoint_expansion,0.6,0.0,6
0.010319208893414897,0.10158350699505751,0.9636105997080494,0.9164118539786734,0.9572864466224175,0.9617600845830222,-1.4963807622683807,1.8428350510830451,0.5272442456527637,0.3597666210624487,87,hard_endpoint_expansion,0.6,0.0,7
0.015724612139148934,0.12539781552781903,0.9502590606375784,0.9010448363519418,0.9394981148452883,0.9471710064203004,-1.8836892606185296,2.000756139767056,0.5865463718506285,0.3750884645444731,87,hard_endpoint_expansion,0.75,0.0,0
0.013970364961661517,0.11819629842622617,0.9556434817254649,0.9182035316246961,0.9480968596022338,0.9535275399566578,-1.7047303429318121,1.8246341914941033,0.5730803057863557,0.37346242182978595,87,hard_endpoint_expansion,0.75,0.0,1
0.013822671299133974,0.11756985710263483,0.9533071905415683,0.9156100028230846,0.9447965042393869,0.9536408385190883,-1.6834768946955057,1.8643651136801007,0.5725187554963006,0.37293508825272004,87,hard_endpoint_expansion,0.75,0.0,2
0.013964402956184447,0.11817107495569483,0.9585182150181499,0.9162690498355778,0.9543585568262395,0.9537942686275734,-1.7005464972642395,1.8747517777801213,0.5654834463421561,0.3737363969063966,87,hard_endpoint_expansion,0.75,0.0,3
0.013773818099391096,0.11736191076917202,0.9571584205400226,0.917949193828776,0.9525900287089654,0.9523837970552947,-1.5831024614060776,1.9326388539389399,0.5756240934551322,0.36972941286142197,87,hard_endpoint_expansion,0.75,0.0,4
0.014255527313651335,0.11939651298782278,0.9561089147347567,0.9113920470138916,0.9512062180262614,0.9529668215719331,-1.7770259710667824,1.7807827356238246,0.5734803778954716,0.37582688172233936,87,hard_endpoint_expansion,0.75,0.0,5
0.016589998467224518,0.12880216794458282,0.948032283102927,0.909928633386638,0.9426391502069001,0.9429689891302949,-1.7215616957975826,1.8509724569249346,0.5719423998254928,0.37282383638783295,87,hard_endpoint_expansion,0.75,0.0,6
0.012722155146729627,0.11279253143151645,0.9631269144238833,0.9186557399101793,0.955099400542755,0.958450349134688,-1.683472991945081,1.9684316817362784,0.578289425817262,0.3737366993164659,87,hard_endpoint_expansion,0.75,0.0,7
0.021291126414359252,0.14591479162291687,0.9482421842639803,0.8987001905061175,0.9393224464489281,0.9369095722760641,-2.2643354333754604,2.1954199911230714,0.676792166215039,0.3929646929317812,87,hard_endpoint_expansion,1.0,0.0,0
0.019072820477982193,0.13810438254444424,0.9544844622709536,0.9175010088310267,0.9408020708940322,0.9442995674704224,-2.0403639960933817,2.0282825384267924,0.6583778615704883,0.3913394371641898,87,hard_endpoint_expansion,1.0,0.0,1
0.018706167596542984,0.1367704924190265,0.9526227302337862,0.915122302811442,0.9377498801427119,0.9451897490910367,-2.0211382944962173,2.081125055342484,0.659440822626483,0.3910532027595404,87,hard_endpoint_expansion,1.0,0.0,2
0.018802946099990062,0.13712383490841432,0.9544570838586425,0.9112292534279114,0.9450258016038204,0.9443751291365341,-2.0353113477653957,2.099667643935084,0.6503417791161769,0.38963304354835365,87,hard_endpoint_expansion,1.0,0.0,3
0.018886398468042284,0.13742779365194757,0.9563553204455583,0.9180896234429085,0.9438616022533982,0.9419285962203617,-1.8744174930731325,2.0888497318868184,0.6606884296983394,0.3865098109587612,87,hard_endpoint_expansion,1.0,0.0,4
0.01854991704295143,0.13619808017351578,0.9557803737870212,0.9094600239136461,0.9387236584114192,0.9453084552260465,-2.1311342609388335,1.9628083724186443,0.6579662600428371,0.3910149632735806,87,hard_endpoint_expansion,1.0,0.0,5
0.021276895710250376,0.14586601972443883,0.9458602623928983,0.9101774192602429,0.9297859160797353,0.934367089863061,-2.0479747931745016,2.0634185464421675,0.6567273155868,0.38903228689192193,87,hard_endpoint_expansion,1.0,0.0,6
0.016651055451804408,0.12903896873349696,0.9630721575992607,0.9211872943622859,0.9531786584540382,0.9520738685815677,-1.9952933747395807,2.177759399491667,0.6636821960763342,0.3893257935868538,87,hard_endpoint_expansion,1.0,0.0,7
0.008497292702212467,0.09218076101992469,0.9587646207289515,0.9083878804813343,0.9584933975975584,0.9598981323343161,-0.8670031624698615,1.4915072893483852,0.3494770476239312,0.2935703383319189,87,feature_spread_endpoint_expansion,0.05,0.25,0
0.007979477208532357,0.08932791953545295,0.9580436558714209,0.9119293205456839,0.9579943610143207,0.9627700560737458,-0.8107209148316558,1.512144943980424,0.35100064264735953,0.2925874231500786,87,feature_spread_endpoint_expansion,0.05,0.25,1
