shuffle_id,shuffle_auc_like,shuffle_spearman_vs_target,observed_auc_like,observed_spearman_vs_org_score,observed_minus_shuffle_auc,observed_minus_shuffle_spearman
31,0.4977324263038549,0.24230994723470786,0.949546485260771,0.919562243502052,0.4518140589569161,0.6772522962673441
32,0.5005668934240363,0.19003322259136213,0.949546485260771,0.919562243502052,0.44897959183673475,0.7295290209106898
33,0.5827664399092971,0.20156341606410005,0.949546485260771,0.919562243502052,0.3667800453514739,0.7179988274379518
34,0.4824263038548753,0.2277310924369748,0.949546485260771,0.919562243502052,0.46712018140589573,0.6918311510650772
35,0.5470521541950113,0.1905608755129959,0.949546485260771,0.919562243502052,0.4024943310657597,0.7290013679890561
36,0.4387755102040816,0.3325972249364862,0.949546485260771,0.919562243502052,0.5107709750566893,0.5869650185655657
37,0.4178004535147392,0.18411178424858315,0.949546485260771,0.919562243502052,0.5317460317460319,0.7354504592534687
38,0.5402494331065759,0.08526480359585695,0.949546485260771,0.919562243502052,0.4092970521541951,0.834297439906195
39,0.4098639455782313,0.23322259136212622,0.949546485260771,0.919562243502052,0.5396825396825398,0.6863396521399258
40,0.5170068027210885,0.1852061754934532,0.949546485260771,0.919562243502052,0.43253968253968256,0.7343560680085988
41,0.47619047619047616,0.19935509087355874,0.949546485260771,0.919562243502052,0.47335600907029485,0.7202071526284932
42,0.4365079365079365,0.1496189173343756,0.949546485260771,0.919562243502052,0.5130385487528345,0.7699433261676764
43,0.4909297052154195,0.19693179597420366,0.949546485260771,0.919562243502052,0.4586167800453515,0.7226304475278483
44,0.44954648526077096,0.09833887043189368,0.949546485260771,0.919562243502052,0.5,0.8212233730701582
45,0.4189342403628118,0.08290013679890561,0.949546485260771,0.919562243502052,0.5306122448979592,0.8366621067031463
46,0.47505668934240364,0.1228845026382646,0.949546485260771,0.919562243502052,0.4744897959183674,0.7966777408637874
47,0.48356009070294786,0.20418213797146767,0.949546485260771,0.919562243502052,0.46598639455782315,0.7153801055305843
48,0.49206349206349204,0.13689661911276138,0.949546485260771,0.919562243502052,0.457482993197279,0.7826656243892905
49,0.48356009070294786,0.18931014266171586,0.949546485260771,0.919562243502052,0.46598639455782315,0.7302521008403361
50,0.5266439909297053,0.15434825092827828,0.949546485260771,0.919562243502052,0.42290249433106575,0.7652139925737736
51,0.49206349206349204,0.15561852648035956,0.949546485260771,0.919562243502052,0.457482993197279,0.7639437170216924
52,0.5011337868480725,0.24297439906195037,0.949546485260771,0.919562243502052,0.4484126984126985,0.6765878444401016
53,0.4931972789115646,0.25899941371897595,0.949546485260771,0.919562243502052,0.4563492063492064,0.660562829783076
54,0.477891156462585,0.31666992378346687,0.949546485260771,0.919562243502052,0.471655328798186,0.6028923197185851
55,0.518140589569161,0.1503419972640219,0.949546485260771,0.919562243502052,0.43140589569161003,0.7692202462380301
56,0.5034013605442177,0.15788547977330467,0.949546485260771,0.919562243502052,0.4461451247165533,0.7616767637287473
57,0.4801587301587302,0.10947820988860661,0.949546485260771,0.919562243502052,0.46938775510204084,0.8100840336134454
58,0.358843537414966,0.12818057455540355,0.949546485260771,0.919562243502052,0.590702947845805,0.7913816689466484
59,0.5124716553287982,0.17256204807504397,0.949546485260771,0.919562243502052,0.4370748299319728,0.747000195427008
60,0.4212018140589569,0.15526675786593708,0.949546485260771,0.919562243502052,0.528344671201814,0.7642954856361148
61,0.5221088435374149,0.0957201485245261,0.949546485260771,0.919562243502052,0.4274376417233561,0.8238420949775258
62,0.4574829931972789,0.2296658198162986,0.949546485260771,0.919562243502052,0.4920634920634921,0.6898964236857533
63,0.5402494331065759,0.027633378932968536,0.949546485260771,0.919562243502052,0.4092970521541951,0.8919288645690834
64,0.5272108843537415,0.24959937463357434,0.949546485260771,0.919562243502052,0.4223356009070295,0.6699628688684776
65,0.41836734693877553,0.1961891733437561,0.949546485260771,0.919562243502052,0.5311791383219955,0.7233730701582959
66,0.6281179138321995,0.10383036935704515,0.949546485260771,0.919562243502052,0.3214285714285715,0.8157318741450068
67,0.5952380952380952,0.1079343365253078,0.949546485260771,0.919562243502052,0.3543083900226758,0.8116279069767441
68,0.45918367346938777,0.10273597811217511,0.949546485260771,0.919562243502052,0.49036281179138325,0.8168262653898768
69,0.5413832199546486,0.1808481532147743,0.949546485260771,0.919562243502052,0.40816326530612246,0.7387140902872776
