bootstrap_id,coef_f_star,coef_rhi_extent_organization_score,coef_fstar_x_rhi_extent_organization,organization_auc_like,spearman_vs_organization_score,organization_score_rmse,clean_spearman_vs_A_inferred,clean_spearman_vs_signed_residual,clean_spearman_vs_abs_residual
30,-0.05446177813235927,0.024077878699875137,0.15217014982999152,0.9545454545454546,0.9107135874877811,0.06643200516740143,0.12653166144443803,-0.15859066518173537,-0.1716310620633796
31,-0.07392646764070336,0.032221253682441574,0.17223243628844928,0.9625850340136054,0.9284712208347514,0.062410529722329335,0.14930650671454854,-0.18250480915257672,-0.17223853396780398
32,-0.0006225520771924318,0.04873853998785654,0.08524215323065437,0.9602076124567474,0.9217948091304561,0.06039436507740105,0.1308006108858833,-0.16249873443353244,-0.1657385845904627
33,-0.04616749543117998,0.029886739966292885,0.14874363588769643,0.9498327759197325,0.918706182593306,0.06108527441933827,0.12499483964551773,-0.1581046876581958,-0.16741925685937029
34,-0.09362689947007119,0.020419636775426214,0.1944349886843984,0.9505555555555556,0.9058887362812733,0.06877503948523134,0.13609410819327544,-0.16616381492355978,-0.17580236914042727
35,-0.07833798938662574,0.02509435111486712,0.17583520809769884,0.9327272727272727,0.9360553795611876,0.06402894774021056,0.14693723977454642,-0.17780702642502785,-0.17869798521818367
36,-0.03974125320226929,0.022180840966970504,0.15182258799617993,0.9664053751399776,0.8851526100853804,0.06370107356073348,0.11417305281145394,-0.14919509972663766,-0.15881340488002432
37,-0.05159100802050874,0.018499529903852133,0.16788901679838117,0.9800664451827242,0.9428906593675156,0.06237262505124784,0.10986141387559421,-0.14344436569808647,-0.16191151159258885
38,-0.008860241874871503,0.027241486151783675,0.12192311822162462,0.9617516629711752,0.912197696924671,0.062147596857952236,0.09297771883467813,-0.13234787891060038,-0.1430798825554318
39,-0.045854287072364115,0.029805339690994585,0.1439173906407312,0.9651428571428572,0.922343004614061,0.0666546753909131,0.13376753074768774,-0.16545509770173128,-0.17683507137794874
40,-0.07802615276964217,0.014109047846148188,0.1937119132972817,0.9504036908881199,0.9258093217438915,0.0665928521985085,0.12175043807001931,-0.15223245924875975,-0.17521514629948365
41,-0.17071032291865704,0.0059869929797699405,0.27430211579507074,0.9568106312292359,0.9160591971244291,0.06391102847168638,0.16337269512411073,-0.19279133340083024,-0.176592082616179
42,-0.0779164131624906,0.01169142906012756,0.17588741930418664,0.931899641577061,0.909966462311656,0.05520584202470153,0.12646762720281635,-0.15684924572238534,-0.17578212007694644
43,0.07826795389470201,0.08115344400235561,0.014525434704473697,0.8984962406015038,0.8924111911632701,0.058315541663777816,0.14154840766220858,-0.17794967070021828,-0.1490338616697322
44,-0.01825490093211564,0.03421411402215792,0.11829008056104903,0.9357575757575758,0.9092926626582587,0.057834436030929776,0.12350070734101187,-0.15834767641996558,-0.1602510883871621
45,-0.028058931594739073,0.044669964490528055,0.12688598194736428,0.9733333333333334,0.9267059732285159,0.06168295301293951,0.1390610280550799,-0.17061860888933889,-0.17302824744355574
46,-0.08318018423667821,0.005511271593002368,0.18679014337210775,0.9366666666666666,0.9065287122516039,0.0627138527785914,0.12091799292893747,-0.15105801356687254,-0.1767338260605447
47,0.09042125653290112,0.08818194976471377,0.0012996166471259986,0.9593939393939394,0.9338957699940368,0.06109346586377511,0.12926378908696298,-0.16421990482940166,-0.1498228206945429
48,0.06806546550957221,0.0859691847142555,0.0221992851858134,0.961768219832736,0.9315057779168215,0.05555946205827584,0.14589134716139232,-0.18177584286726736,-0.15298167459754988
