galaxy_name,A_inferred,A_pred_m9,D_maturity,R_reservoir,DR_interaction,J_lambda,J_lambda_z,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,Vflat,M_baryon_Msun,m59_backbone_context_available,m59_organization_label_score,m59_rhi_extent_organization_score,A_rank_m70,A_bounded_m70,model_family,feature_template,uses_angular_momentum,uses_m59_backbone,ugc07125_status,norm,object_name,taxonomy_stage,organization_label_score,rhi_extent_organization_score,quality_quarantined,measurement_limited,clean_scalar_sample,candidate_tier,missing_label_count,target_role,acquisition_priority_rank,observation_class,branch_reason,clean_rotation_response_usable,direct_settling_measurement_available
NGC2841,0.964313532706068,0.007322919699839,0.776495578955199,0.6116130247642415,0.3015807691943488,-2.478695482400722,-0.4155385221543461,0.8785671753318778,0.1214328246681222,9.109249674051874,12.395604395604394,3.64,284.8,107061250000.0,False,,,0.6975004045291824,0.6975004045291824,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC2841,NGC2841,mature_or_control,0.5542143616632161,0.4324161798635315,False,False,True,,,,,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC2903,0.2825750328364455,0.8221768717114722,0.9078317780686328,0.2158573627507286,0.711869604633433,-2.572387952571614,-1.177436317392182,0.9234267464940172,0.0765732535059827,9.113763500466842,5.90557939914163,2.33,184.6,44325660000.0,False,,,0.2189477809482048,0.2189477809482048,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC2903,NGC2903,mature_or_control,0.7517342285708569,0.7585741048612614,False,False,True,,,,,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC2998,0.0690797721571615,0.5744879508101016,0.5983353885827201,0.4158194652169121,0.3495358872819001,-2.494723479300309,-0.5458765896383241,0.7075245007001539,0.292475499299846,8.644960269237012,7.029032258064516,6.2,209.9,106640830000.0,False,,,0.1342761299462036,0.1342761299462036,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC2998,NGC2998,mature_or_control,0.6352352489850656,0.7021146839039052,False,False,True,preferred_50_pool,9.0,,42.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3109,0.8901519051983414,0.0247194320162151,0.0911738142940418,0.660018246246877,0.0309974332800499,-2.213630162625713,1.7399461433928014,0.1326205548187747,0.8673794451812253,7.679731828746212,3.846153846153846,1.56,66.2,731410000.0,False,,,0.9111308568173764,0.9111308568173764,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3109,NGC3109,juvenile_forming,0.573996418462721,0.862071081439301,False,False,True,minimum_25_pool,9.0,,10.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3198,0.0,0.0180276174541209,0.478513086005302,0.7611529653548007,0.1142914316312896,-2.5372635559548926,-0.8918082376486571,0.569708176180754,0.430291823819246,8.734238971292958,11.35668789808917,3.14,150.1,33595270000.0,False,,,0.0142694353899125,0.0142694353899125,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3198,NGC3198,true_falsifier_candidate,0.4208310953437688,0.4846272035899667,False,False,True,,,,,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3521,0.6527008484393424,0.4070468527669306,0.8745682561345457,0.3345066664631731,0.5820193441804683,-2.5194216491564063,-0.7467196363148338,0.8847623064308691,0.1152376935691309,9.122121223899192,7.854166666666668,2.4,213.7,47942820000.0,False,,,0.6000540695031409,0.6000540695031409,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3521,NGC3521,mature_or_control,0.5715241143402278,0.660647335673261,False,False,True,,,,,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3741,0.2429440357042695,2.9270354848709123e-08,0.1765987237693835,0.9942148062519468,0.0010216578326648,-2.5527881512141097,-1.0180526933491327,0.0546746856205576,0.9453253143794424,9.008101881468578,21.0,0.2,50.1,256060000.0,False,,,0.2102570524038769,0.2102570524038769,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3741,NGC3741,juvenile_forming,0.3888942494661135,0.0,False,False,True,minimum_25_pool,9.0,,11.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3893,0.2476431899354932,0.2161003833140365,0.7925032073996647,0.4565672896377805,0.430672165967952,-2.5540873672354523,-1.0286177880722525,0.7914094783066582,0.2085905216933418,9.01657639694944,8.756302521008404,2.38,174.0,36975170000.0,False,,,0.2369377437502966,0.2369377437502966,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3893,NGC3893,mature_or_control,0.5836879317079248,0.6153102593941213,False,False,True,preferred_50_pool,9.0,,43.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3917,0.259838599793253,0.8303409283853308,0.7045506201854705,0.2524817415829025,0.5266644525677288,-2.420843669952644,0.0549066296738442,0.8139148839043014,0.1860851160956985,8.492050627850366,5.353612167300381,2.63,135.9,13494040000.0,False,,,0.3386901518452316,0.3386901518452316,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3917,NGC3917,mature_or_control,0.8069742744447722,0.7863133642789375,False,False,True,preferred_50_pool,9.0,,44.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3953,0.4161487635736917,0.9500077663311292,0.8454315603351229,0.1243259757195744,0.7403224566923365,-2.4461527598780104,-0.150904357894754,0.9493857994389996,0.0506142005610004,8.69487492171657,3.554192229038855,4.89,220.8,74417060000.0,False,,,0.5386859143641951,0.5386859143641951,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3953,NGC3953,mature_or_control,0.8301717168479605,0.876743689829732,False,False,True,preferred_50_pool,9.0,,45.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3972,0.51099137888034,0.8738410668508108,0.7675570177879171,0.2181022352026435,0.6001511165628972,-2.3788929388064965,0.3960457789626518,0.8163351199847119,0.1836648800152881,8.468951352707107,4.610091743119266,2.18,132.7,8791120000.0,False,,,0.5712992444473212,0.5712992444473212,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3972,NGC3972,mature_or_control,0.8184681126377343,0.8236791801080777,False,False,True,preferred_50_pool,9.0,,46.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC3992,0.2500951219965033,0.6947840136246816,0.8055659068527607,0.299668996120952,0.5641627802369296,-2.535250141705482,-0.8754353543771586,0.8371238370913012,0.1628761629086988,8.94293281504035,6.602822580645161,4.96,241.0,135542670000.0,False,,,0.2253656632759956,0.2253656632759956,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC3992,NGC3992,mature_or_control,0.7116682643074945,0.7235339641188216,False,False,True,preferred_50_pool,9.0,,47.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC4088,0.0,0.2412670832203849,0.8568692266876206,0.4185092614789923,0.4982615194425092,-2.6634509137836115,-1.917951208809833,0.8305981179736397,0.1694018820263602,9.188702834895674,8.624031007751938,2.58,171.7,64583580000.0,False,,,-0.1907640097026204,0.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC4088,NGC4088,true_falsifier_candidate,0.5662844556272452,0.6219575993232513,False,False,True,preferred_50_pool,9.0,,48.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC4100,0.0783408856113494,0.2848258860629317,0.8592293852707181,0.3700632209205021,0.5412601914478931,-2.5981481751722884,-1.3869158707489384,0.8780208298223735,0.1219791701776264,9.066150971722134,8.4,2.15,158.2,33822660000.0,False,,,0.0450883605365714,0.0450883605365714,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC4100,NGC4100,mature_or_control,0.6030037652935188,0.6332163369495851,False,False,True,preferred_50_pool,9.0,,49.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC4157,0.0706282885139775,0.0521524361099908,0.8618338795399398,0.5282151701027712,0.4066001502584193,-2.6520011866084507,-1.8248431727540184,0.828384620186985,0.171615379813015,9.275328302176332,10.383620689655173,2.32,184.7,63750580000.0,False,,,-0.0413402540150558,0.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC4157,NGC4157,mature_or_control,0.5868819063328693,0.5335289538542789,False,False,True,preferred_50_pool,9.0,,50.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC4183,0.1476401625413454,0.6489051595116168,0.4433503380959585,0.4689754783388248,0.2354299012157266,-2.434185691518948,-0.053589355081828,0.5374936272438549,0.4625063727561451,8.314157556671503,5.759856630824372,2.79,110.6,10081980000.0,False,,,0.0932315825785428,0.0932315825785428,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC4183,NGC4183,mature_or_control,0.7349289448337464,0.7658974411758652,False,False,True,reserve_pool,9.0,,51.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC4217,0.2136542116052663,0.846428492040879,0.8843277752618675,0.2052604811383928,0.702810230627572,-2.538046169469077,-0.8981723724600551,0.9260163936134734,0.0739836063865266,8.928420739686862,5.680272108843537,2.94,181.3,46056960000.0,False,,,0.1814942169267004,0.1814942169267004,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC4217,NGC4217,mature_or_control,0.7797598914259906,0.7698969824049594,False,False,True,reserve_pool,9.0,,52.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC4559,0.0,0.0610394006103229,0.5530215247354779,0.7077185583679262,0.161637928503253,-2.5748460338336674,-1.197425188329814,0.5562627137766096,0.4437372862233905,8.798358135563797,10.076190476190476,2.1,121.2,17417130000.0,False,,,-0.136178606534173,0.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC4559,NGC4559,true_falsifier_candidate,0.5270304267120406,0.5489789406509253,False,False,True,reserve_pool,9.0,,53.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC5005,1.0,0.8333478336336348,0.7191202035972153,0.0655109851403112,0.6720099306252605,-2.272290958824659,1.262922416626358,0.9813051270337704,0.0186948729662297,8.210295606818034,1.1015873015873017,9.45,262.2,91062400000.0,False,,,1.2084527437514083,1.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC5005,NGC5005,mature_or_control,0.7951818389787029,1.0,False,False,True,reserve_pool,9.0,,54.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC5033,0.1270968444785353,0.8097548592647995,0.6887961575839577,0.2875972003016788,0.4907003110842574,-2.477880138756351,-0.4089082291983129,0.7859578061088343,0.2140421938911657,8.62348914999931,5.722868217054264,5.16,194.2,70302120000.0,False,,,0.1683978318853621,0.1683978318853621,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC5033,NGC5033,mature_or_control,0.7917010105796597,0.7677563037057924,False,False,True,reserve_pool,9.0,,55.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
NGC5055,0.0,0.0300682677679273,0.7936096617673731,0.5615688770348699,0.3479431752046464,-2.6755568529535174,-2.016395495165089,0.830635017923709,0.1693649820762909,9.15554991251676,10.95625,3.2,179.0,92051260000.0,False,,,-0.3348886714667484,0.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,NGC5055,NGC5055,true_falsifier_candidate,0.4531865217387902,0.5047513162093171,False,False,True,,,,,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
