model_family,feature_template,uses_angular_momentum,uses_m59_backbone,endpoint_delta,endpoint_stretch,ridge_alpha,mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,pairwise_rank_loss,objective,n_features
rank_weighted_corrected,physical_state,True,False,0.15,0.0,0.1,0.0051998274168664985,0.07210982885062547,0.9742425498222657,0.9465420791191568,0.9745084866616657,0.9755916420889404,-0.6138861394544322,1.3316069442368546,0.3531554333315128,0.302965775015013,0.5314330283384959,-0.7160533476481455,12
rank_weighted_corrected,full_corrected_state,True,False,0.35,1.0,0.01,0.006095104701766051,0.07807115153349573,0.9815708381842534,0.9510988571231094,0.9789200039513439,0.9768731516505941,-0.974083876360091,1.6104228415029858,0.4805720399500935,0.3496655376071858,0.48517807793328566,-0.715708718585121,13
rank_weighted_corrected,full_corrected_state,True,False,0.35,1.0,0.1,0.006099069719592448,0.0780965410219457,0.9794809527111584,0.9508768869322194,0.9769032188142059,0.9765911980042061,-0.9708929364106678,1.5915989905084902,0.4761803672980884,0.3493420806876426,0.48590198904970583,-0.7138852091110477,13
censored_latent_corrected,full_corrected_state,True,False,0.6,0.5,0.01,0.0089044784318411,0.09436354397669208,0.9813791892980744,0.9497384357721615,0.975939389925388,0.971047892075359,-1.16410053817408,1.7626438952074923,0.5402584716151198,0.3647493725623632,0.4663786759767687,-0.7138087669266712,13
censored_latent_corrected,full_corrected_state,True,False,0.6,0.5,0.1,0.008743704224808736,0.09350777627988346,0.979608718635278,0.949877410122834,0.974820224895852,0.9713227841100598,-1.1605149166390047,1.7403298450942357,0.5349154186058857,0.3645442405483352,0.4670921704372512,-0.7131596345601028,13
censored_latent_corrected,physical_state,True,False,0.6,0.0,0.1,0.008396417665595944,0.09163196857863495,0.9742334236848286,0.9440699244428407,0.9724479571021644,0.9691387925694928,-1.1057478919927468,1.7117727020322346,0.5068144279890011,0.3550600771594759,0.4781060897438082,-0.7124664415534693,12
rank_weighted_corrected,physical_state,True,False,0.35,0.5,0.1,0.005905981730911676,0.07685038536605836,0.9743703157463849,0.944995384982983,0.974391509207282,0.9743761777304294,-0.9163721941154492,1.5633311938891878,0.4477395002410742,0.33732646109056047,0.4974673927055781,-0.7124403612372013,12
rank_weighted_corrected,physical_state,True,False,0.35,0.5,0.01,0.005959393027744587,0.07719710504769325,0.9746897305566833,0.9455654894403784,0.9748309273891526,0.97459128377615,-0.9152132298076694,1.5793249170253267,0.45272237101837226,0.33841036394229407,0.49646265436073533,-0.7123952862946654,12
censored_latent_corrected,physical_state,True,False,0.6,0.0,0.01,0.008533391598198554,0.09237635843763574,0.9738775043247818,0.9443492415571495,0.9693715143414129,0.9692032003217932,-1.104614570211108,1.7307592102269016,0.512745080987385,0.35595042684427175,0.4770817122368372,-0.7114195202384288,12
censored_latent_corrected,full_corrected_state,True,False,0.35,1.0,1.0,0.007634977493657624,0.087378358268267,0.9677629922419276,0.9401910071406024,0.9672981035767813,0.9686078539111468,-0.9368732846010751,1.4958207721264238,0.4542111666282052,0.3471940097923305,0.492340350847379,-0.7092201851373714,13
