object_name,canonical_main_id,route_family,query_url,route_role,measurement_claim_status
UGC04278,IC 2233,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=123.49545416666668%2045.742149999999995&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC04499,Z 263-63,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=Z%20263-63,object identity and bibliography gateway,route_only_not_measurement
UGC04499,Z 263-63,NED,https://ned.ipac.caltech.edu/byname?objname=Z%20263-63,object identity and literature/source gateway,route_only_not_measurement
UGC04499,Z 263-63,ADS,https://ui.adsabs.harvard.edu/search/q=UGC04499%20OR%20Z%20263-63,literature query route,route_only_not_measurement
UGC04499,Z 263-63,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=129.42287083333332%2051.65238333333334&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC05005,UGC  5005,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=UGC%20%205005,object identity and bibliography gateway,route_only_not_measurement
UGC05005,UGC  5005,NED,https://ned.ipac.caltech.edu/byname?objname=UGC%20%205005,object identity and literature/source gateway,route_only_not_measurement
UGC05005,UGC  5005,ADS,https://ui.adsabs.harvard.edu/search/q=UGC05005%20OR%20UGC%20%205005,literature query route,route_only_not_measurement
UGC05005,UGC  5005,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=141.12249883333334%2022.27472813888889&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC05721,NGC  3274,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%203274,object identity and bibliography gateway,route_only_not_measurement
UGC05721,NGC  3274,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%203274,object identity and literature/source gateway,route_only_not_measurement
UGC05721,NGC  3274,ADS,https://ui.adsabs.harvard.edu/search/q=UGC05721%20OR%20NGC%20%203274,literature query route,route_only_not_measurement
UGC05721,NGC  3274,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=158.07177242411%2027.66865700729&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC06446,Z 268-36,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=Z%20268-36,object identity and bibliography gateway,route_only_not_measurement
UGC06446,Z 268-36,NED,https://ned.ipac.caltech.edu/byname?objname=Z%20268-36,object identity and literature/source gateway,route_only_not_measurement
UGC06446,Z 268-36,ADS,https://ui.adsabs.harvard.edu/search/q=UGC06446%20OR%20Z%20268-36,literature query route,route_only_not_measurement
UGC06446,Z 268-36,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=171.66860698457%2053.746670149799996&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC06667,Z 268-71,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=Z%20268-71,object identity and bibliography gateway,route_only_not_measurement
UGC06667,Z 268-71,NED,https://ned.ipac.caltech.edu/byname?objname=Z%20268-71,object identity and literature/source gateway,route_only_not_measurement
UGC06667,Z 268-71,ADS,https://ui.adsabs.harvard.edu/search/q=UGC06667%20OR%20Z%20268-71,literature query route,route_only_not_measurement
UGC06667,Z 268-71,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=175.6096208333333%2051.59800555555556&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC07399,NGC  4288,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%204288,object identity and bibliography gateway,route_only_not_measurement
UGC07399,NGC  4288,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%204288,object identity and literature/source gateway,route_only_not_measurement
UGC07399,NGC  4288,ADS,https://ui.adsabs.harvard.edu/search/q=UGC07399%20OR%20NGC%20%204288,literature query route,route_only_not_measurement
UGC07399,NGC  4288,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=185.15882916666664%2046.291019444444444&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC07524,NGC  4395,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%204395,object identity and bibliography gateway,route_only_not_measurement
UGC07524,NGC  4395,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%204395,object identity and literature/source gateway,route_only_not_measurement
UGC07524,NGC  4395,ADS,https://ui.adsabs.harvard.edu/search/q=UGC07524%20OR%20NGC%20%204395,literature query route,route_only_not_measurement
UGC07524,NGC  4395,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=186.45359712911997%2033.54686115781999&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC07603,NGC  4455,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%204455,object identity and bibliography gateway,route_only_not_measurement
UGC07603,NGC  4455,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%204455,object identity and literature/source gateway,route_only_not_measurement
UGC07603,NGC  4455,ADS,https://ui.adsabs.harvard.edu/search/q=UGC07603%20OR%20NGC%20%204455,literature query route,route_only_not_measurement
UGC07603,NGC  4455,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=187.18385083351998%2022.82042726653&-c.rs=5,coordinate catalog query route,route_only_not_measurement
