object_name,taxonomy_stage,radial_footprint_score,HI_extent_footprint_score,surface_density_footprint_score,concentration_footprint_score,composition_footprint_score,F_occ,F_crit,A_footprint_candidate,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,radial_scale_outside_footprint,measurement_limited,quality_quarantined,quality_used_as_footprint_component,dominant_failure_mode,claim_boundary,abs_log10_error_no_governor,A_inferred,organization_label_settled,organization_label_score
NGC3521,mature_or_control,1.0,1.0,0.9909742378778433,1.0,1.0,0.9981948475755686,0.9882550689333227,0.5248290075870342,0.7873436792842218,0.8847623064308691,0.8847623064308692,0.660647335673261,1.0,False,False,False,False,False,False,False,False,low_surface_density,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0474659609066342,1.0,0,0.5715241143402278
NGC3741,juvenile_forming,0.7120730738681493,0.0,1.0,0.6133579885725993,0.0,0.46508621248814974,0.9882550689333227,0.005316081397312561,0.3260617984469397,0.0546746856205577,0.0546746856205576,0.0,1.0,True,True,False,True,True,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.006183480835373,1.0,0,0.3888942494661135
NGC3893,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7608282192388391,0.7914094783066582,0.7914094783066582,0.6153102593941213,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0170224256745111,1.0,1,0.5836879317079248
NGC3917,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.6918633386244557,0.8139148839043014,0.8139148839043014,0.7863133642789375,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0246631985603293,1.0,1,0.8069742744447722
NGC3953,mature_or_control,1.0,0.9950543412910385,1.0,0.9884456609271661,0.9539771198348185,0.9874954244106047,0.9882550689333227,0.4981008978256588,0.8388238510356203,0.9493857994389996,0.9493857994389996,0.876743689829732,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0048166982518404,1.0,1,0.8301717168479605
NGC3972,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.6812363750791722,0.8163351199847119,0.8163351199847119,0.8236791801080777,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0438649241014279,1.0,1,0.8184681126377343
NGC3992,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7891078718478046,0.8371238370913012,0.8371238370913012,0.7235339641188216,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0015305984912925,0.9868370153275026,1,0.7116682643074945
NGC4088,true_falsifier_candidate,1.0,1.0,0.9318445750097774,1.0,1.0,0.9863689150019554,0.9882550689333227,0.49528475496113356,0.7698039199571706,0.8305981179736397,0.8305981179736398,0.6219575993232513,1.0,False,False,False,False,False,False,False,False,low_surface_density,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0721205113385047,0.4597920095678989,0,0.5662844556272452
NGC4100,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7812249143792529,0.8780208298223735,0.8780208298223735,0.6332163369495851,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0470522513938085,0.67139129365072,1,0.6030037652935188
NGC4157,mature_or_control,1.0,0.8917334515853996,0.8549144046604191,0.9537539900554506,1.0,0.9400803692602538,0.9882550689333227,0.38183968233911314,0.7544908184218622,0.8283846201869849,0.8283846201869849,0.5335289538542789,1.0,False,True,False,True,False,False,False,False,low_surface_density,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0597452154969878,0.5795487478493855,1,0.5868819063328693
NGC4183,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.4452906032813343,0.5374936272438549,0.5374936272438549,0.7658974411758652,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.032840471583085,0.8004255086628022,1,0.7349289448337464
NGC4217,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.8156572761852716,0.9260163936134734,0.9260163936134734,0.7698969824049594,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0475847471305848,0.6483048725098944,1,0.7797598914259906
NGC4559,true_falsifier_candidate,1.0,0.9418452681804619,1.0,0.973332824531338,1.0,0.98303561854236,0.9882550689333227,0.4869543355433993,0.70262775874548,0.5562627137766095,0.5562627137766095,0.5489789406509253,1.0,False,True,False,True,False,False,False,False,HI_overextended,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0617213353931001,0.6428376682942409,0,0.5270304267120406
NGC5005,mature_or_control,0.4511517077045277,0.595274219098489,1.0,0.0,0.8739007337749984,0.5840653321156031,0.9882550689333227,0.017260942013187428,0.8459792737627422,0.9813051270337704,0.9813051270337704,1.0,1.0,False,False,False,False,True,False,False,False,low_concentration,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0443499929387442,1.0,1,0.7951818389787029
