object_name,M_baryon_Msun,F_occ,footprint_occupied_mass_Msun,off_footprint_mass_Msun,off_footprint_mass_fraction,dominant_failure_mode,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,quality_quarantined
UGC07125,7512569999.999999,0.8234207763965602,6186006222.133506,1326563777.8664937,0.1765792236034398,quality_quarantined_or_measurement_limited,True,False,False,False,True
UGC07151,1961280000.0,0.9841143764892772,1930123844.3208897,31156155.67911033,0.015885623510722757,radial_scale_mismatch,False,False,False,False,False
UGC07399,1568850000.0,0.9140780811451311,1434051397.604539,134798602.39546105,0.08592191885486888,composition_underfilled,True,False,True,False,False
UGC07524,3584070000.0,0.8393693806390216,3008358616.066898,575711383.933102,0.16063061936097844,composition_underfilled,True,False,True,False,False
UGC07603,531140000.0,0.8659723269071545,459952541.71346605,71187458.28653394,0.13402767309284547,composition_underfilled,True,False,False,False,False
UGC08286,1481360000.0,0.9215657710216059,1365170670.560566,116189329.43943395,0.07843422897839414,composition_underfilled,True,False,False,False,False
UGC08490,1466100000.0,0.7820011279174812,1146491853.6398191,319608146.3601808,0.21799887208251878,composition_underfilled,True,True,False,True,False
UGC08550,527540000.0,0.7038451639201215,371306477.7744209,156233522.22557908,0.29615483607987847,composition_underfilled,True,True,False,True,False
UGC09133,185922240000.0,0.9887212073073869,183825261598.09375,2096978401.906262,0.011278792692613115,radial_scale_mismatch,False,False,False,False,False
UGC10310,2461180000.0,0.9103198580368861,2240461028.203223,220718971.7967767,0.08968014196311391,composition_underfilled,True,False,False,False,False
UGC11455,204896550000.0,1.0,204896550000.0,0.0,0.0,composition_underfilled,False,False,False,False,False
UGC11914,76195040000.0,0.9381853464718887,71485070001.83942,4709969998.1605835,0.06181465352811133,low_surface_density,False,False,False,False,False
UGC12632,2970020000.0000005,0.8287217746516214,2461320245.1508093,508699754.84919137,0.17127822534837855,composition_underfilled,True,False,True,False,False
UGCA442,419790000.00000006,0.7437127070851182,312203157.3072618,107586842.69273826,0.25628729291488184,composition_underfilled,True,False,True,False,False
