galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun
NGC2903,1.0,4.0,184.6,5.6,81.863,2.552,2.33,13.76,4.54,632.16,1193.52,6.6,66.0,"Be91,Be87",184.6,81.863,2.552,2.33,4.0,40931500000.0,3394160000.0000005,44325660000.0,0.9234267464940172,0.07657325350598278,3.9270386266094417,1.2554697131473642,1.1147066034992692,1.1,1.2261772638491961,1.3858696800809982,191.88962876215083,184.6,1.0394887798599721,0.016819805960707132,0.016819805960707132,2.800827012337371,3.076829700943831,12.059390246776815,10.646655210876995
NGC2998,1.0,5.0,209.9,8.1,150.902,23.451,6.2,43.58,7.06,479.55,774.16,68.1,58.0,"Sa96,Br92",209.9,150.902,23.451,6.2,5.0,75451000000.0,31189830000.0,106640830000.0,0.7075245007001539,0.292475499299846,4.083870967741936,1.2602845646355374,1.0,1.0,1.0,1.134570562883153,216.23357970733954,209.9,1.0301742720692688,0.012910699458487917,0.012910699458487917,2.6808338953273694,2.8888307280420182,2.4190898122881723,11.027923516591635
NGC3109,1.0,9.0,66.2,2.6,0.194,0.477,1.56,6.0,1.64,11.4,140.87,1.33,70.0,"Be91,JC90",66.2,0.194,0.477,1.56,9.0,97000000.0,634410000.0,731410000.0,0.1326205548187747,0.8673794451812253,2.4487179487179485,1.195268116035884,1.0,1.0,1.0,1.0760395368321398,60.601146575677014,66.2,0.9154251748591693,-0.038377148329866696,0.038377148329866696,1.0569048513364727,2.1488185146020182,0.15289796819091755,8.864160893813251
NGC3198,1.0,5.0,150.1,3.9,38.279,10.869,3.14,35.66,5.84,178.99,1602.62,13.8,73.0,"Da06,Be91,Be87",150.1,38.279,10.869,3.14,5.0,19139500000.0,14455770000.000002,33595270000.0,0.569708176180754,0.430291823819246,6.608280254777069,1.3113257861349203,1.0,1.0,1.0,1.1805203975727063,165.24669602700308,150.1,1.100910699713545,0.041752092637036095,0.041752092637036095,2.252828768040592,3.2048305582449266,1.3240041865635659,10.526278135797503
NGC3521,1.0,4.0,213.7,15.9,84.836,4.154,2.4,18.85,2.45,2232.7,2112.66,7.7,75.0,"Da06,Sa96",213.7,84.836,4.154,2.4,4.0,42418000000.0,5524820000.0,47942820000.0,0.8847623064308691,0.1152376935691309,4.437500000000001,1.2702603870678983,1.055878615079601,1.1,1.161466476587561,1.3281964900888883,191.57487958756008,213.7,0.8964664463620032,-0.047465960906634255,0.047465960906634255,3.348830372378482,3.324829609686001,7.677716197088774,10.680723575680519
NGC3741,1.0,10.0,50.1,2.1,0.028,0.182,0.2,4.2,0.32,42.94,143.49,3.21,70.0,"Ge07,Bm05",50.1,0.028,0.182,0.2,10.0,14000000.0,242060000.0,256060000.0,0.05467468562055768,0.9453253143794423,11.3,1.3419048389023343,1.0,1.0,1.0,1.208049174869754,49.39173079144892,50.1,0.9858628900488806,-0.006183480835373096,0.006183480835373096,1.6328620401002298,2.1568216355916268,0.0578368999421631,8.408341741154654
NGC3893,1.0,5.0,174.0,8.9,58.525,5.799,2.38,20.84,2.43,1573.37,2055.09,18.0,49.0,"VS01,SV98",174.0,58.525,5.799,2.38,5.0,29262500000.0,7712670000.000001,36975170000.0,0.7914094783066582,0.2085905216933418,4.888655462184874,1.2813939081165269,1.0,1.0,1.0,1.1535742390269184,167.31189672729678,174.0,0.9615626248695217,-0.017022425674511142,0.017022425674511142,3.196830865066194,3.312830845991887,3.7940816863680147,10.56791017942058
NGC3917,1.0,6.0,135.9,4.1,21.966,1.888,2.63,14.08,5.56,112.94,1226.96,18.0,79.0,"VS01,SV98",135.9,21.966,1.888,2.63,6.0,10983000000.0,2511040000.0,13494040000.0,0.8139148839043014,0.18608511609569856,3.7338403041825097,1.2491817168389316,1.0,1.0,1.0,1.12457522958488,128.3974084712592,135.9,0.9447932926509139,-0.024663198560329315,0.024663198560329315,2.0528477834008605,3.088830404566906,4.373884924174844,10.130141993187998
NGC3953,1.0,4.0,220.8,6.1,141.301,2.832,4.89,17.38,6.17,587.26,1999.08,18.0,62.0,"VS01,SV98",220.8,141.301,2.832,4.89,4.0,70650500000.0,3766560000.0,74417060000.0,0.9493857994389996,0.0506142005610004,2.4079754601226995,1.1931523945888367,1.1722601036248232,1.1,1.2894861139873057,1.3850819860481034,218.36466856426898,220.8,0.9889704192222326,-0.004816698251840473,0.004816698251840473,2.768830420780154,3.3008301742398536,18.757301091712332,10.871672508321927
NGC3972,1.0,4.0,132.7,2.9,14.353,1.214,2.18,10.05,3.73,164.75,1587.93,18.0,77.0,"VS01,SV98",132.7,14.353,1.214,2.18,4.0,7176500000.0,1614620000.0,8791120000.0,0.8163351199847119,0.18366488001528816,3.1605504587155964,1.227951765065473,1.0,1.1,1.1,1.2160092734732926,119.95158715425819,132.7,0.9039305738828802,-0.043864924101427935,0.043864924101427935,2.2168254232660476,3.2008313537058184,4.444699062318069,9.944044208274432
NGC3992,1.0,4.0,241.0,5.2,226.932,16.599,4.96,32.75,9.99,360.44,3257.09,23.7,56.0,"VS01,SV98",241.0,226.932,16.599,4.96,4.0,113466000000.0,22076670000.0,135542670000.0,0.8371238370913012,0.1628761629086988,4.308467741935484,1.2667559012464356,1.0035886524331048,1.1,1.1039475176764153,1.2589377534221928,241.85086279925486,241.0,1.0035305510342525,0.0015305984912925964,0.0015305984912925964,2.5568329810176795,3.5128297591676816,5.139633830645654,11.13207603637886
NGC4088,1.0,4.0,171.7,6.9,107.286,8.226,2.58,22.25,6.1,457.96,3988.69,18.0,69.0,"VS01,SV98",171.7,107.286,8.226,2.58,4.0,53643000000.0,10940580000.000002,64583580000.0,0.8305981179736397,0.16940188202636028,5.4941860465116275,1.293933538157079,1.0,1.1,1.1,1.2813493383213002,202.7172968761069,171.7,1.1806482054519913,0.0721205113385047,0.0721205113385047,2.6608275466983815,3.60083028436173,4.9031221379488095,10.81012211518025
