galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference
PGC016060,72.143387,-3.867104,37.8,18667664498.24811,1.8752805909006618,0.759,1.019,0.694,1,F,-0.6,-22.64,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC028887,149.93129,11.660812,41.0,13154973785.719486,2.3897821646577917,0.145,0.282,0.323,0,S,0.0,-22.26,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC029321,151.463226,12.961213,40.9,7569897290.92636,1.5392096123973282,0.336,0.339,0.14,1,F,0.0,-21.66,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC035754,173.614716,33.178913,39.0,9442565085.213858,1.2783184757611463,0.21,0.258,0.275,1,F,-3.0,-21.9,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC042549,190.316513,-5.009177,40.7,19910858546.259167,2.265525047629173,0.673,0.771,0.369,1,F,-5.0,-22.71,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC044433,194.57811,13.391409,40.1,13034368261.117826,0.9970543474682438,0.357,0.362,0.335,1,F,0.0,-22.25,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC050395,211.913544,54.794575,37.2,9618115476.939344,1.9775041280162164,0.138,0.149,0.233,0,S,0.0,-21.92,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC051753,217.310318,44.699104,38.3,9618115476.939344,1.900085889722099,0.587,0.668,0.549,1,F,0.0,-21.92,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC054452,228.89418,2.248187,29.5,7097248096.303695,1.9742242167010928,0.416,0.435,0.189,1,F,-2.0,-21.59,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC056772,240.54834,7.085953,39.5,10941830604.766819,1.6299397623927412,0.31,0.386,0.493,1,F,-2.0,-22.06,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC058114,246.517838,2.90655,23.8,6967708719.648666,1.0768405865739892,0.176,0.228,0.185,1,F,-2.0,-21.57,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC061468,272.360748,19.117682,36.2,7710632188.991796,2.015037020250026,0.409,0.464,0.231,1,F,0.0,-21.68,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC071531,352.121338,19.863962,30.4,8148731104.432953,1.118016060935553,0.333,0.323,0.305,1,F,-4.0,-21.74,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
PGC170172,176.73172,-5.187745,37.1,9355995128.158998,1.396202362345743,0.324,0.287,0.195,1,F,-5.0,-21.89,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
UGC03960,115.094856,23.275089,33.2,9355995128.158998,2.797129300389269,0.119,0.13,0.19,0,S,-4.9,-21.89,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
UGC04551,131.024582,49.793968,28.0,24159613763.21625,1.4545628461761804,0.277,0.252,0.137,1,F,-2.0,-22.92,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
UGC05408,150.966095,59.436138,45.8,10643635343.824787,1.5361723253139061,0.278,0.29,0.168,1,F,-3.3,-22.03,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
UGC06062,164.656662,9.050468,38.7,22033829626.7054,2.1051615243248247,0.475,0.472,0.449,1,F,-2.0,-22.82,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
UGC06176,166.852753,21.657185,40.1,19014722292.999065,2.0831417904166014,0.585,0.67,0.252,1,F,-2.0,-22.66,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
UGC08876,209.241943,45.973179,33.9,14557606868.879921,1.398859694813011,0.341,0.311,0.408,1,F,-0.1,-22.37,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
UGC09519,221.588028,34.370651,27.6,10164592841.668356,0.9919357457593543,0.632,0.764,0.484,1,F,-1.9,-21.98,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
