galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary,stellar_to_gas_ratio,RHI_over_Rdisk,v_bdvr_full_source_km_s,v_full_normalization,btfr_v2_km2_s2
NGC3953,4.0,220.8,6.1,17.38,587.26,1999.08,74417060000.0,70650500000.0,3766560000.0,4.89,0.9493857994389996,0.0506142005610004,495307520.0156466,8.69487492171657,0.9392126224226588,0.9328881456185544,mature,0.9328881456185544,185.5430239167322,262.3974608267582,1.0,0.5,-0.0654020165617473,diagnostic_governor_hypothesis_not_accepted_model,18.757301091712332,3.554192229038855,189.93152377499064,vN2_plus_sqrt_GMbar_a0_Qeff1,34426.21372416507
NGC3972,4.0,132.7,2.9,10.05,164.75,1587.93,8791120000.0,7176500000.0,1614620000.0,2.18,0.8163351199847119,0.1836648800152881,294409183.42606324,8.468951352707107,0.8565702562675243,0.8351516055346992,mature,0.8351516055346992,107.53140953223658,152.9557642680969,1.0,0.5,-0.0811955103549944,diagnostic_governor_hypothesis_not_accepted_model,4.444699062318069,4.610091743119266,110.07163373065706,vN2_plus_sqrt_GMbar_a0_Qeff1,11832.461786848053
NGC3992,4.0,241.0,5.2,32.75,360.44,3257.09,135542670000.0,113466000000.0,22076670000.0,4.96,0.8371238370913012,0.1628761629086988,876865160.411256,8.94293281504035,0.968205976921058,0.9484473943989468,mature,0.9484473943989468,215.54875181595332,304.83196817071354,1.0,0.5,-0.0318697783494541,diagnostic_governor_hypothesis_not_accepted_model,5.139633830645654,6.602822580645161,223.94803916797213,vN2_plus_sqrt_GMbar_a0_Qeff1,46461.26440941547
NGC4088,4.0,171.7,6.9,22.25,457.96,3988.69,64583580000.0,53643000000.0,10940580000.000002,2.58,0.8305981179736397,0.1694018820263602,1544197464.030238,9.188702834895674,0.9812706422552968,0.9599244494019148,mature,0.9599244494019148,179.08410137546545,253.26316497058147,0.0,0.5,0.0413629549972447,diagnostic_governor_hypothesis_not_accepted_model,4.9031221379488095,8.624031007751938,188.85707111522893,vN2_plus_sqrt_GMbar_a0_Qeff1,32071.115365457976
NGC4100,4.0,158.2,5.0,18.06,388.0,8970.78,33822660000.0,29697000000.0,4125660000.0,2.15,0.8780208298223735,0.1219791701776264,1164530779.343758,9.066150971722134,0.9803731401588603,0.9669902093805316,mature,0.9669902093805316,152.34508350757056,215.448483257268,0.8177501196863841,0.3177501196863841,0.0034877148691013,diagnostic_governor_hypothesis_not_accepted_model,7.198121027908262,8.4,159.47558136266554,vN2_plus_sqrt_GMbar_a0_Qeff1,23209.024468928645
NGC4157,3.0,184.7,7.2,24.09,848.85,23813.87,63750580000.0,52810000000.0,10940580000.000002,2.32,0.828384620186985,0.171615379813015,1885073560.4888759,9.275328302176332,0.9834577171123544,0.9615957611872692,mature,0.9615957611872692,178.5038297850085,252.44253701749741,0.5718244830760092,0.0718244830760092,0.0104698733530509,diagnostic_governor_hypothesis_not_accepted_model,4.826983578567132,10.383620689655173,189.20681224890043,vN2_plus_sqrt_GMbar_a0_Qeff1,31863.617247915266
NGC4183,6.0,110.6,5.4,16.07,86.46,1098.58,10081980000.0,5419000000.0,4662980000.0,2.79,0.5374936272438549,0.4625063727561451,206137761.9960721,8.314157556671503,0.5766414363946896,0.4069772613326878,transition,0.4069772613326878,101.79168311342814,151.76621927532506,0.715886460984727,0.2158864609847269,0.0127956913663572,diagnostic_governor_hypothesis_not_accepted_model,1.1621323702868123,5.759856630824372,113.90710608157768,vN2_plus_sqrt_GMbar_a0_Qeff1,12671.43856206148
NGC4217,3.0,181.3,7.2,16.7,483.98,4373.51,46056960000.0,42649500000.0,3407460000.0,2.94,0.9260163936134734,0.0739836063865266,848048596.3933667,8.928420739686862,0.9729769719820344,0.964714955051288,mature,0.964714955051288,164.56986786479803,232.73693909234555,1.0,0.5,-0.0258297151979788,diagnostic_governor_hypothesis_not_accepted_model,12.516507897378105,5.680272108843537,170.83155295949967,vN2_plus_sqrt_GMbar_a0_Qeff1,27083.241409037084
NGC4559,6.0,121.2,5.1,21.16,211.27,1602.62,17417130000.0,9688500000.0,7728630000.000001,2.1,0.5562627137766096,0.4437372862233905,628576492.9646575,8.798358135563797,0.7508168964461055,0.5580013170487282,transition,0.5580013170487282,129.0537568121273,182.50957315890963,0.0,0.5,0.040073097443875,diagnostic_governor_hypothesis_not_accepted_model,1.253585693712857,10.076190476190476,132.9155269122843,vN2_plus_sqrt_GMbar_a0_Qeff1,16654.87214732369
NGC5005,4.0,262.2,20.7,10.41,1789.91,96.57,91062400000.0,89360000000.0,1702400000.0000002,9.45,0.9813051270337704,0.0186948729662297,162291437.41565397,8.210295606818034,0.6975266560201642,0.6941068812716185,mature,0.6941068812716185,166.22453362305092,256.3451607495039,1.0,0.5,-0.1231335538645636,diagnostic_governor_hypothesis_not_accepted_model,52.49060150375939,1.1015873015873017,197.46909394740845,vN2_plus_sqrt_GMbar_a0_Qeff1,38082.24586148822
NGC5033,5.0,194.2,3.6,29.53,2036.24,614.94,70302120000.0,55254500000.0,15047620000.0,5.16,0.7859578061088343,0.2140421938911657,420232028.8684417,8.62348914999931,0.9076090039780254,0.8771288482550982,mature,0.8771288482550982,182.92312352785737,258.69236216474485,1.0,0.5,-0.0176114183698866,diagnostic_governor_hypothesis_not_accepted_model,3.6719760334192384,5.7228682170542635,186.48238168643863,vN2_plus_sqrt_GMbar_a0_Qeff1,33460.86912118776
NGC5055,4.0,179.0,4.9,35.06,1383.02,3348.34,92051260000.0,76461000000.0,15590260000.0,3.2,0.830635017923709,0.1693649820762909,1430704399.1051927,9.15554991251676,0.9800886568305116,0.9587758711914368,mature,0.9587758711914368,195.67436701535524,276.72534364188596,0.0,0.5,0.0608957261049272,diagnostic_governor_hypothesis_not_accepted_model,4.904408265160427,10.95625,205.94381667369177,vN2_plus_sqrt_GMbar_a0_Qeff1,38288.457906859934
NGC5371,4.0,209.5,3.9,30.03,560.83,1395.82,185065900000.0,170196500000.0,14869400000.0,7.44,0.919653485596212,0.080346514403788,532109072.9916469,8.726000664142939,0.9446736618594628,0.9361297477426864,mature,0.9361297477426864,233.00117123781155,329.51341641332897,0.0,0.5,0.0571167327618996,diagnostic_governor_hypothesis_not_accepted_model,11.446090629077165,4.036290322580645,238.9465476170606,vN2_plus_sqrt_GMbar_a0_Qeff1,54289.545798191975
NGC5585,7.0,90.3,2.4,10.92,90.54,297.05,3709890000.000001,1471500000.0,2238390000.0000005,1.53,0.3966424880522063,0.6033575119477936,252230907.69669443,8.401798302775038,0.2875431003036353,0.1062999209968243,transition,0.1062999209968243,83.3827630566897,120.99285824322882,1.0,0.5,-0.0076831316805849,diagnostic_governor_hypothesis_not_accepted_model,0.6573921434602548,7.137254901960784,88.71654468107285,vN2_plus_sqrt_GMbar_a0_Qeff1,7686.58657089801
NGC5907,5.0,215.0,2.9,0.0,449.6,8646.29,115675750000.0,87712500000.0,27963250000.0,5.34,0.7582617791542307,0.2417382208457693,645624409.3886259,8.809979941575211,0.939072082038166,0.8979125756842532,mature,0.8979125756842532,207.17487439754785,292.9895171559546,1.0,0.5,-0.0029942886341289,diagnostic_governor_hypothesis_not_accepted_model,3.136706212618347,,213.52275840974343,vN2_plus_sqrt_GMbar_a0_Qeff1,42921.42858163971
NGC5985,3.0,293.6,8.6,39.5,288.95,1461.61,119773380000.0,104364000000.0,15409380000.0,7.01,0.8713455360448207,0.1286544639551793,387921991.97445583,8.58874440120979,0.907547927220036,0.8943163757546183,mature,0.8943163757546183,208.9857045175817,295.55041767086027,1.0,0.5,-0.140121972245043,diagnostic_governor_hypothesis_not_accepted_model,6.772757891621857,5.634807417974322,212.63467073065397,vN2_plus_sqrt_GMbar_a0_Qeff1,43675.02469270998
