galaxy_name,v_flat_obs_km_s,model,v_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,Vflat_km_s,e_Vflat,sigma_logv_obs_dex,sigma_total_dex,loglike_i
NGC7814,218.9,m4a_halo_only,164.59908996749152,0.7519373685129809,-0.123818331804617,0.123818331804617,218.9,7.0,0.013887900289277123,0.033058641448869365,-4.523533040845896
UGC00128,129.3,m4a_halo_only,133.19660971606464,1.030136192699649,0.0128946458972553,0.0128946458972553,129.3,2.8,0.009404675555522851,0.03143959163705294,2.4566412034278575
UGC00731,73.3,m4a_halo_only,83.55044525791908,1.139842363682389,0.0568447940412088,0.0568447940412088,73.3,2.3,0.0136272484089697,0.0329499908831515,1.0056960032608122
UGC01230,103.7,m4a_halo_only,125.67903163159885,1.211948231741551,0.0834840693771751,0.0834840693771751,103.7,6.1,0.025546734229603043,0.039403497684824526,0.0705238297875419
UGC01281,55.2,m4a_halo_only,56.59786875752487,1.0253237093754506,0.0108610000266834,0.0108610000266834,55.2,3.5,0.027536787801836618,0.04072191894352939,2.246482763772911
UGC02487,332.0,m4a_halo_only,268.94511768343864,0.810075655673008,-0.0914744190139932,0.0914744190139932,332.0,3.5,0.004578405682715003,0.03034735241492274,-1.9667353232191953
UGC02885,289.5,m4a_halo_only,267.9255399206608,0.9254768218330252,-0.0336344534924578,0.0336344534924578,289.5,12.0,0.018001843809461217,0.03498666003693746,1.971752221802708
UGC03205,219.6,m4a_halo_only,196.74328812312532,0.8959166125825382,-0.0477324104054557,0.0477324104054557,219.6,8.6,0.01700788954630221,0.03448576962776408,1.490377220751509
UGC03546,196.9,m4a_halo_only,178.96872075063916,0.9089320505365116,-0.0414685823226564,0.0414685823226564,196.9,7.4,0.016321885048674777,0.034152656288232594,1.7208203769358215
UGC04278,91.4,m4a_halo_only,79.44078140808993,0.8691551576377454,-0.0609026883488162,0.0609026883488162,91.4,4.8,0.022807587671067924,0.0376853559804528,1.053681950211009
UGC04325,90.9,m4a_halo_only,77.21289184749469,0.8494267529977413,-0.0708740648707405,0.0708740648707405,90.9,2.7,0.01289983609613619,0.03265586886468003,0.14762247866602785
UGC04499,72.8,m4a_halo_only,81.40952833469596,1.1182627518502193,0.0485438592494414,0.0485438592494414,72.8,2.4,0.014317400502305004,0.03324135913502039,1.4187178367196762
UGC05005,98.9,m4a_halo_only,106.11924294591644,1.0729953786240285,0.0305978514697671,0.0305978514697671,98.9,7.2,0.03161698958244098,0.043584791272371394,1.9676850904155747
UGC05721,79.7,m4a_halo_only,69.50406644054378,0.872071097121001,-0.0594481070070641,0.0594481070070641,79.7,6.6,0.03596416035836213,0.04683397090021287,1.3365993189846912
UGC06399,85.0,m4a_halo_only,79.18776867377045,0.9316208079267112,-0.0307608199797454,0.0307608199797454,85.0,3.8,0.019415518014498315,0.03573460983096511,2.0421974738924265
UGC06446,82.2,m4a_halo_only,83.18917299910873,1.0120337347823447,0.0051949893670559,0.0051949893670559,82.2,4.3,0.02271856778812631,0.03763154690341191,2.351445300103573
UGC06614,199.8,m4a_halo_only,211.82721694893328,1.060196281025692,0.0253862764676071,0.0253862764676071,199.8,16.0,0.03477833688914929,0.045929649647859956,2.0089556886764224
UGC06667,83.8,m4a_halo_only,73.78901586001074,0.8805371821003668,-0.0552523005256959,0.0552523005256959,83.8,3.1,0.016065786323389983,0.03403100777509865,1.1435273318810566
UGC06786,219.4,m4a_halo_only,170.84571106294808,0.778695127907694,-0.1086325425626462,0.1086325425626462,219.4,7.8,0.015439822054901384,0.033740007484987594,-2.7130863741158415
UGC06917,108.7,m4a_halo_only,104.33054618752848,0.959802632819949,-0.0178180630954004,0.0178180630954004,108.7,3.5,0.013983722968365971,0.03309901068092529,2.3444158290121595
UGC06930,107.2,m4a_halo_only,113.31954022629942,1.0570852633050318,0.0241100184232918,0.0241100184232918,107.2,5.1,0.020661397926367387,0.03642654752061604,2.17447606698948
UGC06983,109.0,m4a_halo_only,106.36490946102916,0.9758248574406346,-0.0106281231864467,0.0106281231864467,109.0,5.8,0.023109247660906978,0.0378686853145595,2.3153079586268137
UGC07125,65.2,m4a_halo_only,111.27246923349932,1.7066329637039772,0.2321401297980161,0.2321401297980161,65.2,2.1,0.01398801245393909,0.03310082313797581,-22.102685487701464
UGC07151,73.5,m4a_halo_only,78.92969793087273,1.0738734412363635,0.0309531016509037,0.0309531016509037,73.5,2.8,0.01654455169155245,0.034259629167205694,2.0467054339006507
UGC07399,103.0,m4a_halo_only,73.83447925988595,0.7168396044649121,-0.144578008472295,0.144578008472295,103.0,3.3,0.013914289226026513,0.0330697360840016,-7.066613358487508
UGC07524,79.5,m4a_halo_only,89.80885136279126,1.1296710863244184,0.0529520132288566,0.0529520132288566,79.5,3.6,0.01966616521826046,0.03587140998611453,1.3193489837586863
UGC07603,61.6,m4a_halo_only,57.941492612499005,0.940608646306802,-0.0265910334295371,0.0265910334295371,61.6,2.8,0.019740658268329627,0.03591230414310631,2.133608460953835
UGC08286,82.4,m4a_halo_only,74.87094457286696,0.9086279681173174,-0.0416138994693549,0.0416138994693549,82.4,2.3,0.012122297431765522,0.03235660821260765,1.6849692589543042
UGC08490,78.6,m4a_halo_only,75.55060558750922,0.9612036334288706,-0.0171845961961374,0.0171845961961374,78.6,3.8,0.020996425333744996,0.03661761702781229,2.2781666963340763
UGC08550,56.9,m4a_halo_only,58.68102915994972,1.0313010397179214,0.0133854555888479,0.0133854555888479,56.9,1.9,0.014501924703272029,0.033321251778697804,2.4019361936658647
UGC09133,226.8,m4a_halo_only,250.2346848275625,1.1033275345130624,0.0427044565162406,0.0427044565162406,226.8,4.2,0.008042490405615773,0.031059324717778745,1.6076987971972267
UGC10310,71.4,m4a_halo_only,83.66752723115584,1.1718141068789334,0.0688587219551644,0.0688587219551644,71.4,3.9,0.023721967498917113,0.03824567612187919,0.7240093506713663
UGC11455,269.4,m4a_halo_only,255.7805252520533,0.9494451568376144,-0.0225301165201047,0.0225301165201047,269.4,7.4,0.01192939556824077,0.03228483356970518,2.2707187203143597
UGC11914,288.1,m4a_halo_only,193.97014552613703,0.673273674162225,-0.1718083666542879,0.1718083666542879,288.1,10.5,0.01582815709817474,0.03391947165161184,-10.363217198014747
UGC12632,71.7,m4a_halo_only,87.54914529433222,1.2210480515248563,0.086732754937078,0.086732754937078,71.7,2.8,0.016959896085482633,0.03446212522800022,-0.7180741356046538
UGCA442,56.4,m4a_halo_only,52.88903485530941,0.9377488449522946,-0.0279134621078221,0.0279134621078221,56.4,2.1,0.01617053921980193,0.034080585949469125,2.1246732107921664
D631-7,57.7,m4b_halo_star_gas,53.31735230904176,0.9240442341255072,-0.0343072385452566,0.0343072385452566,57.7,2.7,0.020322272116789945,0.03623526933788209,1.9505769068208743
DDO064,46.1,m4b_halo_star_gas,51.61208276794634,1.119567955920745,0.0490504596709066,0.0490504596709066,46.1,3.9,0.0367407479267393,0.04743292694127359,1.5948171676643876
DDO161,66.3,m4b_halo_star_gas,81.96995774448564,1.236349287247144,0.0921411828030931,0.0921411828030931,66.3,1.9,0.012445844881088663,0.03247920957788414,-1.5158639982814854
ESO079-G014,175.0,m4b_halo_star_gas,155.54974769605994,0.8888557011203425,-0.0511687376729306,0.0511687376729306,175.0,3.5,0.008685889638065035,0.031232109739891822,1.2052950831437013
ESO116-G012,109.1,m4b_halo_star_gas,92.59787549913533,0.8487431301478947,-0.0712237279408208,0.0712237279408208,109.1,3.1,0.012340173179652435,0.03243886363767716,0.0990649613811323
ESO563-G021,314.6,m4b_halo_star_gas,253.4064564157114,0.8054877826309962,-0.0939410424281037,0.0939410424281037,314.6,11.7,0.016151447674087875,0.034071531547155295,-1.340641700550346
F563-1,109.9,m4b_halo_star_gas,101.53141101041533,0.9238526934523688,-0.0343972706855351,0.0343972706855351,109.9,12.5,0.04939655162684847,0.05779290019218543,1.7548302444303785
F563-V2,116.6,m4b_halo_star_gas,96.2360587736013,0.8253521335643337,-0.08336072170972,0.08336072170972,116.6,9.4,0.03501173353250915,0.04610663168082685,0.5234306328645704
F568-V1,112.3,m4b_halo_star_gas,100.64060478195164,0.8961763560280644,-0.0476065183363852,0.0476065183363852,112.3,15.8,0.06110287456875672,0.06807026722854272,1.523714819522284
F571-8,139.7,m4b_halo_star_gas,110.55042691224978,0.7913416385987816,-0.1016359820825215,0.1016359820825215,139.7,4.3,0.013367689850994865,0.03284349451493235,-2.2910705633807704
F574-1,97.8,m4b_halo_star_gas,110.11177428999484,1.1258872626788838,0.0514949059259186,0.0514949059259186,97.8,4.1,0.01820661938449215,0.035092463427519094,1.3541895632116232
F579-V1,112.1,m4b_halo_star_gas,116.08627804268072,1.035560018221951,0.0151752744774168,0.0151752744774168,112.1,13.4,0.05191388097683831,0.05995874446715286,1.8631314050221557
F583-1,85.8,m4b_halo_star_gas,90.8593865700958,1.0589672094416762,0.0248825125352315,0.0248825125352315,85.8,3.6,0.018222146093842734,0.03510052148138754,2.1793361447396102
IC4202,242.6,m4b_halo_star_gas,217.7655983413065,0.8976323097333325,-0.0469015236387611,0.0469015236387611,242.6,11.0,0.019691835535596742,0.035885489919478465,1.554388774991606
NGC0024,106.3,m4b_halo_star_gas,86.67043277566295,0.8153380317560014,-0.0886622993703862,0.0886622993703862,106.3,7.9,0.03227588341519934,0.04406509559993646,0.17892484589855417
NGC0100,88.1,m4b_halo_star_gas,98.15709556307011,1.1141554547454044,0.0469457908627941,0.0469457908627941,88.1,6.4,0.031549201863573344,0.04353564215936753,1.6338389428406739
NGC0801,220.1,m4b_halo_star_gas,245.3030507327344,1.1145072727520873,0.0470829068277363,0.0470829068277363,220.1,6.2,0.01223364737755639,0.03239848959686844,1.4547460495891678
NGC0891,216.1,m4b_halo_star_gas,209.19936021787424,0.9680673772229256,-0.0140944148632996,0.0140944148632996,216.1,5.7,0.011455245473616545,0.032112655587179524,2.423247605339937
NGC1003,109.8,m4b_halo_star_gas,127.09452762483886,1.1575093590604633,0.0635245111991767,0.0635245111991767,109.8,4.2,0.016612357231271926,0.034292425005814225,0.7381333105538392
NGC1090,164.4,m4b_halo_star_gas,178.81274990740445,1.0876687950572046,0.0364966689125534,0.0364966689125534,164.4,3.7,0.009774267536752018,0.03155212046566767,1.8681863636238938
NGC2403,131.2,m4b_halo_star_gas,119.5330568306604,0.9110751282824728,-0.0404458091376348,0.0404458091376348,131.2,4.9,0.016219839644252547,0.034104005601765706,1.7561575084117487
NGC2841,284.8,m4b_halo_star_gas,226.4010049929921,0.7949473489922476,-0.0996616346131516,0.0996616346131516,284.8,8.6,0.013114229439494259,0.032741151687008474,-2.1325579795448717
NGC2903,184.6,m4b_halo_star_gas,182.95958228893585,0.9911136635370305,-0.0038765366184054,0.0038765366184054,184.6,5.6,0.013174697175829957,0.032765418441930844,2.4924442577984536
NGC2998,209.9,m4b_halo_star_gas,216.2335797073396,1.0301742720692688,0.0129106994584879,0.0129106994584879,209.9,8.1,0.016759339225423248,0.03436386839796722,2.3812337035319766
NGC3109,66.2,m4b_halo_star_gas,60.60114657567701,0.9154251748591692,-0.0383771483298666,0.0383771483298666,66.2,2.6,0.017056882975052184,0.03450995880647534,1.829229966478278
NGC3198,150.1,m4b_halo_star_gas,165.24669602700308,1.100910699713545,0.041752092637036,0.041752092637036,150.1,3.9,0.011284133773635456,0.0320520151475894,1.6730270720577551
NGC3521,213.7,m4b_halo_star_gas,182.6594807259676,0.8547472191201104,-0.0681623034857468,0.0681623034857468,213.7,15.9,0.0323129726825536,0.04409226920428858,1.0076266129734375
NGC3741,50.1,m4b_halo_star_gas,49.39173079144892,0.9858628900488806,-0.006183480835373,0.006183480835373,50.1,2.1,0.01820396031929798,0.03509108392892097,2.415344278218666
NGC3893,174.0,m4b_halo_star_gas,167.31189672729678,0.9615626248695216,-0.0170224256745111,0.0170224256745111,174.0,8.9,0.0222139131548215,0.03732904951441909,2.2650722839146784
NGC3917,135.9,m4b_halo_star_gas,128.3974084712592,0.944793292650914,-0.0246631985603293,0.0246631985603293,135.9,4.1,0.013102335362791259,0.0327363894154357,2.216532822172147
NGC3953,220.8,m4b_halo_star_gas,208.20254228904344,0.9429462965989288,-0.025513040830953,0.025513040830953,220.8,6.1,0.011998171827943096,0.03231030992133699,2.201676251509546
NGC3972,132.7,m4b_halo_star_gas,114.36935087221732,0.861863985472625,-0.0645612666805405,0.0645612666805405,132.7,2.9,0.00949098717045539,0.03146551822979798,0.43496220859129764
NGC3992,241.0,m4b_halo_star_gas,230.595749855858,0.9568288375761744,-0.0191657440878199,0.0191657440878199,241.0,5.2,0.009370669319074312,0.03142943593969578,2.355142384916587
NGC4088,171.7,m4b_halo_star_gas,193.28335876436032,1.1257038949584175,0.0514241687593921,0.0514241687593921,171.7,6.9,0.017452719424184263,0.034707310689526184,1.3442195417817344
NGC4100,158.2,m4b_halo_star_gas,168.0979387146311,1.0625659842897035,0.0263559088146961,0.0263559088146961,158.2,5.0,0.013726121425513648,0.032991004976931894,2.173475844734739
NGC4157,184.7,m4b_halo_star_gas,193.4734998457021,1.047501352710894,0.0201545924731754,0.0201545924731754,184.7,7.2,0.016929725336780797,0.03444728726589131,2.2782242430683612
NGC4183,110.6,m4b_halo_star_gas,119.28768175360766,1.0785504679349698,0.032840471583085,0.032840471583085,110.6,5.4,0.021204251376831462,0.0367371783953512,1.9854719070433444
NGC4217,181.3,m4b_halo_star_gas,184.6681201248905,1.0185776068664671,0.0079941241067723,0.0079941241067723,181.3,7.2,0.01724721604910873,0.03460442835020734,2.418151239345908
NGC4559,121.2,m4b_halo_star_gas,139.70886203436353,1.1527133831218113,0.0617213353931001,0.0617213353931001,121.2,5.1,0.018274767802859603,0.035127868398871484,0.8862138980635832
NGC5005,262.2,m4b_halo_star_gas,225.72847723435007,0.8609018963934025,-0.0650463355178567,0.0650463355178567,262.2,20.7,0.03428640646604619,0.04555828868992924,1.1505738185056602
NGC5033,194.2,m4b_halo_star_gas,192.28174262335853,0.9901222586166766,-0.0043111761455451,0.0043111761455451,194.2,3.6,0.008050773093984071,0.03106147046440039,2.5432165633541595
NGC5055,179.0,m4b_halo_star_gas,212.062612472915,1.1847073322509218,0.0736110763487204,0.0736110763487204,179.0,4.9,0.011888508163832032,0.032269747850912946,-0.08706125028304168
NGC5371,209.5,m4b_halo_star_gas,255.6062733147725,1.2200776769201551,0.0863874811533581,0.0863874811533581,209.5,3.9,0.008084718278867217,0.03107028596020078,-1.3127166629147844
NGC5585,90.3,m4b_halo_star_gas,93.62765316919872,1.0368510871450578,0.0157163873677569,0.0157163873677569,90.3,2.4,0.011542710482478452,0.03214396001245518,2.3990622434947912
NGC5907,215.0,m4b_halo_star_gas,209.66943928085624,0.975206694329564,-0.0109033261546345,0.0109033261546345,215.0,2.9,0.0058579255698578145,0.030566571479019266,2.5052896389877097
NGC5985,293.6,m4b_halo_star_gas,225.4837000156005,0.7679962534591297,-0.1146408985960855,0.1146408985960855,293.6,8.6,0.01272115989226146,0.03258570098992013,-3.683694137368882
NGC6195,251.7,m4b_halo_star_gas,254.8755331941586,1.012616341653391,0.0054449317735419,0.0054449317735419,251.7,9.3,0.016046637591180937,0.03402197198844742,2.4490035336333795
NGC6503,116.3,m4b_halo_star_gas,115.02422131435556,0.9890302778534444,-0.0047904128483258,0.0047904128483258,116.3,2.4,0.008962224906000037,0.031310085839322245,2.533172116839243
NGC6674,241.3,m4b_halo_star_gas,237.26249297066624,0.9832676874043356,-0.0073282325886835,0.0073282325886835,241.3,4.9,0.008819075678930519,0.031269411504387216,2.5187145893410987
NGC6946,158.9,m4b_halo_star_gas,171.77113572436693,1.081001483476192,0.0338262899432106,0.0338262899432106,158.9,10.9,0.029791125567938604,0.042278968324743746,1.924468036183197
NGC7331,239.0,m4b_halo_star_gas,235.9853427267854,0.98738637124178,-0.0055128715820931,0.0055128715820931,239.0,5.4,0.009812511306600668,0.03156398862853309,2.5215473414494474
NGC7814,218.9,m4b_halo_star_gas,181.4869717226388,0.8290862116155264,-0.0814003074687986,0.0814003074687986,218.9,7.0,0.013887900289277123,0.033058641448869365,-0.5409279868977679
UGC00128,129.3,m4b_halo_star_gas,133.19660971606464,1.030136192699649,0.0128946458972553,0.0128946458972553,129.3,2.8,0.009404675555522851,0.03143959163705294,2.4566412034278575
UGC00731,73.3,m4b_halo_star_gas,83.55044525791908,1.139842363682389,0.0568447940412088,0.0568447940412088,73.3,2.3,0.0136272484089697,0.0329499908831515,1.0056960032608122
UGC01230,103.7,m4b_halo_star_gas,125.67903163159885,1.211948231741551,0.0834840693771751,0.0834840693771751,103.7,6.1,0.025546734229603043,0.039403497684824526,0.0705238297875419
UGC01281,55.2,m4b_halo_star_gas,56.59786875752487,1.0253237093754506,0.0108610000266834,0.0108610000266834,55.2,3.5,0.027536787801836618,0.04072191894352939,2.246482763772911
UGC02487,332.0,m4b_halo_star_gas,281.2473819888125,0.8471306686410016,-0.0720495952267654,0.0720495952267654,332.0,3.5,0.004578405682715003,0.03034735241492274,-0.24222016610248964
UGC02885,289.5,m4b_halo_star_gas,267.9255399206608,0.9254768218330252,-0.0336344534924578,0.0336344534924578,289.5,12.0,0.018001843809461217,0.03498666003693746,1.971752221802708
UGC03205,219.6,m4b_halo_star_gas,196.74328812312532,0.8959166125825382,-0.0477324104054557,0.0477324104054557,219.6,8.6,0.01700788954630221,0.03448576962776408,1.490377220751509
UGC03546,196.9,m4b_halo_star_gas,190.7823770870142,0.9689303051651303,-0.0137074604835602,0.0137074604835602,196.9,7.4,0.016321885048674777,0.034152656288232594,2.3774320384368997
UGC04278,91.4,m4b_halo_star_gas,79.44078140808993,0.8691551576377454,-0.0609026883488162,0.0609026883488162,91.4,4.8,0.022807587671067924,0.0376853559804528,1.053681950211009
UGC04325,90.9,m4b_halo_star_gas,77.21289184749469,0.8494267529977413,-0.0708740648707405,0.0708740648707405,90.9,2.7,0.01289983609613619,0.03265586886468003,0.14762247866602785
UGC04499,72.8,m4b_halo_star_gas,81.40952833469596,1.1182627518502193,0.0485438592494414,0.0485438592494414,72.8,2.4,0.014317400502305004,0.03324135913502039,1.4187178367196762
UGC05005,98.9,m4b_halo_star_gas,106.11924294591644,1.0729953786240285,0.0305978514697671,0.0305978514697671,98.9,7.2,0.03161698958244098,0.043584791272371394,1.9676850904155747
UGC05721,79.7,m4b_halo_star_gas,69.50406644054378,0.872071097121001,-0.0594481070070641,0.0594481070070641,79.7,6.6,0.03596416035836213,0.04683397090021287,1.3365993189846912
UGC06399,85.0,m4b_halo_star_gas,79.18776867377045,0.9316208079267112,-0.0307608199797454,0.0307608199797454,85.0,3.8,0.019415518014498315,0.03573460983096511,2.0421974738924265
UGC06446,82.2,m4b_halo_star_gas,83.18917299910873,1.0120337347823447,0.0051949893670559,0.0051949893670559,82.2,4.3,0.02271856778812631,0.03763154690341191,2.351445300103573
UGC06614,199.8,m4b_halo_star_gas,211.82721694893328,1.060196281025692,0.0253862764676071,0.0253862764676071,199.8,16.0,0.03477833688914929,0.045929649647859956,2.0089556886764224
UGC06667,83.8,m4b_halo_star_gas,73.78901586001074,0.8805371821003668,-0.0552523005256959,0.0552523005256959,83.8,3.1,0.016065786323389983,0.03403100777509865,1.1435273318810566
UGC06786,219.4,m4b_halo_star_gas,171.87582527985538,0.783390270190772,-0.106021826748708,0.106021826748708,219.4,7.8,0.015439822054901384,0.033740007484987594,-2.4669481924237346
UGC06917,108.7,m4b_halo_star_gas,104.33054618752848,0.959802632819949,-0.0178180630954004,0.0178180630954004,108.7,3.5,0.013983722968365971,0.03309901068092529,2.3444158290121595
UGC06930,107.2,m4b_halo_star_gas,113.31954022629942,1.0570852633050318,0.0241100184232918,0.0241100184232918,107.2,5.1,0.020661397926367387,0.03642654752061604,2.17447606698948
UGC06983,109.0,m4b_halo_star_gas,106.36490946102916,0.9758248574406346,-0.0106281231864467,0.0106281231864467,109.0,5.8,0.023109247660906978,0.0378686853145595,2.3153079586268137
UGC07125,65.2,m4b_halo_star_gas,111.27246923349932,1.7066329637039772,0.2321401297980161,0.2321401297980161,65.2,2.1,0.01398801245393909,0.03310082313797581,-22.102685487701464
UGC07151,73.5,m4b_halo_star_gas,78.92969793087273,1.0738734412363635,0.0309531016509037,0.0309531016509037,73.5,2.8,0.01654455169155245,0.034259629167205694,2.0467054339006507
UGC07399,103.0,m4b_halo_star_gas,73.83447925988595,0.7168396044649121,-0.144578008472295,0.144578008472295,103.0,3.3,0.013914289226026513,0.0330697360840016,-7.066613358487508
UGC07524,79.5,m4b_halo_star_gas,89.80885136279126,1.1296710863244184,0.0529520132288566,0.0529520132288566,79.5,3.6,0.01966616521826046,0.03587140998611453,1.3193489837586863
UGC07603,61.6,m4b_halo_star_gas,57.941492612499005,0.940608646306802,-0.0265910334295371,0.0265910334295371,61.6,2.8,0.019740658268329627,0.03591230414310631,2.133608460953835
UGC08286,82.4,m4b_halo_star_gas,74.87094457286696,0.9086279681173174,-0.0416138994693549,0.0416138994693549,82.4,2.3,0.012122297431765522,0.03235660821260765,1.6849692589543042
UGC08490,78.6,m4b_halo_star_gas,75.55060558750922,0.9612036334288706,-0.0171845961961374,0.0171845961961374,78.6,3.8,0.020996425333744996,0.03661761702781229,2.2781666963340763
UGC08550,56.9,m4b_halo_star_gas,58.68102915994972,1.0313010397179214,0.0133854555888479,0.0133854555888479,56.9,1.9,0.014501924703272029,0.033321251778697804,2.4019361936658647
UGC09133,226.8,m4b_halo_star_gas,250.2346848275625,1.1033275345130624,0.0427044565162406,0.0427044565162406,226.8,4.2,0.008042490405615773,0.031059324717778745,1.6076987971972267
UGC10310,71.4,m4b_halo_star_gas,83.66752723115584,1.1718141068789334,0.0688587219551644,0.0688587219551644,71.4,3.9,0.023721967498917113,0.03824567612187919,0.7240093506713663
UGC11455,269.4,m4b_halo_star_gas,267.93790871787155,0.9945727866290704,-0.0023634280502215,0.0023634280502215,269.4,7.4,0.01192939556824077,0.03228483356970518,2.5115396506209757
UGC11914,288.1,m4b_halo_star_gas,223.7958505216489,0.7767992034767404,-0.1096912284216706,0.1096912284216706,288.1,10.5,0.01582815709817474,0.03391947165161184,-2.7641364298074977
UGC12632,71.7,m4b_halo_star_gas,87.54914529433222,1.2210480515248563,0.086732754937078,0.086732754937078,71.7,2.8,0.016959896085482633,0.03446212522800022,-0.7180741356046538
UGCA442,56.4,m4b_halo_star_gas,52.88903485530941,0.9377488449522946,-0.0279134621078221,0.0279134621078221,56.4,2.1,0.01617053921980193,0.034080585949469125,2.1246732107921664
D631-7,57.7,m4c_full_frozen,53.31735230904176,0.9240442341255072,-0.0343072385452566,0.0343072385452566,57.7,2.7,0.020322272116789945,0.03623526933788209,1.9505769068208743
DDO064,46.1,m4c_full_frozen,51.61208276794634,1.119567955920745,0.0490504596709066,0.0490504596709066,46.1,3.9,0.0367407479267393,0.04743292694127359,1.5948171676643876
DDO161,66.3,m4c_full_frozen,81.96995774448564,1.236349287247144,0.0921411828030931,0.0921411828030931,66.3,1.9,0.012445844881088663,0.03247920957788414,-1.5158639982814854
ESO079-G014,175.0,m4c_full_frozen,163.14195171426232,0.932239724081499,-0.030472395093818,0.030472395093818,175.0,3.5,0.008685889638065035,0.031232109739891822,2.071398968377893
ESO116-G012,109.1,m4c_full_frozen,92.59787549913533,0.8487431301478947,-0.0712237279408208,0.0712237279408208,109.1,3.1,0.012340173179652435,0.03243886363767716,0.0990649613811323
ESO563-G021,314.6,m4c_full_frozen,265.774933672242,0.8448027135163444,-0.0732446998489913,0.0732446998489913,314.6,11.7,0.016151447674087875,0.034071531547155295,0.14967831646934426
F563-1,109.9,m4c_full_frozen,101.53141101041533,0.9238526934523688,-0.0343972706855351,0.0343972706855351,109.9,12.5,0.04939655162684847,0.05779290019218543,1.7548302444303785
F563-V2,116.6,m4c_full_frozen,96.2360587736013,0.8253521335643337,-0.08336072170972,0.08336072170972,116.6,9.4,0.03501173353250915,0.04610663168082685,0.5234306328645704
F568-V1,112.3,m4c_full_frozen,100.64060478195164,0.8961763560280644,-0.0476065183363852,0.0476065183363852,112.3,15.8,0.06110287456875672,0.06807026722854272,1.523714819522284
F571-8,139.7,m4c_full_frozen,110.55042691224978,0.7913416385987816,-0.1016359820825215,0.1016359820825215,139.7,4.3,0.013367689850994865,0.03284349451493235,-2.2910705633807704
F574-1,97.8,m4c_full_frozen,110.11177428999484,1.1258872626788838,0.0514949059259186,0.0514949059259186,97.8,4.1,0.01820661938449215,0.035092463427519094,1.3541895632116232
F579-V1,112.1,m4c_full_frozen,116.08627804268072,1.035560018221951,0.0151752744774168,0.0151752744774168,112.1,13.4,0.05191388097683831,0.05995874446715286,1.8631314050221557
F583-1,85.8,m4c_full_frozen,90.8593865700958,1.0589672094416762,0.0248825125352315,0.0248825125352315,85.8,3.6,0.018222146093842734,0.03510052148138754,2.1793361447396102
IC4202,242.6,m4c_full_frozen,228.3944863674295,0.9414447088517292,-0.0262051810596486,0.0262051810596486,242.6,11.0,0.019691835535596742,0.035885489919478465,2.1418552094930456
NGC0024,106.3,m4c_full_frozen,86.67043277566295,0.8153380317560014,-0.0886622993703862,0.0886622993703862,106.3,7.9,0.03227588341519934,0.04406509559993646,0.17892484589855417
NGC0100,88.1,m4c_full_frozen,98.15709556307011,1.1141554547454044,0.0469457908627941,0.0469457908627941,88.1,6.4,0.031549201863573344,0.04353564215936753,1.6338389428406739
NGC0801,220.1,m4c_full_frozen,245.3030507327344,1.1145072727520873,0.0470829068277363,0.0470829068277363,220.1,6.2,0.01223364737755639,0.03239848959686844,1.4547460495891678
NGC0891,216.1,m4c_full_frozen,229.1664172139572,1.0604646793797186,0.0254962081605127,0.0254962081605127,216.1,5.7,0.011455245473616545,0.032112655587179524,2.2043792063942496
NGC1003,109.8,m4c_full_frozen,127.09452762483886,1.1575093590604633,0.0635245111991767,0.0635245111991767,109.8,4.2,0.016612357231271926,0.034292425005814225,0.7381333105538392
NGC1090,164.4,m4c_full_frozen,187.54039426852225,1.1407566561345637,0.057193011491666,0.057193011491666,164.4,3.7,0.009774267536752018,0.03155212046566767,0.8943224722114713
NGC2403,131.2,m4c_full_frozen,119.5330568306604,0.9110751282824728,-0.0404458091376348,0.0404458091376348,131.2,4.9,0.016219839644252547,0.034104005601765706,1.7561575084117487
NGC2841,284.8,m4c_full_frozen,248.0098749530031,0.8708211901439715,-0.0600710115893391,0.0600710115893391,284.8,8.6,0.013114229439494259,0.032741151687008474,0.8170759694253562
NGC2903,184.6,m4c_full_frozen,191.88962876215083,1.039488779859972,0.0168198059607071,0.0168198059607071,184.6,5.6,0.013174697175829957,0.032765418441930844,2.3676840296568273
NGC2998,209.9,m4c_full_frozen,216.2335797073396,1.0301742720692688,0.0129106994584879,0.0129106994584879,209.9,8.1,0.016759339225423248,0.03436386839796722,2.3812337035319766
NGC3109,66.2,m4c_full_frozen,60.60114657567701,0.9154251748591692,-0.0383771483298666,0.0383771483298666,66.2,2.6,0.017056882975052184,0.03450995880647534,1.829229966478278
NGC3198,150.1,m4c_full_frozen,165.24669602700308,1.100910699713545,0.041752092637036,0.041752092637036,150.1,3.9,0.011284133773635456,0.0320520151475894,1.6730270720577551
NGC3521,213.7,m4c_full_frozen,191.57487958756008,0.8964664463620032,-0.0474659609066342,0.0474659609066342,213.7,15.9,0.0323129726825536,0.04409226920428858,1.6230906979247148
NGC3741,50.1,m4c_full_frozen,49.39173079144892,0.9858628900488806,-0.006183480835373,0.006183480835373,50.1,2.1,0.01820396031929798,0.03509108392892097,2.415344278218666
NGC3893,174.0,m4c_full_frozen,167.31189672729678,0.9615626248695216,-0.0170224256745111,0.0170224256745111,174.0,8.9,0.0222139131548215,0.03732904951441909,2.2650722839146784
