galaxy_name,v_flat_obs_km_s,model,v_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,Vflat_km_s,e_Vflat,sigma_logv_obs_dex,sigma_total_dex,loglike_i
UGC03205,219.6,m3_scalar_q_only,173.1820048957841,0.7886247946073958,-0.1031295726953419,0.1031295726953419,219.6,8.6,0.01700788954630221,0.03448576962776408,-2.023264618221409
UGC03546,196.9,m3_scalar_q_only,162.65197540013497,0.8260638669382172,-0.082986374003378,0.082986374003378,196.9,7.4,0.016321885048674777,0.034152656288232594,-0.4941477017236702
UGC04278,91.4,m3_scalar_q_only,72.47674869913055,0.7929622395966143,-0.1007474930421406,0.1007474930421406,91.4,4.8,0.022807587671067924,0.0376853559804528,-1.2139504778758323
UGC04325,90.9,m3_scalar_q_only,70.5075140754569,0.7756602208521111,-0.1103284804488212,0.1103284804488212,90.9,2.7,0.01289983609613619,0.03265586886468003,-3.2044038884083905
UGC04499,72.8,m3_scalar_q_only,73.31983410686452,1.007140578390996,0.0030900943454611,0.0030900943454611,72.8,2.4,0.014317400502305004,0.03324135913502039,2.4807011699285932
UGC05005,98.9,m3_scalar_q_only,94.44264622705424,0.9549306999702148,-0.0200281443456484,0.0200281443456484,98.9,7.2,0.03161698958244098,0.043584791272371394,2.108528521337803
UGC05721,79.7,m3_scalar_q_only,60.13205199388519,0.7544799497350713,-0.1223522970880226,0.1223522970880226,79.7,6.6,0.03596416035836213,0.04683397090021287,-1.2702892037531424
UGC06399,85.0,m3_scalar_q_only,71.67215791870298,0.8432018578670939,-0.0740684452286134,0.0740684452286134,85.0,3.8,0.019415518014498315,0.03573460983096511,0.26457788740922084
UGC06446,82.2,m3_scalar_q_only,74.03838874464469,0.900710325360641,-0.0454148586602093,0.0454148586602093,82.2,4.3,0.02271856778812631,0.03763154690341191,1.632755385641921
UGC06614,199.8,m3_scalar_q_only,185.27168110316288,0.9272856912070212,-0.0327864416920444,0.0327864416920444,199.8,16.0,0.03477833688914929,0.045929649647859956,1.9069217826571476
UGC06667,83.8,m3_scalar_q_only,69.1791331221246,0.825526648235377,-0.0832689030253161,0.0832689030253161,83.8,3.1,0.016065786323389983,0.03403100777509865,-0.5320022836412721
UGC06786,219.4,m3_scalar_q_only,153.8380868032096,0.7011763300055132,-0.1541727530481512,0.1541727530481512,219.4,7.8,0.015439822054901384,0.033740007484987594,-7.969733217727329
UGC06917,108.7,m3_scalar_q_only,94.22315469678382,0.8668183504763921,-0.0620719032748317,0.0620719032748317,108.7,3.5,0.013983722968365971,0.03309901068092529,0.7308630350860301
UGC06930,107.2,m3_scalar_q_only,103.15085390627654,0.9622281147973556,-0.0167219578440037,0.0167219578440037,107.2,5.1,0.020661397926367387,0.03642654752061604,2.28815103227217
UGC06983,109.0,m3_scalar_q_only,96.0535590155084,0.8812253120688844,-0.0549130367891295,0.0549130367891295,109.0,5.8,0.023109247660906978,0.0378686853145595,1.3033103797029622
UGC07125,65.2,m3_scalar_q_only,99.23276284512616,1.5219748902626713,0.1824074874474846,0.1824074874474846,65.2,2.1,0.01398801245393909,0.03310082313797581,-12.694445771746752
UGC07151,73.5,m3_scalar_q_only,70.9321053108938,0.965062657291072,-0.0154444889024501,0.0154444889024501,73.5,2.8,0.01654455169155245,0.034259629167205694,2.353235492746941
UGC07399,103.0,m3_scalar_q_only,67.08158349178551,0.6512775096289856,-0.1862339189281341,0.1862339189281341,103.0,3.3,0.013914289226026513,0.0330697360840016,-13.366987451922176
UGC07524,79.5,m3_scalar_q_only,82.47115390126346,1.037373005047339,0.0159349424126087,0.0159349424126087,79.5,3.6,0.01966616521826046,0.03587140998611453,2.3102086510412425
UGC07603,61.6,m3_scalar_q_only,51.169385626253856,0.8306718445820431,-0.0805705095899938,0.0805705095899938,61.6,2.8,0.019740658268329627,0.03591230414310631,-0.10898776759002349
UGC08286,82.4,m3_scalar_q_only,66.12612955575237,0.8025015722785481,-0.0955541080430547,0.0955541080430547,82.4,2.3,0.012122297431765522,0.03235660821260765,-1.848566374703215
UGC08490,78.6,m3_scalar_q_only,65.95517070257273,0.8391243091930374,-0.0761736973387084,0.0761736973387084,78.6,3.8,0.020996425333744996,0.03661761702781229,0.2245729588359553
UGC08550,56.9,m3_scalar_q_only,51.082459460541095,0.8977585142450105,-0.0468404673802893,0.0468404673802893,56.9,1.9,0.014501924703272029,0.033321251778697804,1.4945920518047522
UGC09133,226.8,m3_scalar_q_only,221.33025585016264,0.9758829623023042,-0.0106022641715398,0.0106022641715398,226.8,4.2,0.008042490405615773,0.031059324717778745,2.494655959371198
UGC10310,71.4,m3_scalar_q_only,75.07473269881793,1.0514668445212594,0.0217955828059991,0.0217955828059991,71.4,3.9,0.023721967498917113,0.03824567612187919,2.1824025874088497
UGC11455,269.4,m3_scalar_q_only,226.77313906446253,0.8417711175369805,-0.0748059796446654,0.0748059796446654,269.4,7.4,0.01192939556824077,0.03228483356970518,-0.17017031637078528
UGC11914,288.1,m3_scalar_q_only,177.0882008156849,0.6146761569444112,-0.2113536326710781,0.2113536326710781,288.1,10.5,0.01582815709817474,0.03391947165161184,-16.948111052862256
UGC12632,71.7,m3_scalar_q_only,78.68605892004382,1.0974345735013085,0.0403786380582733,0.0403786380582733,71.7,2.8,0.016959896085482633,0.03446212522800022,1.7625369572955458
UGCA442,56.4,m3_scalar_q_only,48.24651768204963,0.8554347106746388,-0.0678131315065924,0.0678131315065924,56.4,2.1,0.01617053921980193,0.034080585949469125,0.4804612597954585
D631-7,57.7,m4a_halo_only,53.31735230904176,0.9240442341255072,-0.0343072385452566,0.0343072385452566,57.7,2.7,0.020322272116789945,0.03623526933788209,1.9505769068208743
DDO064,46.1,m4a_halo_only,51.61208276794634,1.119567955920745,0.0490504596709066,0.0490504596709066,46.1,3.9,0.0367407479267393,0.04743292694127359,1.5948171676643876
DDO161,66.3,m4a_halo_only,81.96995774448564,1.236349287247144,0.0921411828030931,0.0921411828030931,66.3,1.9,0.012445844881088663,0.03247920957788414,-1.5158639982814854
ESO079-G014,175.0,m4a_halo_only,153.42450878576943,0.8767114787758253,-0.057143307194534,0.057143307194534,175.0,3.5,0.008685889638065035,0.031232109739891822,0.8735910633520809
ESO116-G012,109.1,m4a_halo_only,92.59787549913533,0.8487431301478947,-0.0712237279408208,0.0712237279408208,109.1,3.1,0.012340173179652435,0.03243886363767716,0.0990649613811323
ESO563-G021,314.6,m4a_halo_only,253.4064564157114,0.8054877826309962,-0.0939410424281037,0.0939410424281037,314.6,11.7,0.016151447674087875,0.034071531547155295,-1.340641700550346
F563-1,109.9,m4a_halo_only,101.53141101041533,0.9238526934523688,-0.0343972706855351,0.0343972706855351,109.9,12.5,0.04939655162684847,0.05779290019218543,1.7548302444303785
F563-V2,116.6,m4a_halo_only,96.2360587736013,0.8253521335643337,-0.08336072170972,0.08336072170972,116.6,9.4,0.03501173353250915,0.04610663168082685,0.5234306328645704
F568-V1,112.3,m4a_halo_only,100.64060478195164,0.8961763560280644,-0.0476065183363852,0.0476065183363852,112.3,15.8,0.06110287456875672,0.06807026722854272,1.523714819522284
F571-8,139.7,m4a_halo_only,110.55042691224978,0.7913416385987816,-0.1016359820825215,0.1016359820825215,139.7,4.3,0.013367689850994865,0.03284349451493235,-2.2910705633807704
F574-1,97.8,m4a_halo_only,110.11177428999484,1.1258872626788838,0.0514949059259186,0.0514949059259186,97.8,4.1,0.01820661938449215,0.035092463427519094,1.3541895632116232
F579-V1,112.1,m4a_halo_only,116.08627804268072,1.035560018221951,0.0151752744774168,0.0151752744774168,112.1,13.4,0.05191388097683831,0.05995874446715286,1.8631314050221557
F583-1,85.8,m4a_halo_only,90.8593865700958,1.0589672094416762,0.0248825125352315,0.0248825125352315,85.8,3.6,0.018222146093842734,0.03510052148138754,2.1793361447396102
IC4202,242.6,m4a_halo_only,216.47088263388875,0.892295476644224,-0.0494913085980361,0.0494913085980361,242.6,11.0,0.019691835535596742,0.035885489919478465,1.4574626857681143
