galaxy_name,coherence_score,btfr_offset_dex,f_gas,f_star,log10_Sigma_b,RHI_over_Rdisk,D_total,taxonomy_stage,has_rotmod,A_inferred,coherence_quartile
NGC7331,0.5716338115938016,0.0413125511741806,0.1051105151790689,0.894889484820931,8.946648083561472,5.380478087649403,0.2095535553135608,disturbed_or_measurement_contaminated,False,0.2095535553135608,Q3
NGC7814,0.7038538138089008,0.1428263111130577,0.0367843960338713,0.9632156039661288,8.979724487335302,4.783464566929134,0.930423617399014,mature_or_control,False,0.930423617399014,Q4_high
UGC00128,0.3109313491620393,0.0107689795687125,0.621851568246354,0.378148431753646,7.85399836854531,5.25546218487395,1.1828248262604946,juvenile_forming,True,0.5694289012602319,Q1_low
UGC00731,0.4377231383299047,-0.037686328154091,0.9370323727683532,0.0629676272316467,7.887419657901373,5.030434782608697,0.6803417746932027,juvenile_forming,True,0.3403743757108149,Q2
UGC01230,0.3875665451831021,-0.057769053357676,0.6917949506143878,0.3082050493856122,8.01892589871753,6.057603686635945,0.3166764068321024,disturbed_or_measurement_contaminated,True,0.1843310717632547,Q1_low
UGC01281,0.3832871560706821,0.0029172817256814,0.6889977445728784,0.3110022554271215,7.531426093961837,3.226993865030675,2.05212015058965,juvenile_forming,True,0.6814527087560822,Q1_low
UGC02487,0.6741310192298299,0.1132266842127192,0.0888568525503695,0.9111431474496304,8.837205710302111,5.095057034220533,0.6844315543107787,mature_or_control,False,0.6844315543107787,Q4_high
UGC02885,0.6027688581933741,0.059460518231263,0.2089676147685516,0.7910323852314484,8.494656615411506,6.512280701754385,0.3149857194040985,mature_or_control,False,0.3149857194040985,Q3
UGC03205,0.6330692506073525,0.0803110197375321,0.1846771359626674,0.8153228640373326,9.037418016803407,8.965517241379311,0.4475115557810623,mature_or_control,False,0.4475115557810621,Q4_high
UGC03546,0.6818991508841219,0.0601678210455683,0.0656099731216258,0.9343900268783742,8.778747279189737,4.846965699208443,0.3192759397855558,mature_or_control,False,0.3192759397855559,Q4_high
UGC04278,0.389210288267096,0.0779289400843308,0.6943090495747926,0.3056909504252074,7.842998593983464,4.027149321266968,2.0118871311409428,juvenile_forming,True,0.956363075588083,Q1_low
UGC04325,0.4877863404942948,0.0875099274910114,0.4709464470371957,0.5290535529628043,7.944904053243674,3.553763440860215,1.799290292359988,mature_or_control,False,0.961774268625718,Q2
UGC04499,0.4106916501631317,-0.0259086473032709,0.6534167038856633,0.3465832961143367,8.075782018963324,5.011560693641618,0.4281433619847744,juvenile_forming,True,0.2660725763157177,Q1_low
UGC05005,0.5429012885118399,-0.0027904086121612,0.6674070240391713,0.3325929759608286,7.981360962953233,6.753125,0.7710010187043093,juvenile_forming,True,0.42978902737553,Q3
UGC05721,0.40290767633797686,0.0995337441302128,0.7378968567366925,0.2621031432633075,9.04784523458566,17.736842105263158,0.581493780296395,juvenile_forming,True,0.581493780296395,Q1_low
UGC06399,0.49184352617712257,0.0512498922708035,0.4384715469424091,0.5615284530575909,7.88888253041813,4.292682926829269,1.5266124338292977,mature_or_control,False,0.7650502312724831,Q2
UGC06446,0.2562108603234926,0.0225963057023995,0.7878070676569003,0.2121929323430996,8.222443629281738,6.932885906040268,0.5081721140564834,juvenile_forming,True,0.3738974768125985,Q1_low
UGC06614,0.5603125781231011,0.0099678887342346,0.3188991438340408,0.6811008561659592,8.747084147182726,11.88823529411765,0.0469737123877627,mature_or_control,False,0.0469737123877627,Q3
UGC06667,0.4187827922199634,0.0604503500675063,0.6063613360609084,0.3936386639390917,7.027274334924381,1.6679611650485435,6.107938186934769,juvenile_forming,True,1.0,Q2
UGC06786,0.6397774214394124,0.1313542000903415,0.1541686062857485,0.8458313937142514,8.726638809814512,5.641666666666667,0.8310845582062228,mature_or_control,False,0.8310845582062231,Q4_high
UGC06917,0.4998227695199109,0.0392533503170219,0.4406043307312265,0.5593956692687736,8.105800729702338,4.590579710144928,0.8624578184372445,mature_or_control,False,0.554827678826388,Q2
UGC06930,0.47442830555721277,-0.006096595113806,0.4908342178559173,0.5091657821440827,7.953887196986764,4.253807106598985,0.8002935311880265,mature_or_control,False,0.4322278984336695,Q2
UGC06983,0.42936485303428656,0.0320944838313198,0.5983387691789827,0.4016612308210174,8.008032110383153,5.006230529595015,1.016754442016344,mature_or_control,False,0.5844562724929315,Q2
UGC07125,0.3337744343827346,-0.2052260404052944,0.8195025137868931,0.1804974862131068,8.019775262749231,6.816568047337278,-0.3329776324924644,failed_stalled,True,0.0,Q1_low
UGC07151,0.5156586189282135,-0.0073740640553597,0.417727198564203,0.5822728014357971,8.300539705297789,5.112,0.2007763591538858,mature_or_control,False,0.1616226850611351,Q2
UGC07399,0.41531748246645117,0.1634153659703244,0.6315772699748223,0.3684227300251776,7.967713857599678,4.786585365853659,2.8677100847118893,juvenile_forming,True,1.0,Q1_low
UGC07524,0.3992815103308869,-0.0387534953704185,0.6601628874436046,0.3398371125563953,7.678044417277685,3.5,1.127898509302196,juvenile_forming,True,0.4434167776765806,Q1_low
UGC07603,0.42213878017742235,0.057751956632184,0.6460443574198893,0.3539556425801107,8.47847740168307,8.245283018867925,0.3205210304786123,juvenile_forming,True,0.3166759787314879,Q2
UGC08286,0.44397031713194524,0.072735555085245,0.5764027650267323,0.4235972349732678,8.33010214706329,7.685714285714286,0.6784180692811644,mature_or_control,False,0.5650259191107317,Q2
UGC08490,0.32534766959605005,0.0533551443808987,0.6531614487415592,0.3468385512584407,8.715834119988067,11.641791044776118,0.2785281329642023,juvenile_forming,False,0.2785281329642021,Q1_low
UGC08550,0.2903483386641331,0.0240219144224796,0.7260871213557266,0.2739128786442734,8.617650499095362,12.42222222222222,0.1169759669107838,juvenile_forming,False,0.1169759669107838,Q1_low
UGC09133,0.4992901094227132,-0.0122162887862699,0.2391281430344212,0.7608718569655787,8.78468591858822,8.658536585365853,-0.0547048657785216,true_falsifier_candidate,False,0.0,Q2
UGC10310,0.3122322238992933,-0.0446141357638089,0.6463078685833624,0.3536921314166375,8.082418498709004,5.322222222222222,0.3002970846148483,disturbed_or_measurement_contaminated,False,0.1880529954543233,Q1_low
UGC11455,0.6727615320017707,0.0519874266868556,0.086558558453034,0.913441441546966,8.967245390827602,7.325463743676223,0.2705005382429512,mature_or_control,False,0.2705005382429511,Q4_high
UGC11914,0.7359576721120498,0.1885350797132683,0.0155002215367299,0.98449977846327,9.3089671803468,3.795081967213114,1.3827043595109625,mature_or_control,False,1.0,Q4_high
UGC12632,0.25017997805846787,-0.0631971910160831,0.7809779058726878,0.2190220941273122,7.906948773530353,5.206611570247934,0.4608692272712236,failed_stalled,False,0.2358153046652741,Q1_low
UGCA442,0.22827694949161023,0.0449945785487826,0.8332499583124896,0.1667500416875104,7.681088205881671,3.703389830508475,2.1183521940082737,juvenile_forming,False,0.8357226258459113,Q1_low
