galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note,gas_mass_msun,baryon_mass_msun,f_star,f_gas,specific_sfr_yr,molecular_to_atomic_ratio,depletion_time_hi_yr,depletion_time_h2_yr,stellar_surface_density_msun_kpc2,sigma_b_msun_kpc2,log10_sigma_b,external_maturity_index,external_maturity_class,m9_threshold_proxy_activation,m9_threshold_proxy_class,btfr_offset_dex
GASS18131,18131,J120445.85+092521.1,26020289564.762962,264850218.57988468,36093255.28869704,0.0276802480220794,1.9007516051338669,31.71139963886773,66.13448513205648,True,False,2,,xGASS_angular_momentum_linear_mass,400254820.2452137,26420544385.008175,0.9848506217581069,0.015149378241893097,1.063794772659424e-12,0.13627798943201747,12725709337.223808,1734234082.5731122,1146255744.2977037,1163887922.6693935,9.065911161662902,0.7855871886120996,stellar-dominated,1.0,mature,2.7181101142735944
GASS112027,112027,J120455.06+195855.1,7939439641.22685,4677352234.557798,305074628.47465754,0.2818135619163513,1.0302550077142378,149.57599151031354,88.17355074042905,True,False,0,,xGASS_angular_momentum_linear_mass,6626627727.833166,14566067369.060017,0.5450640478356651,0.4549359521643348,3.5495396986581766e-11,0.06522378755670079,22074446771.331646,1439779026.6450348,1190475644.3504725,2184102307.018049,9.339272977591657,0.45685053380782914,transition,1.0,mature,-0.2350752515823178
GASS18225,18225,J120511.42+103341.0,12887349454.736397,375837239.22698665,178889462.32366332,0.1541072875261306,1.7244270341792838,107.96914176060407,55.51855760737752,True,False,2,,xGASS_angular_momentum_linear_mass,737786513.0623646,13625135967.798761,0.9458510715191374,0.05414892848086266,1.1958028147478583e-11,0.47597588437909727,3243607334.8389506,1543878869.778496,689753783.1770833,729241424.9415243,8.862871331009439,0.8064946619217082,stellar-dominated,1.0,mature,0.3021722437052645
GASS112088,112088,J121147.61+120837.3,6808009968.278462,5623413251.903491,538188626.8416886,0.4351877570152282,4.610175914750056,137.46630508287797,66.43229608597505,True,False,0,,xGASS_angular_momentum_linear_mass,8194930498.73109,15002940467.009552,0.45377837652884206,0.5462216234711579,6.392290244035496e-11,0.0957049753829696,17186006509.76018,1644786329.9481535,50980644.27763377,112347011.04007642,8.050561522629033,0.2491103202846975,gas-rich,1.0,mature,-0.07557865658030849
GASS112117,112117,J121234.52+110430.2,1352509575.1430314,1819701817.628807,340489403.2809858,0.2785916626453399,3.365747806935421,120.19201096950697,36.80127942735999,True,False,0,,xGASS_angular_momentum_linear_mass,2873054323.8100247,4225563898.9530563,0.3200778895990982,0.6799221104009018,2.0598128676159512e-10,0.18711274560612695,8687278701.973736,1625500569.7719364,19001913.512619287,59366529.61696115,7.77354166216077,0.1583629893238434,gas-rich,1.0,mature,-0.3925877370483555
GASS24149,24149,J121356.24+134035.2,24999569813.814415,13182563911.826834,396082941.812194,0.3190938830375671,3.599937815455277,330.7817327656921,34.320105558941336,True,True,0,2.0,xGASS_angular_momentum_linear_mass,18059600315.33991,43059170129.15433,0.5805864288333743,0.41941357116662564,1.2763974956930669e-11,0.03004597166844344,54945616117.202545,1650894425.162637,307017173.63110125,528805287.86733633,8.723295789291734,0.4083629893238434,transition,1.0,mature,-1.1430704203406297
GASS112058,112058,J121513.23+131104.3,4816148655.507506,6309576215.861531,1397416090.6204967,1.2636425495147705,3.15574518331819,110.54942175687984,44.875351888547705,True,False,0,,xGASS_angular_momentum_linear_mass,10250299767.621098,15066448423.128605,0.319660514558574,0.6803394854414259,2.623761515479245e-10,0.22147542763768466,6640909939.538046,1470798368.7625391,76969055.80734596,240783744.9477742,8.38162716482097,0.21040925266903918,gas-rich,1.0,mature,0.3048149837240608
GASS30175,30175,J121602.67+141121.8,47156166179.50174,535796770.4635546,170988318.6365088,0.1356433033943176,3.090823260319609,257.5743458610998,30.183263301805184,True,True,2,2.0,xGASS_angular_momentum_linear_mass,940024168.5030844,48096190348.00482,0.980455330002201,0.019544669997799097,2.8764701285932833e-12,0.3191290579981941,5253556105.493525,1676562411.0868094,785615923.1493874,801276610.0701638,8.903782465509385,0.8296263345195729,stellar-dominated,1.0,mature,-0.660469748878139
GASS24168,24168,J121612.36+132615.4,36480994474.39224,2576322650.5527887,417919654.5999556,0.1540046483278274,3.6328273121281462,221.0,90.0,True,True,1,1.0,xGASS_angular_momentum_linear_mass,3982342265.85315,40463336740.24539,0.9015814664169242,0.0984185335830759,4.2215035677256725e-12,0.1622155728477117,22249387680.437088,3609197168.092922,439943891.85321087,487969094.5751594,8.688392316919716,0.6908362989323843,stellar-dominated,1.0,mature,-0.4694774058091351
GASS24736,24736,J121655.58+082132.8,15543879584.089027,10715186464.071413,3872271205.720486,3.639323711395264,3.368451077112406,218.89860075956852,45.82601342864152,True,False,0,,xGASS_angular_momentum_linear_mass,19401318700.823227,34945198284.912254,0.4448073082132193,0.5551926917867807,2.341322635515355e-10,0.361381597856875,3915891832.48315,1415131247.4574473,218031411.63933963,490170479.6964034,8.690347152507648,0.3420818505338078,transition,1.0,mature,-0.5165544372033999
GASS24740,24740,J121718.89+084332.7,14803211231.375664,814704756.322887,533704224.88839865,0.4366805553436279,3.7256452803603417,112.0,90.0,True,False,2,,xGASS_angular_momentum_linear_mass,1793383945.01101,16596595176.386673,0.8919426589640144,0.1080573410359857,2.949904237116308e-11,0.6550891236933922,2481350068.4883456,1625505441.942569,169735647.4888091,190298833.43168715,8.27943612598679,0.6770462633451957,stellar-dominated,1.0,mature,0.32417690580792247
GASS24183,24183,J121744.10+131015.7,36295323598.39008,15135623120.057798,6756984490.197348,4.3895463943481445,3.422688111145607,236.59053644298177,38.72281258354509,True,True,0,1.0,xGASS_angular_momentum_linear_mass,29117168121.639347,65412491720.029434,0.5548683843712436,0.4451316156287563,1.209397233351254e-10,0.44642922439334265,4585981543.695763,2047316183.6342835,493101304.90281826,888681566.2809523,8.94874617179031,0.46930604982206403,transition,1.0,mature,-0.3792987874750473
