galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note
GASS114126,114126,J140348.60+152408.2,7875680987.31455,9549915794.217653,538501615.8096672,0.4437651336193084,3.9405753207316856,143.62544528713877,67.30005800041648,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114104,114104,J140412.86+083102.0,1464043805.5527582,96605117.59812163,69637560.74099393,0.0599548816680908,1.4774079923489898,47.37182892099496,61.16925982938643,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114061,114061,J140437.94+113844.7,2974856747.3629546,3311314705.081584,1115431577.8092797,1.0627518892288208,2.1599411580495174,125.97425892777342,40.61150239025309,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114044,114044,J140452.67+213800.6,11592152984.083513,1566749969.163212,1990761231.4283724,2.079750061035156,2.812515991743352,144.97321676945805,45.55516601364757,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114075,114075,J140510.39+114616.9,1976208351.0408895,102801649.67810111,34393413.91226711,0.0269883330911397,2.065397661392522,25.656452099374786,83.66931116454772,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114078,114078,J140542.23+121430.9,2007902657.8279042,4570880290.185208,351548853.5221162,0.3278009295463562,1.2225936100049342,91.91983967623706,54.67925535177167,True,False,0,,xGASS_angular_momentum_linear_mass
GASS30675,30675,J140827.74+053927.9,71171702573.61353,12302692030.632101,941312705.6536498,0.7767149806022644,4.90450087215078,219.0032251466338,46.74404708511561,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114055,114055,J140828.00+155515.3,9554304563.982603,1348963238.0568445,447312122.83096266,0.404599517583847,1.688697781661014,160.62676640586798,44.95951903907174,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114123,114123,J140829.15+070328.4,11459323893.825977,19498444284.90234,2949299820.5023694,2.594348907470703,5.129692840110795,165.96490439568817,58.49448775878596,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114115,114115,J140832.77+030127.4,4188740173.889761,2697737915.8988237,525814822.7230942,0.326732873916626,4.420344406872054,107.5,90.0,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS114122,114122,J140835.42+115703.7,2430317795.3238406,3162277660.1683793,339393507.6037891,0.2758943438529968,3.2653323998675203,94.6196643145788,76.48621905035803,True,False,0,,xGASS_angular_momentum_linear_mass
