object_name,source_family,sfr_msun_yr,sfe_per_yr,depletion_time_yr,endpoint_overlap,proxy_only,crossmatch_role
GASS56320,xGASS,0.0062949955463409,1.3582979992151894e-11,73621547007.93123,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108132,xGASS,0.3087640702724457,3.1595627589307813e-10,3164994894.2251973,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108084,xGASS,1.1109856367111206,1.4312256170035851e-10,6987018595.24846,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51580,xGASS,0.097939983010292,7.260389330651638e-11,13773366061.48981,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108119,xGASS,0.2925680577754974,5.2026775317724493e-11,19220872212.299496,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51563,xGASS,0.7766667604446411,1.9064923285181788e-10,5245234848.5307045,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56312,xGASS,1.1610671281814575,9.012757229482972e-11,11095383738.161182,False,True,SFR_SFE_HI_depletion_proxy_only
GASS14247,xGASS,0.6901232004165649,1.599286969608185e-10,6252786516.762489,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56304,xGASS,1.492197036743164,1.8147893056980372e-10,5510281534.392015,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108011,xGASS,0.2158228307962417,6.181546824488971e-10,1617718070.2383018,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108090,xGASS,0.3020537495613098,1.0001950226473952e-10,9998050153.790218,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108112,xGASS,0.6559991836547852,2.122772866560284e-10,4710819587.685742,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108014,xGASS,1.1061769723892212,2.3432834596424617e-10,4267516146.563762,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108125,xGASS,0.3294423818588257,3.5300365507851344e-11,28328318577.25622,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108019,xGASS,0.2327784299850464,1.8405282941568132e-09,543322264.1427103,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108049,xGASS,0.2495432496070861,4.933388910356488e-10,2027004191.5826573,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108029,xGASS,0.9491416215896606,9.339659622135088e-11,10707028312.14523,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108129,xGASS,0.3796459436416626,1.2370244926449535e-10,8083914311.687089,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108147,xGASS,0.6163411140441895,3.1828885841566285e-10,3141800203.053512,False,True,SFR_SFE_HI_depletion_proxy_only
GASS19274,xGASS,1.7874749898910522,6.056750821661549e-10,1651050256.8861997,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108046,xGASS,0.197193756699562,3.1253090533059907e-10,3199683560.7095804,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108044,xGASS,0.0645240843296051,7.091240525784558e-11,14101904968.021973,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108113,xGASS,0.6005165576934814,2.2106753627191533e-10,4523504522.029819,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108007,xGASS,0.3037578463554382,3.2548219636232754e-10,3072364667.4879804,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108045,xGASS,1.543763279914856,2.1309882244753526e-10,4692658497.6610985,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108142,xGASS,0.8857265710830688,3.3985941626920177e-10,2942393095.879099,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108050,xGASS,0.7281400561332703,4.4896747983111215e-10,2227332813.4504743,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108114,xGASS,0.0014261143514886,1.6001273230640545e-11,62495026838.55922,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108072,xGASS,0.4066994786262512,6.015527159764669e-10,1662364699.6203082,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108058,xGASS,0.33671435713768,1.2281796842547954e-09,814213109.7102093,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108097,xGASS,0.0550544038414955,4.1284978638987984e-10,2422188488.322572,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108055,xGASS,0.0101154968142509,4.6024301921176016e-11,21727651659.174755,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108053,xGASS,0.0039486573077738,3.3919501383438e-11,29481565448.019043,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108006,xGASS,0.0225996579974889,2.2444069640525787e-10,4455519948.104089,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108024,xGASS,0.0176710430532693,7.572898822215539e-12,132049829725.23573,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108061,xGASS,0.0321972519159317,1.448167122424104e-10,6905280367.959799,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108064,xGASS,0.3794008493423462,1.2563156115477537e-10,7959783280.636159,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108101,xGASS,0.1229578703641891,5.76442322821544e-10,1734778936.9546027,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51899,xGASS,0.491231769323349,7.067835588802349e-11,14148603026.14157,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108026,xGASS,2.013479232788086,2.259161848727823e-10,4426420358.342714,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108016,xGASS,0.6068181395530701,1.2107618976359992e-10,8259262221.188909,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108088,xGASS,0.1627325564622879,1.5902822742517762e-10,6288191827.268511,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108093,xGASS,0.6742437481880188,6.35063138469769e-10,1574646581.4557793,False,True,SFR_SFE_HI_depletion_proxy_only
GASS16479,xGASS,0.9366596937179564,4.381087311431907e-11,22825383949.564835,False,True,SFR_SFE_HI_depletion_proxy_only
GASS52045,xGASS,1.9563462734222408,3.3147121405912024e-10,3016853221.5942073,False,True,SFR_SFE_HI_depletion_proxy_only
GASS19918,xGASS,1.8060235977172847,7.883585170236372e-11,12684584213.986708,False,True,SFR_SFE_HI_depletion_proxy_only
GASS32308,xGASS,0.3243413269519806,3.451458981417414e-10,2897325465.503081,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108140,xGASS,0.0690130442380905,5.5453749720745376e-11,18033045646.79235,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108148,xGASS,0.2847448587417602,5.681409355465004e-11,17601266471.63859,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108094,xGASS,1.4875540733337402,1.960977664402037e-10,5099497144.476304,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108133,xGASS,0.7133221626281738,4.398308415602857e-10,2273601361.0426507,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56486,xGASS,0.1604378372430801,3.4938728539364856e-10,2862153380.519607,False,True,SFR_SFE_HI_depletion_proxy_only
