galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,canonical_name,endpoint_tier,RHI_over_Rdisk,direct_hi_extent_overlap,map_level_ar_asymmetry_available,resolved_hi_overlap_role,proxy_only,quality_quarantine_flag
UGC05005,1.0,10.0,98.9,7.2,4.1,3.093,3.2,21.61,5.02,25.63,65.59,53.7,41.0,"dB02,VH93",UGC05005,Tier1_quality1_endpoint,6.753125,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC05721,1.0,7.0,79.7,6.6,0.531,0.562,0.38,6.74,0.6,233.79,913.76,6.18,61.0,"dB02,Sw02",UGC05721,Tier1_quality1_endpoint,17.736842105263158,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06399,1.0,9.0,85.0,3.8,2.296,0.674,2.05,8.8,3.45,30.82,311.05,18.0,75.0,"VS01,SV98",UGC06399,Tier1_quality1_endpoint,4.292682926829269,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06446,1.0,7.0,82.2,4.3,0.988,1.379,1.49,10.33,2.06,37.05,86.46,12.0,51.0,"VS01,SV98",UGC06446,Tier1_quality1_endpoint,6.932885906040268,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06614,1.0,1.0,199.8,16.0,124.35,21.888,5.1,60.63,3.68,1461.61,540.54,88.7,36.0,"dB01,VH93",UGC06614,Tier1_quality1_endpoint,11.88823529411765,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06667,1.0,6.0,83.8,3.1,1.397,0.809,5.15,8.59,3.5,18.06,614.94,18.0,89.0,"VS01,SV98",UGC06667,Tier1_quality1_endpoint,1.6679611650485435,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06786,1.0,0.0,219.4,7.8,73.407,5.03,3.6,20.31,3.42,992.73,1078.52,29.3,64.0,"No07,No05",UGC06786,Tier1_quality1_endpoint,5.641666666666667,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06917,1.0,9.0,108.7,3.5,6.832,2.023,2.76,12.67,4.52,53.07,261.11,18.0,56.0,"VS01,SV98",UGC06917,Tier1_quality1_endpoint,4.590579710144928,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06930,1.0,7.0,107.2,5.1,8.932,3.237,3.94,16.76,4.38,73.93,189.16,18.0,32.0,"VS01,SV98",UGC06930,Tier1_quality1_endpoint,4.253807106598985,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC06983,1.0,6.0,109.0,5.8,5.298,2.967,3.21,16.07,3.95,53.56,121.57,18.0,49.0,"VS01,SV98",UGC06983,Tier1_quality1_endpoint,5.006230529595015,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC07125,1.0,9.0,65.2,2.1,2.712,4.629,3.38,23.04,3.92,28.11,103.0,19.8,90.0,"Sw09,Sw02",UGC07125,Tier1_quality1_endpoint,6.816568047337278,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,True
UGC07151,1.0,6.0,73.5,2.8,2.284,0.616,1.25,6.39,2.17,76.71,965.67,6.87,90.0,"Sw09,Sw02",UGC07151,Tier1_quality1_endpoint,5.112,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC07399,1.0,8.0,103.0,3.3,1.156,0.745,1.64,7.85,1.27,113.98,135.78,8.43,55.0,"Sw09,Sw02",UGC07399,Tier1_quality1_endpoint,4.786585365853659,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC07524,1.0,9.0,79.5,3.6,2.436,1.779,3.46,12.11,3.61,29.71,106.86,4.74,46.0,"Sw09,Sw02",UGC07524,Tier1_quality1_endpoint,3.5,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC07603,1.0,7.0,61.6,2.8,0.376,0.258,0.53,4.37,0.85,81.81,520.99,4.7,78.0,"Sw09,Sw02",UGC07603,Tier1_quality1_endpoint,8.245283018867925,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC08286,1.0,6.0,82.4,2.3,1.255,0.642,1.05,8.07,2.25,39.52,1488.78,6.5,90.0,"Sw09,Sw02",UGC08286,Tier1_quality1_endpoint,7.685714285714286,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC08490,1.0,9.0,78.6,3.8,1.017,0.72,0.67,7.8,1.14,124.98,576.54,4.65,50.0,"Sw09,Sw02",UGC08490,Tier1_quality1_endpoint,11.641791044776118,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC08550,1.0,7.0,56.9,1.9,0.289,0.288,0.45,5.59,1.01,45.38,1284.78,6.7,90.0,"Sw09,Sw02",UGC08550,Tier1_quality1_endpoint,12.42222222222222,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC09133,1.0,2.0,226.8,4.2,282.926,33.428,6.97,60.35,5.92,1284.78,864.63,57.1,53.0,"No07,No05",UGC09133,Tier1_quality1_endpoint,8.658536585365853,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC10310,1.0,9.0,71.4,3.9,1.741,1.196,1.8,9.58,3.12,28.37,158.79,15.2,34.0,"Sw09,Sw02",UGC10310,Tier1_quality1_endpoint,5.322222222222222,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC11455,1.0,6.0,269.4,7.4,374.322,13.335,5.93,43.44,10.06,571.26,9568.2,78.6,90.0,SG06,UGC11455,Tier1_quality1_endpoint,7.325463743676223,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC11914,1.0,2.0,288.1,10.5,150.028,0.888,2.44,9.26,3.12,2425.66,3168.33,16.9,31.0,"No07,No05",UGC11914,Tier1_quality1_endpoint,3.7950819672131146,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC12632,1.0,9.0,71.7,2.8,1.301,1.744,2.42,12.6,3.94,13.09,66.81,9.77,46.0,"Sw09,Sw02",UGC12632,Tier1_quality1_endpoint,5.206611570247934,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGCA442,1.0,9.0,56.4,2.1,0.14,0.263,1.18,4.37,1.71,7.6,116.1,4.35,64.0,Co00,UGCA442,Tier1_quality1_endpoint,3.703389830508475,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
