model_name,features,n_residual_features,rmse_logj,base_rmse_logj,rmse_improvement_vs_base,mae_logj,spearman_pred_obs,pearson_pred_obs,resid_a_rho,base_resid_a_rho,abs_resid_a_rho_reduction,repeat
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05619411857498684,0.05463960435687568,-0.001554514218111154,0.04450406691925298,0.9932018662972951,0.994013556343209,-0.6794865628789521,-0.7349917307713677,0.05550516789241555,2
base_only,none,0,0.055122710919437365,0.055122710919437365,0.0,0.044318560658239865,0.9928373551068016,0.9942089751788843,-0.7664586526544732,-0.7664586526544732,0.0,3
morphology,T,1,0.05485232639816495,0.055122710919437365,0.00027038452127241264,0.04451987940150006,0.9930560618210978,0.9942855190838626,-0.7832142409889806,-0.7664586526544732,-0.01675558833450741,3
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.055902318203486706,0.055122710919437365,-0.0007796072840493412,0.04471543819361051,0.9929102573449003,0.9940433886236032,-0.7549870978960441,-0.7664586526544732,0.011471554758429092,3
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05503027259407686,0.055122710919437365,9.243832536050267e-05,0.043999275625597994,0.9925092950353575,0.9942288907777678,-0.7341521261271549,-0.7664586526544732,0.03230652652731836,3
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05489303009373293,0.055122710919437365,0.00022968082570443832,0.044098318922901905,0.9928555806663264,0.9942572333991803,-0.7567028117342179,-0.7664586526544732,0.009755840920255276,3
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05530144335817084,0.055122710919437365,-0.00017873243873347405,0.04440177869183485,0.9927826784282276,0.9941755463929148,-0.7577523175394839,-0.7664586526544732,0.008706335114989305,3
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.0549763639363748,0.055122710919437365,0.00014634698306256744,0.04450643116242887,0.9928738062258511,0.9942397183380346,-0.7235019237380643,-0.7664586526544732,0.04295672891640889,3
base_only,none,0,0.0574641604072806,0.0574641604072806,0.0,0.04588514136884696,0.9924363927972587,0.993705364213258,-0.7523587703141605,-0.7523587703141605,0.0,4
morphology,T,1,0.05746761127142761,0.0574641604072806,-3.4508641470129553e-06,0.04638754683678194,0.9923999416782093,0.9937414016867787,-0.7587196881078161,-0.7523587703141605,-0.006360917793655552,4
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05757563816121635,0.0574641604072806,-0.00011147775393575282,0.046008262368633326,0.9929831595829991,0.9936819309634414,-0.7380033561256092,-0.7523587703141605,0.014355414188551352,4
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.057139753482844446,0.0574641604072806,0.00032440692443615193,0.04570382677688146,0.9931654151782459,0.9937757990272257,-0.7327284486869678,-0.7523587703141605,0.019630321627192693,4
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05761192189232073,0.0574641604072806,-0.00014776148504012931,0.04598959286570766,0.9923634905591601,0.993676096569136,-0.7320896190663713,-0.7523587703141605,0.020269151247789274,4
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05764280325199496,0.0574641604072806,-0.00017864284471436065,0.0460237850583312,0.9929831595829991,0.9936806551660406,-0.7259203501588947,-0.7523587703141605,0.026438420155265874,4
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05789795256447977,0.0574641604072806,-0.00043379215719917263,0.04655160646771046,0.9929649340234744,0.9936227933856729,-0.6946268248870938,-0.7523587703141605,0.05773194542706672,4
base_only,none,0,0.05576339474956508,0.05576339474956508,0.0,0.04422344038507411,0.9925092950353575,0.9940746056882251,-0.7571134879188873,-0.7571134879188873,0.0,5
morphology,T,1,0.05538623784288782,0.05576339474956508,0.0003771569066772576,0.04453947810820395,0.992418167237734,0.9941675010035881,-0.7693698904969066,-0.7571134879188873,-0.012256402578019299,5
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.0556523470687132,0.05576339474956508,0.00011104768085187788,0.04409231031128729,0.992527520594882,0.9940986412272692,-0.7480786118561628,-0.7571134879188873,0.009034876062724573,5
