permutation,rmse_logj,rmse_improvement_vs_base,resid_a_rho
46,0.0569442264102995,-0.0005482789044358172,-0.756219126450052
47,0.0556319094068673,0.0007640380989963891,-0.7246153125053899
48,0.05502274542878121,0.0013732020770824763,-0.7037803407365006
49,0.058623083001396445,-0.002227135495532759,-0.748772198301382
50,0.05705892034783042,-0.0006629728419667372,-0.7623245123954688
51,0.058771381039726234,-0.0023754335338625476,-0.7422196316215472
52,0.0576730601915007,-0.0012771126856370163,-0.7114280439087869
53,0.05701895682885243,-0.0006230093229887407,-0.7317063212940131
54,0.05797920153839468,-0.001583254032530991,-0.7530158522096314
55,0.05780563973312343,-0.0014096922272597429,-0.7354024069560369
56,0.05793354198264014,-0.0015375944767764549,-0.7480329811689772
57,0.057157984832524135,-0.0007620373266604488,-0.7077045798344518
58,0.0575127563181018,-0.001116808812238114,-0.7494566586091641
59,0.058443646388700934,-0.0020476988828372483,-0.7652174979630283
60,0.05750441365524083,-0.001108466149377145,-0.7600155996238838
61,0.0583581057671586,-0.001962158261294915,-0.7540197273277119
62,0.05753700484515039,-0.0011410573392867038,-0.748388900529024
63,0.058432280213648644,-0.0020363327077849575,-0.7381676265994769
64,0.05506547161431138,0.0013304758915523088,-0.716502176323812
65,0.057890104896286876,-0.0014941573904231897,-0.7527785726362669
66,0.057759137044127794,-0.0013631895382641077,-0.7476223049843079
67,0.05970593050053225,-0.0033099829946685658,-0.7606453031070433
68,0.05768544593317811,-0.001289498427314427,-0.7482702607423417
69,0.05774649753748475,-0.0013505500316210658,-0.7051948920392506
70,0.05826703336028445,-0.0018710858544207648,-0.7486900630644481
71,0.05894615111235706,-0.0025502036064933772,-0.7703372610652388
72,0.05786864533324433,-0.0014726978273806451,-0.7641497398828879
73,0.05724240632819333,-0.0008464588223296432,-0.7497213165948399
74,0.055241098268274266,0.0011548492375894198,-0.7307572030005554
75,0.05825663913697223,-0.001860691631108545,-0.7427306953180247
76,0.0559112911345009,0.0004846563713627877,-0.7432052544647537
77,0.05745563183164412,-0.0010596843257804356,-0.7449848512649873
78,0.05757441842972748,-0.001178470923863792,-0.7366253093726076
79,0.05722887538070754,-0.0008329278748438543,-0.7425116680195344
80,0.0571589624911015,-0.0007630149852378143,-0.7519207157171799
81,0.0564919671305246,-9.601962466091601e-05,-0.7510172281109074
82,0.056651645470128985,-0.00025569796426529873,-0.7236570680744949
83,0.05641981128183899,-2.3863775975303814e-05,-0.780184363359865
84,0.056412414953794995,-1.6467447931309276e-05,-0.7389159698693187
85,0.05955786005136928,-0.003161912545505595,-0.7427763260052102
86,0.05788118810125754,-0.001485240595393851,-0.7498034518317739
87,0.056575591012205544,-0.0001796435063418575,-0.7624066476324028
88,0.05934316492884797,-0.0029472174229842815,-0.7676633027961698
89,0.05738530005225805,-0.0009893525463943662,-0.7637755682479671
90,0.05808626756596273,-0.001690320060099046,-0.7521671214279815
91,0.057710131337977484,-0.001314183832113798,-0.7647064342665509
92,0.05792398440703371,-0.001528036901170024,-0.7490003517373095
93,0.058935366062256286,-0.0025394185563926003,-0.7437710749858535
94,0.05665811526453787,-0.0002621677586741866,-0.7383136447984704
95,0.057732300271233924,-0.0013363527653702384,-0.7505974257888012
96,0.05820007512385969,-0.0018041276179960042,-0.7208462177438695
97,0.05681101773441553,-0.00041507022855184067,-0.7652722547876507
98,0.05720942690472836,-0.0008134793988646763,-0.7580078493877226
99,0.06008324774865198,-0.003687300242788294,-0.7244236636192108
100,0.05715150520465652,-0.0007555576987928331,-0.7291875073613747
101,0.059304559484442396,-0.0029086119785787096,-0.7196233153272987
102,0.05768396070669932,-0.0012880132008356374,-0.7527694464988297
103,0.05680684242070447,-0.00041089491484078144,-0.7545490432990635
104,0.058456597195516394,-0.0020606496896527077,-0.7579713448379742
105,0.05702629359890795,-0.0006303460930442636,-0.7612476281778916
106,0.058379508360532045,-0.001983560854668359,-0.7615761691256271
107,0.058433904471545284,-0.0020379569656815977,-0.7451126171891067
108,0.058509080922867746,-0.0021131334170040594,-0.757369019767126
109,0.05968854058346575,-0.003292593077602067,-0.7460526093451274
110,0.05845962072081402,-0.0020636732149503373,-0.7676176721089844
111,0.05885422608903961,-0.0024582785831759255,-0.7501137405046349
112,0.056444338181544984,-4.8390675681297957e-05,-0.7259751069835171
113,0.0547364296157043,0.001659517890159383,-0.7398742143002137
114,0.05795166794239942,-0.0015557204365357347,-0.7509259667365364
