r_kpc,a_b_m_s2,a_qv_m_s2,a_total_m_s2,v_newton_km_s,v_cghstc34_km_s
16.668341708542712,2.679065592942932e-11,5.104405765097778e-11,7.78347135804071e-11,117.38514575880713,200.08205347215437
16.917085427135678,2.605194772308331e-11,5.0335410657926765e-11,7.638735838101007e-11,116.61600055003363,199.68653891161412
17.165829145728644,2.5343376549418388e-11,4.9646170594975896e-11,7.498954714439428e-11,115.86170189821945,199.30033600340752
17.414572864321606,2.466332509529629e-11,4.8975551016738406e-11,7.36388761120347e-11,115.12178100053347,198.9231197800719
17.66331658291457,2.4010283101730896e-11,4.832280740464132e-11,7.233309050637222e-11,114.39578938277997,198.55458018921266
17.912060301507537,2.3382838971679153e-11,4.7687234409681915e-11,7.107007338136107e-11,113.68329778861458,198.19442125125374
18.160804020100503,2.277967213545356e-11,4.7068163309949614e-11,6.984783544540318e-11,112.9838951413817,197.8423602732268
18.409547738693465,2.219954609658622e-11,4.646495966364735e-11,6.866450576023357e-11,112.29718757308888,197.49812711434186
18.65829145728643,2.1641302089705845e-11,4.587702114029599e-11,6.751832323000183e-11,111.62279751549973,197.1614634994412
18.907035175879397,2.1103853289637057e-11,4.530377551453689e-11,6.640762880417395e-11,110.96036284874968,196.8321223767664
19.155778894472363,2.058617951764057e-11,4.474467880848613e-11,6.53308583261267e-11,110.30953610327138,196.5098673167649
19.404522613065325,2.0087322396610105e-11,4.4199213569963765e-11,6.428653596657387e-11,109.66998371116581,196.19447194893365
19.65326633165829,1.9606380912232533e-11,4.3666887275143034e-11,6.327326818737557e-11,109.0413853034697,195.88571943394174
19.902010050251256,1.914250734169504e-11,4.314723084525492e-11,6.228973818694997e-11,108.4234330500589,195.58340196849946
20.150753768844222,1.8694903515564717e-11,4.263979726795862e-11,6.133470078352333e-11,107.81583103918857,195.28732032064315
20.399497487437184,1.8262817382040963e-11,4.2144160314861544e-11,6.04069776969025e-11,107.21829469390902,194.99728339329204
20.64824120603015,1.7845539845947636e-11,4.16599133474554e-11,5.950545319340304e-11,106.63055022281455,194.71310781410278
20.896984924623116,1.7442401857640776e-11,4.1186668204437835e-11,5.862907006207861e-11,106.05233410278042,194.43461754980154
