object_name,source_family,m51_primary_score,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,m54_organization_score,has_resolved_hi,has_sfr_sfe,direct_dynamic_observable_weight,model_frozen_before_endpoint_join,quality_used_as_physical_feature,trained_on_endpoint_residuals,trained_on_A_inferred,quality_quarantine_flag,proxy_level,organization_label_settled,organization_label_score
NGC3893,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.5836879317079248
NGC6674,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5736237150700809
NGC5907,direct_sparc_m36_m41,0.7376746575535738,0.5,0.5,0.5,0.6188373287767869,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8043314844233729
UGC03205,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.5877342301284297
NGC6503,direct_sparc_m36_m41,0.9677920314425682,0.5,0.5,0.5,0.7338960157212842,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7037388631066879
NGC5033,direct_sparc_m36_m41,0.8186458227180256,0.5,0.5,0.5,0.6593229113590128,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7917010105796597
NGC4183,direct_sparc_m36_m41,0.351364552237024,0.5,0.5,0.5,0.425682276118512,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7349289448337464
UGC07151,direct_sparc_m36_m41,0.3346896757953144,0.5,0.5,0.5,0.41734483789765714,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7403675728215676
UGC08286,direct_sparc_m36_m41,0.8649381226476502,0.5,0.5,0.5,0.6824690613238251,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.4708234299793377
UGC11455,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6143163123877886
NGC3521,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5715241143402278
NGC3992,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7116682643074945
NGC0891,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6318659252241229
NGC4217,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7797598914259906
NGC7331,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7090330170586335
F571-8,direct_sparc_m36_m41,0.9195511394645024,0.5,0.5,0.5,0.7097755697322512,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.5939048188945589
