object_name,source_family,source_type,taxonomy_stage,m51_primary_score,has_resolved_hi,has_sfr_sfe,hi_asymmetry_indicator,ar_mismatch_indicator,sfr_indicator,sfe_indicator,depletion_time_indicator,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,proxy_level,claim_boundary,quality_quarantine_flag,branch_role,organization_label_settled,organization_label_score
UGC01281,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5932638156018216
UGC05005,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.3207340607600083,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4541480183432526
UGC07524,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6272060763039489
UGC04278,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5624436356871746
UGC04499,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5920079973765785
UGC00128,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6096578993374148
F563-V2,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5139999488833488
F568-V1,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5512645885929354
UGC07399,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6108574491711659
UGC06614,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5176439422823711
