object_name,source_family,m51_primary_score,m54_organization_score,proxy_level,model_frozen_before_endpoint_join,quality_quarantine_flag,branch_role,m51_rank,m54_rank,trajectory_rank_shift
NGC4183,direct_sparc_m36_m41,0.351364552237024,0.425682276118512,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,58.0,59.0,-1.0
THINGS:NGC7331,THINGS_M11,0.1718042323224167,0.42051750077659295,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,60.0,21.5
UGC07151,direct_sparc_m36_m41,0.3346896757953144,0.41734483789765714,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,59.0,61.0,-2.0
UGC05005,direct_sparc_m36_m41,0.3207340607600083,0.41036703038000416,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,60.0,62.0,-2.0
UGC06446,direct_sparc_m36_m41,0.2907845859520869,0.39539229297604345,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,61.0,63.0,-2.0
UGC06917,direct_sparc_m36_m41,0.2211032226347184,0.3605516113173592,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,62.0,64.0,-2.0
THINGS:NGC2903,THINGS_M11,0.1718042323224167,0.3589790392381314,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,65.0,16.5
THINGS:NGC3521,THINGS_M11,0.1718042323224167,0.343594423853516,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,66.5,15.0
THINGS:NGC2403,THINGS_M11,0.1718042323224167,0.343594423853516,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,66.5,15.0
M17_analog_synthesis:8655-12703,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:11824-12702,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8977-12704,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:11022-12702,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8598-12704,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:10838-6103,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8553-12703,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:11941-9101,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8982-12702,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8619-12705,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS112113,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS110082,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:10498-12701,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8139-3703,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS108119,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8611-6104,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:UGC07125,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS102001,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:9894-9102,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8619-12704,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:8617-12705,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:12700-12701,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
